name	term	lev	seq	value
"sodium ion transport"	GO:0006814	2	SPU_000844	0.028991279
"sodium ion transport"	GO:0006814	2	SPU_001356	-0.140092762
"sodium ion transport"	GO:0006814	2	SPU_001741	-1.03306977
"sodium ion transport"	GO:0006814	2	SPU_003010	-0.029252465
"sodium ion transport"	GO:0006814	2	SPU_006486	-0.146083093
"sodium ion transport"	GO:0006814	2	SPU_007150	0.239463724
"sodium ion transport"	GO:0006814	2	SPU_007249	0.006163484
"sodium ion transport"	GO:0006814	2	SPU_008248	-0.201802677
"sodium ion transport"	GO:0006814	2	SPU_009765	-0.320750083
"sodium ion transport"	GO:0006814	2	SPU_009902	0.556685107
"sodium ion transport"	GO:0006814	2	SPU_010266	0.542287661
"sodium ion transport"	GO:0006814	2	SPU_012589	-0.735929054
"sodium ion transport"	GO:0006814	2	SPU_013053	0.008240447
"sodium ion transport"	GO:0006814	2	SPU_015310	0.101667848
"sodium ion transport"	GO:0006814	2	SPU_015678	-0.603042707
"sodium ion transport"	GO:0006814	2	SPU_015795	-0.102954784
"sodium ion transport"	GO:0006814	2	SPU_016036	-0.003695588
"sodium ion transport"	GO:0006814	2	SPU_016076	0.399786651
"sodium ion transport"	GO:0006814	2	SPU_016679	-0.023380108
"sodium ion transport"	GO:0006814	2	SPU_017107	-0.254415517
"sodium ion transport"	GO:0006814	2	SPU_017119	-1.440586903
"sodium ion transport"	GO:0006814	2	SPU_017175	0.025429347
"sodium ion transport"	GO:0006814	2	SPU_017929	-0.729278549
"sodium ion transport"	GO:0006814	2	SPU_018814	0.191448033
"sodium ion transport"	GO:0006814	2	SPU_018815	-0.048739181
"sodium ion transport"	GO:0006814	2	SPU_018816	-0.123292514
"sodium ion transport"	GO:0006814	2	SPU_019949	-0.373134936
"sodium ion transport"	GO:0006814	2	SPU_020954	1.17086895
"sodium ion transport"	GO:0006814	2	SPU_021761	-0.897142336
"sodium ion transport"	GO:0006814	2	SPU_022203	0.157991332
"sodium ion transport"	GO:0006814	2	SPU_022363	0.01956424
"sodium ion transport"	GO:0006814	2	SPU_023810	-0.411077538
"sodium ion transport"	GO:0006814	2	SPU_024200	0.007984115
"sodium ion transport"	GO:0006814	2	SPU_024871	-0.819024651
"sodium ion transport"	GO:0006814	2	SPU_025196	0.259939125
"sodium ion transport"	GO:0006814	2	SPU_025729	-0.729939102
"sodium ion transport"	GO:0006814	2	SPU_025997	0.125603842
"sodium ion transport"	GO:0006814	2	SPU_026452	0.082475893
"sodium ion transport"	GO:0006814	2	SPU_027130	-0.001969983
"sodium ion transport"	GO:0006814	2	SPU_027370	0.174920547
"sodium ion transport"	GO:0006814	2	SPU_028125	0.454175548
"sodium ion transport"	GO:0006814	2	SPU_028602	-0.284284783
"DNA metabolic process"	GO:0006259	2	SPU_000029	-0.048687938
"DNA metabolic process"	GO:0006259	2	SPU_000082	-0.158345069
"DNA metabolic process"	GO:0006259	2	SPU_000502	-0.151759661
"DNA metabolic process"	GO:0006259	2	SPU_000635	-0.434462376
"DNA metabolic process"	GO:0006259	2	SPU_000636	-0.30441124
"DNA metabolic process"	GO:0006259	2	SPU_000656	-0.390683512
"DNA metabolic process"	GO:0006259	2	SPU_000696	0.117220536
"DNA metabolic process"	GO:0006259	2	SPU_000714	-0.028944255
"DNA metabolic process"	GO:0006259	2	SPU_000716	-0.083765594
"DNA metabolic process"	GO:0006259	2	SPU_000919	0.981346182
"DNA metabolic process"	GO:0006259	2	SPU_000934	-0.058992311
"DNA metabolic process"	GO:0006259	2	SPU_000943	-0.120973006
"DNA metabolic process"	GO:0006259	2	SPU_001187	-0.113090123
"DNA metabolic process"	GO:0006259	2	SPU_001232	-0.158948535
"DNA metabolic process"	GO:0006259	2	SPU_001304	-0.468585425
"DNA metabolic process"	GO:0006259	2	SPU_001429	-0.005376864
"DNA metabolic process"	GO:0006259	2	SPU_001556	-0.29108064
"DNA metabolic process"	GO:0006259	2	SPU_001558	0.300712754
"DNA metabolic process"	GO:0006259	2	SPU_001836	-0.390490275
"DNA metabolic process"	GO:0006259	2	SPU_002103	-0.396368454
"DNA metabolic process"	GO:0006259	2	SPU_002126	-0.196792142
"DNA metabolic process"	GO:0006259	2	SPU_002181	-1.067016272
"DNA metabolic process"	GO:0006259	2	SPU_002278	0.278442617
"DNA metabolic process"	GO:0006259	2	SPU_002281	0.128081615
"DNA metabolic process"	GO:0006259	2	SPU_002595	-0.020427487
"DNA metabolic process"	GO:0006259	2	SPU_002728	-0.378896404
"DNA metabolic process"	GO:0006259	2	SPU_002920	-0.258502546
"DNA metabolic process"	GO:0006259	2	SPU_003028	-0.425914706
"DNA metabolic process"	GO:0006259	2	SPU_003050	-0.871061075
"DNA metabolic process"	GO:0006259	2	SPU_003056	-0.717947668
"DNA metabolic process"	GO:0006259	2	SPU_003059	-0.293393304
"DNA metabolic process"	GO:0006259	2	SPU_003063	-1.37765869
"DNA metabolic process"	GO:0006259	2	SPU_003151	-2.105916541
"DNA metabolic process"	GO:0006259	2	SPU_003261	-0.096560462
"DNA metabolic process"	GO:0006259	2	SPU_003271	-0.420075553
"DNA metabolic process"	GO:0006259	2	SPU_003319	0.059009158
"DNA metabolic process"	GO:0006259	2	SPU_003468	-0.069165482
"DNA metabolic process"	GO:0006259	2	SPU_003573	0.484263089
"DNA metabolic process"	GO:0006259	2	SPU_003630	-0.146471085
"DNA metabolic process"	GO:0006259	2	SPU_003719	0.735556953
"DNA metabolic process"	GO:0006259	2	SPU_003989	-0.618861381
"DNA metabolic process"	GO:0006259	2	SPU_004278	-0.488806595
"DNA metabolic process"	GO:0006259	2	SPU_004301	-0.157680113
"DNA metabolic process"	GO:0006259	2	SPU_004334	0.134464654
"DNA metabolic process"	GO:0006259	2	SPU_004379	0.428150903
"DNA metabolic process"	GO:0006259	2	SPU_004494	0.494211695
"DNA metabolic process"	GO:0006259	2	SPU_004520	0.059242368
"DNA metabolic process"	GO:0006259	2	SPU_004535	-0.112185357
"DNA metabolic process"	GO:0006259	2	SPU_004587	-0.647140188
"DNA metabolic process"	GO:0006259	2	SPU_004811	-0.125872133
"DNA metabolic process"	GO:0006259	2	SPU_005035	0.267530767
"DNA metabolic process"	GO:0006259	2	SPU_005276	0.47711611
"DNA metabolic process"	GO:0006259	2	SPU_005381	0.071817265
"DNA metabolic process"	GO:0006259	2	SPU_005413	-0.006624401
"DNA metabolic process"	GO:0006259	2	SPU_005454	-0.574344516
"DNA metabolic process"	GO:0006259	2	SPU_005466	0.494211695
"DNA metabolic process"	GO:0006259	2	SPU_005504	0.494931463
"DNA metabolic process"	GO:0006259	2	SPU_005582	0.59515178
"DNA metabolic process"	GO:0006259	2	SPU_005589	0.164592993
