name	term	lev	seq	value
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_001284	2.528971218
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_001526	3.027738351
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_001890	-0.724331347
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_002750	3.660825081
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_002985	0.521942032
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_003216	6.07401013
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_003217	0.410158344
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_003404	4.317779636
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_003564	9.775348773
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_003717	3.666536132
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_004224	0.460178625
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_005509	1.752319513
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_005741	0.677778849
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_006237	1.575660084
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_006260	-1.014778398
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_006602	4.387934881
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_007505	4.583458808
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_007560	4.342475211
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_007963	-0.060913348
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_007997	-0.216803213
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_008162	-0.728698855
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_008188	0.123653804
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_009421	0.770395947
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_009686	0.024501489
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_009783	2.829354345
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_010129	-0.320931514
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_010130	1.659839334
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_010290	-0.989864167
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_010415	4.296096199
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_010538	0.607544993
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_010770	-0.850758005
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_010886	-0.25198953
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_011353	0.160917549
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_011876	2.227274651
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_012139	1.754943644
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_012158	-0.408189798
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_012418	4.283167146
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_012419	1.188453439
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_012512	2.14085353
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_012757	-0.16248716
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_012877	3.139569741
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_013223	0.03254593
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_013236	-0.731159409
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_013729	-0.700546899
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_013935	4.422705575
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_014451	1.628402066
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_015049	-0.64425146
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_015054	3.595024483
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_015809	4.155458684
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_016050	6.595260699
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_016655	2.608843127
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_016664	-0.914113408
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_017851	0.442394227
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_017935	-0.423193561
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_018077	-0.384223981
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_018388	-0.038669586
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_018764	0.109140652
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_019066	0.793716051
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_019165	4.145245276
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_019520	4.435741099
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_020414	-0.309776122
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_020621	-0.59259857
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_020634	0.194955814
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_020747	0.292718713
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_021317	-1.136254377
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_021656	1.499961386
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_022009	0.081661557
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_022160	-2.121029159
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_022656	0.849133106
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_022840	3.284359228
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_022982	-0.770606777
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_023126	5.011691226
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_023557	3.976952128
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_023560	-0.20444732
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_023679	1.875086648
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_024099	1.63383624
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_024245	2.073468485
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_024588	-1.27820227
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_025767	0.126112336
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_026237	5.666700739
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_026280	2.328477956
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_026281	1.541769983
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_026342	-0.946207907
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_026343	5.841003624
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_026667	4.432872544
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_026669	0.002545119
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_027159	0.715909993
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_027552	-2.149627678
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_028002	7.925265158
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_028057	0.543174163
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_028189	1.469850761
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_028434	0.277017789
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_028599	3.357617829
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_028826	1.805292583
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030224	-0.11112069
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030225	0.440754726
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030226	-0.568816798
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030228	-0.383326563
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030230	2.043328157
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030231	4.395426326
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030234	2.122913805
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030235	3.930825841
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_030236	0.121077037
"movement of cell or subcellular component"	GO:0007018;GO:0006928	2	SPU_003865	2.13327155
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_000022	0.650004552
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_000026	0.18114391
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_000116	5.269611994
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_000172	-0.438192133
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_000632	1.110699847
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_000799	-1.066504512
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_001183	2.768054629
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_001584	5.037570408
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_001817	0.010521687
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_002686	0.798481382
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_003273	8.662383853
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_003325	0.791353402
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_003415	-1.702948908
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_003466	0.488007366
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_003631	3.606010541
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_003632	-0.697755121
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_004797	4.00229494
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_004890	3.114935117
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_005296	1.926649108
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_005407	4.568670489
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_005870	4.737894837
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_005954	0.183127959
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_007960	8.512391045
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_008372	1.324569616
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_008616	5.240405892
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_009437	5.609021536
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_009629	7.251543779
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_010017	3.901685274
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_012084	-0.12565661
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_012567	2.933646526
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_012817	0.405409762
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_012839	0.255643102
"nucleobase-containing small molecule metabolic process"	GO:0009117;GO:0006753;GO:0055086	2	SPU_012848	1.162208613
