name	term	lev	seq	value
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000062	2.344130925
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000082	3.113352774
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000131	0.450068685
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000215	0.03809839
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000461	8.321660868
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000723	0.057067102
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000784	2.189047226
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000796	1.355134449
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000856	0.936821995
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000899	1.310984261
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_000982	1.952688939
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001045	1.218494222
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001068	3.855335748
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001232	1.330234549
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001337	0.833379742
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001360	0.189611489
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001530	2.511202357
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001579	1.803069722
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001780	2.816493884
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_001875	0.333551522
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_002534	0.578076262
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_002663	0.127393633
"cellular component organization or biogenesis"	GO:0016043;GO:0071840	2	SPU_002714	0.134005627
