name	term	lev	seq	value
"positive regulation of cellular protein metabolic process"	GO:0032270;GO:0051247	2	SPU_003110	0
"positive regulation of cellular protein metabolic process"	GO:0032270;GO:0051247	2	SPU_004794	1
"positive regulation of cellular protein metabolic process"	GO:0032270;GO:0051247	2	SPU_008332	0
"positive regulation of cellular protein metabolic process"	GO:0032270;GO:0051247	2	SPU_023312	0
"positive regulation of cellular protein metabolic process"	GO:0032270;GO:0051247	2	SPU_028898	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_000288	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_000324	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_000790	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_000821	1
"cellular amino acid metabolic process"	GO:0006520	2	SPU_000851	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_001188	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_001191	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_002174	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_002182	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_002375	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_002376	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_002725	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_002908	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_003180	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_003631	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_003632	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_003860	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_003867	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_004242	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_004625	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_004757	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_004769	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_004875	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_004893	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_005070	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_005256	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_005338	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_005711	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_005778	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_006369	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_006417	1
"cellular amino acid metabolic process"	GO:0006520	2	SPU_006853	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_007129	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_007448	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_007569	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_007595	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_007951	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_008058	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_008349	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_008372	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_008871	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_008981	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_009446	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_009672	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_009707	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_009735	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_009772	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_010094	1
"cellular amino acid metabolic process"	GO:0006520	2	SPU_010120	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_010323	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_010402	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_010715	1
"cellular amino acid metabolic process"	GO:0006520	2	SPU_010847	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_011196	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_011216	1
"cellular amino acid metabolic process"	GO:0006520	2	SPU_011294	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_011980	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_012242	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_012471	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_012702	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_012858	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_013010	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_013209	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_013298	0
"cellular amino acid metabolic process"	GO:0006520	2	SPU_013310	0
