name	term	lev	seq	value
"malate metabolic process"	GO:0006108	2	SPU_012677	0
"malate metabolic process"	GO:0006108	2	SPU_015928	0
"malate metabolic process"	GO:0006108	2	SPU_018110	0
"malate metabolic process"	GO:0006108	2	SPU_018624	0
"malate metabolic process"	GO:0006108	2	SPU_023227	0
"chloride transport"	GO:0006821	7	SPU_000025	0
"chloride transport"	GO:0006821	7	SPU_003556	0
"chloride transport"	GO:0006821	7	SPU_006772	0
"chloride transport"	GO:0006821	7	SPU_010646	0
"chloride transport"	GO:0006821	7	SPU_013501	0
"chloride transport"	GO:0006821	7	SPU_013754	0
"chloride transport"	GO:0006821	7	SPU_014873	0
"chloride transport"	GO:0006821	7	SPU_024264	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_003197	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_004860	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_009838	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_011442	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_012581	1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_012930	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_015342	1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_015935	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_016793	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_017141	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_017204	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_017205	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_019769	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_020766	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_021952	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_024258	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_024432	0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	GO:0000398;GO:0000377;GO:0000375	6	SPU_026620	0
"cellular carbohydrate catabolic process"	GO:0044275	2	SPU_008458	0
"cellular carbohydrate catabolic process"	GO:0044275	2	SPU_008459	0
"cellular carbohydrate catabolic process"	GO:0044275	2	SPU_017843	0
"cellular carbohydrate catabolic process"	GO:0044275	2	SPU_024535	0
"cellular carbohydrate catabolic process"	GO:0044275	2	SPU_027595	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_000777	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_000780	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_000872	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_000988	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_002179	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_002398	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_005977	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_006650	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_006937	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_008303	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_011959	0
"membrane lipid metabolic process"	GO:0006643	2	SPU_012397	0
