name	term	lev	seq	value
"chemical homeostasis"	GO:0055080;GO:0098771;GO:0050801;GO:0048878	4	SPU_001356	0.277102059
"chemical homeostasis"	GO:0055080;GO:0098771;GO:0050801;GO:0048878	4	SPU_001559	0.797496361
"chemical homeostasis"	GO:0055080;GO:0098771;GO:0050801;GO:0048878	4	SPU_006845	0.011480746
"chemical homeostasis"	GO:0055080;GO:0098771;GO:0050801;GO:0048878	4	SPU_012712	3.397572358
"chemical homeostasis"	GO:0055080;GO:0098771;GO:0050801;GO:0048878	4	SPU_026949	1.080964424
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000022	0.038943402
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000049	0.429199132
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000075	0.15555234
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000116	0.320715932
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000117	0.983849901
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000177	1.633595372
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000310	0.76955744
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000324	1.770028597
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000346	0.276166328
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000419	1.004933647
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000435	0.126322173
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000442	1.004440007
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000458	0.384085495
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000468	0.134984448
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000514	0.546769872
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000526	0.027963892
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000529	0.079191402
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000563	3.349062839
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000632	0.31433808
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000667	9.982341765
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000680	0.563147724
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000688	0.912989808
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000776	1.235886558
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000790	5.246825372
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000806	1.827656522
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000818	1.853899565
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000830	2.535431951
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000851	1.053848817
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_000882	1.192340458
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001041	1.858734688
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001181	1.425651431
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001269	1.331950293
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001311	4.620533215
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001314	1.638732087
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001397	2.411310706
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001398	0.040718402
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001399	1.974045613
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001400	3.692823181
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001560	0.869254901
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001570	0.384239071
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001584	0.306723358
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001587	1.47409224
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001621	0.726566292
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001689	0.31971951
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001751	0.296924941
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001817	0.151758024
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001846	1.34243174
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001864	3.366580793
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_001867	3.326140893
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002044	0.038315281
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002093	1.260683627
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002105	0.127771291
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002178	0.089779284
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002214	0.035091536
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002246	1.846971297
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002366	1.633685773
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002375	3.190354876
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002376	1.245358145
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002398	2.031062635
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002428	0.240463385
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002533	1.462942312
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002615	5.078854136
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002645	0.195129578
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002731	0.484710158
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002743	1.99615086
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002882	1.221984031
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002908	10.44779075
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002921	0.167876373
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_002990	8.016685585
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003110	1.084356964
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003142	0.202309018
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003158	0.356464875
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003170	1.023694351
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003180	1.537010332
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003191	0.399794026
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003192	0.024199115
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003206	0.156420582
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003324	1.164303076
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003325	3.845150311
"organonitrogen compound metabolic process"	GO:1901564;GO:0019538	2	SPU_003420	0.782276617
