name	term	lev	seq	value
"RNA metabolic process"	GO:0016070	2	SPU_000225	-0.255476736
"RNA metabolic process"	GO:0016070	2	SPU_000790	0.741189171
"RNA metabolic process"	GO:0016070	2	SPU_002629	0.17403094
"RNA metabolic process"	GO:0016070	2	SPU_002869	0.17409423
"RNA metabolic process"	GO:0016070	2	SPU_002908	5.105794879
"RNA metabolic process"	GO:0016070	2	SPU_003180	0.37775715
"RNA metabolic process"	GO:0016070	2	SPU_003378	0.240874713
"RNA metabolic process"	GO:0016070	2	SPU_003860	0.262928635
"RNA metabolic process"	GO:0016070	2	SPU_003910	0.380581189
"RNA metabolic process"	GO:0016070	2	SPU_004715	-0.025595048
"RNA metabolic process"	GO:0016070	2	SPU_004781	-0.649406999
"RNA metabolic process"	GO:0016070	2	SPU_004893	3.081571889
"RNA metabolic process"	GO:0016070	2	SPU_004973	-0.139938997
"RNA metabolic process"	GO:0016070	2	SPU_005070	-0.910335541
"RNA metabolic process"	GO:0016070	2	SPU_005643	0.02368578
"RNA metabolic process"	GO:0016070	2	SPU_005644	-0.091498112
"RNA metabolic process"	GO:0016070	2	SPU_005681	-0.08732821
"RNA metabolic process"	GO:0016070	2	SPU_005778	-1.023712966
"RNA metabolic process"	GO:0016070	2	SPU_005795	-0.788119882
"RNA metabolic process"	GO:0016070	2	SPU_005944	-0.124008253
"RNA metabolic process"	GO:0016070	2	SPU_006720	-0.427112873
"RNA metabolic process"	GO:0016070	2	SPU_007173	0.107426894
"RNA metabolic process"	GO:0016070	2	SPU_007185	-0.0858204
"RNA metabolic process"	GO:0016070	2	SPU_008111	-0.876198843
"RNA metabolic process"	GO:0016070	2	SPU_008215	0.341386606
"RNA metabolic process"	GO:0016070	2	SPU_008450	1.043840644
"RNA metabolic process"	GO:0016070	2	SPU_009044	-0.229851004
"RNA metabolic process"	GO:0016070	2	SPU_009109	0.835708102
"RNA metabolic process"	GO:0016070	2	SPU_009348	-0.837186101
"RNA metabolic process"	GO:0016070	2	SPU_009412	-1.241036189
"RNA metabolic process"	GO:0016070	2	SPU_009446	-0.085477329
"RNA metabolic process"	GO:0016070	2	SPU_009602	0.495926442
"RNA metabolic process"	GO:0016070	2	SPU_009634	-1.524064413
"RNA metabolic process"	GO:0016070	2	SPU_010282	-0.431386322
"RNA metabolic process"	GO:0016070	2	SPU_010417	2.209294801
"RNA metabolic process"	GO:0016070	2	SPU_011442	1.00338596
"RNA metabolic process"	GO:0016070	2	SPU_011658	-0.502742478
"RNA metabolic process"	GO:0016070	2	SPU_011908	-0.246960107
"RNA metabolic process"	GO:0016070	2	SPU_012025	-0.034221018
"RNA metabolic process"	GO:0016070	2	SPU_012152	1.056649008
"RNA metabolic process"	GO:0016070	2	SPU_012930	-0.23798968
"RNA metabolic process"	GO:0016070	2	SPU_012933	0.451737456
"RNA metabolic process"	GO:0016070	2	SPU_013179	0.024295512
"RNA metabolic process"	GO:0016070	2	SPU_014179	-0.538449651
"RNA metabolic process"	GO:0016070	2	SPU_014489	-1.470005309
"RNA metabolic process"	GO:0016070	2	SPU_014697	0.770923829
"RNA metabolic process"	GO:0016070	2	SPU_014735	-0.133909418
"RNA metabolic process"	GO:0016070	2	SPU_014775	0.448004495
"RNA metabolic process"	GO:0016070	2	SPU_014885	-0.909825516
"RNA metabolic process"	GO:0016070	2	SPU_015331	-0.035023269
"RNA metabolic process"	GO:0016070	2	SPU_017071	0.028232668
"RNA metabolic process"	GO:0016070	2	SPU_017414	0.062142317
"RNA metabolic process"	GO:0016070	2	SPU_017781	-0.236000728
"RNA metabolic process"	GO:0016070	2	SPU_017942	-0.264225171
"RNA metabolic process"	GO:0016070	2	SPU_017948	1.066800317
"RNA metabolic process"	GO:0016070	2	SPU_018024	0.220859272
"RNA metabolic process"	GO:0016070	2	SPU_018317	-0.171308725
"RNA metabolic process"	GO:0016070	2	SPU_018354	-0.292220579
"RNA metabolic process"	GO:0016070	2	SPU_019032	-0.741309872
"RNA metabolic process"	GO:0016070	2	SPU_019159	-1.285374322
"RNA metabolic process"	GO:0016070	2	SPU_019462	-0.139019374
"RNA metabolic process"	GO:0016070	2	SPU_019552	-0.494856434
"RNA metabolic process"	GO:0016070	2	SPU_019769	0.756126993
"RNA metabolic process"	GO:0016070	2	SPU_020224	-0.390412297
"RNA metabolic process"	GO:0016070	2	SPU_020255	-1.185840601
"RNA metabolic process"	GO:0016070	2	SPU_021259	-0.713667925
"RNA metabolic process"	GO:0016070	2	SPU_021716	-0.329340874
"RNA metabolic process"	GO:0016070	2	SPU_022206	-0.380113152
"RNA metabolic process"	GO:0016070	2	SPU_023626	1.156515979
"RNA metabolic process"	GO:0016070	2	SPU_023888	-0.431905119
"RNA metabolic process"	GO:0016070	2	SPU_024411	1.361622317
"RNA metabolic process"	GO:0016070	2	SPU_025110	-0.021954054
"RNA metabolic process"	GO:0016070	2	SPU_025963	-0.137424833
"RNA metabolic process"	GO:0016070	2	SPU_026118	0.314939483
"RNA metabolic process"	GO:0016070	2	SPU_026933	1.467765964
"RNA metabolic process"	GO:0016070	2	SPU_027020	-0.402289099
"RNA metabolic process"	GO:0016070	2	SPU_027404	0.114166833
"RNA metabolic process"	GO:0016070	2	SPU_028036	0.183850967
"RNA metabolic process"	GO:0016070	2	SPU_028561	-3.743600817
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_002214	-0.014265208
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_002882	0.326680244
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_003324	-0.649917912
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_003516	0.968008375
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_004036	-0.294483045
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_004590	0.385211611
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_007173	0.107426894
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_007946	-0.268453343
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_008215	0.341386606
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_008458	0.060786708
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_008762	0.188222869
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_008905	-1.778043349
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_009044	-0.229851004
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_009634	-1.524064413
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_010790	-0.306438523
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_010965	-0.319866735
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_011603	0.003284577
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_012152	1.056649008
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_013856	-0.173532964
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_014735	-0.133909418
"macromolecule catabolic process"	GO:0009057;GO:0044265	2	SPU_014921	-0.714934278
