name	term	lev	seq	value
"smoothened signaling pathway"	GO:0007224	5	SPU_004340	0
"smoothened signaling pathway"	GO:0007224	5	SPU_006789	0
"smoothened signaling pathway"	GO:0007224	5	SPU_008951	0
"smoothened signaling pathway"	GO:0007224	5	SPU_008953	0
"smoothened signaling pathway"	GO:0007224	5	SPU_018133	0
"smoothened signaling pathway"	GO:0007224	5	SPU_018135	0
"smoothened signaling pathway"	GO:0007224	5	SPU_021142	0
"smoothened signaling pathway"	GO:0007224	5	SPU_021145	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_001023	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_001624	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_002270	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_003886	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_006142	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_007770	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_008850	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_009402	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_009404	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_010555	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_010784	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_011692	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_012078	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_012792	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_012793	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_014596	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_015194	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_015246	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_017326	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_017703	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_019270	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_020316	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_021303	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_022860	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_023181	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_023320	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_023651	0
"calcium ion transmembrane transport"	GO:0070588	3	SPU_025471	0
"organelle localization"	GO:0048278;GO:0140056;GO:0022406;GO:0051640	3	SPU_001083	0
"organelle localization"	GO:0048278;GO:0140056;GO:0022406;GO:0051640	3	SPU_002218	0
"organelle localization"	GO:0048278;GO:0140056;GO:0022406;GO:0051640	3	SPU_002485	0
"organelle localization"	GO:0048278;GO:0140056;GO:0022406;GO:0051640	3	SPU_002552	0
