name	term	lev	seq	value
"proton-transporting V-type ATPase, V1 domain"	GO:0033180	2	SPU_000364	0.375034501
"proton-transporting V-type ATPase, V1 domain"	GO:0033180	2	SPU_006308	0.200574067
"proton-transporting V-type ATPase, V1 domain"	GO:0033180	2	SPU_012695	1.511452366
"proton-transporting V-type ATPase, V1 domain"	GO:0033180	2	SPU_012784	2.008461386
"proton-transporting V-type ATPase, V1 domain"	GO:0033180	2	SPU_017753	1.196021538
"WASH complex"	GO:0071203	2	SPU_000461	8.321660868
"WASH complex"	GO:0071203	2	SPU_002760	2.792206516
"WASH complex"	GO:0071203	2	SPU_006076	1.873329225
"WASH complex"	GO:0071203	2	SPU_008689	1.106345815
"WASH complex"	GO:0071203	2	SPU_017758	1.756723963
"WASH complex"	GO:0071203	2	SPU_020075	0.127788384
"WASH complex"	GO:0071203	2	SPU_020116	0.178635172
"WASH complex"	GO:0071203	2	SPU_021807	0.520313408
"WASH complex"	GO:0071203	2	SPU_024912	4.567595209
"WASH complex"	GO:0071203	2	SPU_025423	1.731231778
"oxidoreductase complex"	GO:1990204	3	SPU_002482	1.307197326
"oxidoreductase complex"	GO:1990204	3	SPU_003867	2.74490292
"oxidoreductase complex"	GO:1990204	3	SPU_008073	0.405333361
"oxidoreductase complex"	GO:1990204	3	SPU_015981	0.846769563
"oxidoreductase complex"	GO:1990204	3	SPU_028917	0.40210845
"nuclear pore"	GO:0005643	2	SPU_002619	0.2135027
"nuclear pore"	GO:0005643	2	SPU_003075	0.911415421
"nuclear pore"	GO:0005643	2	SPU_003282	2.203089392
"nuclear pore"	GO:0005643	2	SPU_006379	2.436559725
"nuclear pore"	GO:0005643	2	SPU_009115	1.392551724
"nuclear pore"	GO:0005643	2	SPU_009213	0.237541908
"nuclear pore"	GO:0005643	2	SPU_015468	0.436442084
"nuclear pore"	GO:0005643	2	SPU_021249	0.574065126
"nuclear pore"	GO:0005643	2	SPU_022327	0.002326882
"nuclear pore"	GO:0005643	2	SPU_024737	1.792101837
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_003959	0.867629902
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_005110	3.916982531
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_007142	1.094742458
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_009673	2.917460311
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_009674	1.511663646
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_015257	1.275644572
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_016404	0.957447163
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_025777	0.131449468
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_027236	4.043722157
"outer membrane"	GO:0005741;GO:0031968;GO:0019867	2	SPU_007515	0.677567003
"voltage-gated potassium channel complex"	GO:0008076;GO:0034705	3	SPU_000856	0.936821995
"voltage-gated potassium channel complex"	GO:0008076;GO:0034705	3	SPU_004907	4.020694472
"voltage-gated potassium channel complex"	GO:0008076;GO:0034705	3	SPU_006470	0.325856256
"voltage-gated potassium channel complex"	GO:0008076;GO:0034705	3	SPU_012871	1.127530064
"voltage-gated potassium channel complex"	GO:0008076;GO:0034705	3	SPU_018422	0.322951099
"voltage-gated potassium channel complex"	GO:0008076;GO:0034705	3	SPU_019341	0.306028149
"exocyst"	GO:0000145	3	SPU_001083	0.342434851
"exocyst"	GO:0000145	3	SPU_004177	1.19944948
"exocyst"	GO:0000145	3	SPU_011511	0.65436771
"exocyst"	GO:0000145	3	SPU_012639	1.88049094
"exocyst"	GO:0000145	3	SPU_013045	2.577473023
"exocyst"	GO:0000145	3	SPU_015370	4.037173637
"exocyst"	GO:0000145	3	SPU_028263	0.65713717
"extracellular space"	GO:0005615	2	SPU_000997	0.862869857
"extracellular space"	GO:0005615	2	SPU_004543	1.454045229
"extracellular space"	GO:0005615	2	SPU_005193	0.765202666
"extracellular space"	GO:0005615	2	SPU_009463	0.033471895
"extracellular space"	GO:0005615	2	SPU_013170	3.075796042
"extracellular space"	GO:0005615	2	SPU_018503	0.026237226
"extracellular space"	GO:0005615	2	SPU_019422	0.143911147
"extracellular space"	GO:0005615	2	SPU_019667	0.905737009
"extracellular space"	GO:0005615	2	SPU_020443	0.313383161
"extracellular space"	GO:0005615	2	SPU_022988	0.34084281
"extracellular space"	GO:0005615	2	SPU_024128	0.077470342
"extracellular space"	GO:0005615	2	SPU_024263	3.178290797
"extracellular space"	GO:0005615	2	SPU_025922	0.290421426
"extracellular space"	GO:0005615	2	SPU_028275	1.920724714
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_000379	0.515290717
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_000395	0.775837717
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_001232	1.330234549
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_001462	0.181660122
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_001935	0.393794093
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_002458	0.566046019
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_002536	2.05719832
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_002606	14.01324186
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_003485	2.722566798
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_003521	0.435849102
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_003718	1.087441455
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_003772	1.549884576
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_003849	1.038596853
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_003905	0.111818387
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_004609	1.352478386
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_004721	9.109580049
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_004996	3.016381734
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_005227	0.694569154
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_005280	0.036915385
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_005401	0.277108179
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_005571	4.364592263
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_005700	0.487793572
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_005709	4.289020387
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_006034	1.204297997
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_006213	9.618631085
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_006459	2.066553905
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_006569	1.591162373
"intracellular non-membrane-bounded organelle"	GO:0043232;GO:0043228	2	SPU_007057	7.916021231
