name	term	lev	seq	value
"nuclear protein-containing complex"	GO:0140513	2	SPU_000252	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_000544	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_000900	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_001146	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_001308	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_001512	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_002480	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_003075	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_003197	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_003282	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_003644	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_003868	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_004635	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_004860	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_004889	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005190	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005276	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005598	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005644	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005659	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005876	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005944	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_005987	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_006379	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_006666	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_006861	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_007187	1
"nuclear protein-containing complex"	GO:0140513	2	SPU_007300	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_007377	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_008018	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_008533	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_008840	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_009115	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_009213	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_009277	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_009345	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_009602	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_009651	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_009797	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_010339	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_010546	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_011091	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_011658	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_011676	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_011789	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_011908	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_012051	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_012580	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_012581	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_012696	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_012887	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_012900	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_012930	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_013568	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_013715	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_013996	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_014832	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_015342	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_015364	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_015468	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_016017	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_016687	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_016733	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_016793	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_016844	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_017141	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_017204	1
"nuclear protein-containing complex"	GO:0140513	2	SPU_017205	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_017723	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_017897	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_018354	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_018480	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_018588	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_018944	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_019031	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_019373	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_019519	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_019769	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_020495	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_020766	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_020924	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_021036	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_021077	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_021195	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_021695	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_021810	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_021952	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_022626	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_022847	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_022853	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_023027	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_023334	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_023506	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_023529	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_023685	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_024153	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_024432	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_024927	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_024959	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_025185	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_025399	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_025589	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_025671	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_025732	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_025737	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_026147	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_026339	1
"nuclear protein-containing complex"	GO:0140513	2	SPU_026620	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_026715	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_027408	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_027580	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_028213	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_028430	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_028524	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_028722	0
"nuclear protein-containing complex"	GO:0140513	2	SPU_028771	0
"proteasome core complex, alpha-subunit complex"	GO:0019773	2	SPU_002299	0
"proteasome core complex, alpha-subunit complex"	GO:0019773	2	SPU_004036	0
"proteasome core complex, alpha-subunit complex"	GO:0019773	2	SPU_013097	0
"proteasome core complex, alpha-subunit complex"	GO:0019773	2	SPU_023286	0
"proteasome core complex, alpha-subunit complex"	GO:0019773	2	SPU_026711	0
"cytoplasm"	GO:0005737	2	SPU_000129	0
"cytoplasm"	GO:0005737	2	SPU_000292	0
"cytoplasm"	GO:0005737	2	SPU_000446	0
"cytoplasm"	GO:0005737	2	SPU_000595	0
"cytoplasm"	GO:0005737	2	SPU_000790	0
"cytoplasm"	GO:0005737	2	SPU_000799	1
"cytoplasm"	GO:0005737	2	SPU_001309	0
"cytoplasm"	GO:0005737	2	SPU_001337	0
"cytoplasm"	GO:0005737	2	SPU_001579	1
"cytoplasm"	GO:0005737	2	SPU_001831	0
"cytoplasm"	GO:0005737	2	SPU_002153	0
"cytoplasm"	GO:0005737	2	SPU_002182	0
"cytoplasm"	GO:0005737	2	SPU_002220	0
"cytoplasm"	GO:0005737	2	SPU_002234	0
"cytoplasm"	GO:0005737	2	SPU_002302	0
"cytoplasm"	GO:0005737	2	SPU_002375	0
"cytoplasm"	GO:0005737	2	SPU_002376	0
"cytoplasm"	GO:0005737	2	SPU_002443	0
"cytoplasm"	GO:0005737	2	SPU_002655	0
"cytoplasm"	GO:0005737	2	SPU_002773	0
"cytoplasm"	GO:0005737	2	SPU_002908	0
"cytoplasm"	GO:0005737	2	SPU_003180	1
