name	term	lev	seq	value
"microtubule organizing center"	GO:0005815	2	SPU_005814	0.25594608
"microtubule organizing center"	GO:0005815	2	SPU_010736	0.018698406
"microtubule organizing center"	GO:0005815	2	SPU_010938	0.99356017
"microtubule organizing center"	GO:0005815	2	SPU_016509	1.604511026
"microtubule organizing center"	GO:0005815	2	SPU_019953	7.127142998
"microtubule organizing center"	GO:0005815	2	SPU_020715	0.183414753
"microtubule organizing center"	GO:0005815	2	SPU_026892	0.309427473
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_000856	0.441046542
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_006470	0.986273977
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_007770	0.299766762
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_007963	0.492731278
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_012871	0.545042746
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_015470	1.361068869
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_019299	0.272972608
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_025997	6.22E-05
"transmembrane transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	3	SPU_001596	0.404645517
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000225	0.677780798
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000255	0.893051133
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000371	1.656260902
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000388	2.235836518
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000485	1.353910317
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000749	1.060715076
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000756	4.140798343
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_000964	0.765675675
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001087	0.531492792
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001255	0.672760672
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001305	1.393729121
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001457	2.001095611
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001519	0.136809778
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001739	2.620240188
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001780	0.162784657
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001826	0.553664964
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001836	4.237075836
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_001975	2.249929667
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002129	0.281091613
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002173	1.523992079
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002314	1.119975604
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002503	6.766287876
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002592	0.092506737
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002630	0.519155659
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002631	1.410323261
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002874	0.265056633
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002924	0.609269208
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_002964	0.681791525
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_003378	0.478464946
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_003595	0.467877064
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_003704	1.873324108
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_003724	0.26011445
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_003989	1.174035873
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_004255	0.340318306
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_004658	0.339837797
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_004723	3.168187335
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_005171	0.366788965
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_005358	0.305658014
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_005435	0.082977223
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_005643	0.079126556
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_005771	1.748151822
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_005814	0.25594608
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_005853	1.017319162
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_006150	0.888773617
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_006787	0.513747327
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_006917	1.562910813
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_006991	1.304381458
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_007013	0.374171467
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_007675	0.081042744
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008074	1.69392879
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008117	6.831247227
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008177	3.374469463
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008453	4.057034152
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008484	0.025662676
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008528	0.710193377
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008905	2.050481529
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_008936	0.021309654
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_009095	1.476514416
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_009520	2.044595434
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_009797	0.174108955
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_010199	3.648948164
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_010351	0.871677668
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_010533	0.282238874
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_010659	1.179834085
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_011027	0.729702062
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_011246	0.030013611
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_011485	0.471617601
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_011491	0.1003723
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_011618	2.65131367
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_012203	0.978554061
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_012475	2.465473544
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_013005	2.706668584
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_013015	2.314717432
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_013134	0.104003242
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_013178	1.125578317
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_013409	0.239802595
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_013843	10.01433522
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_013855	1.299375782
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014157	0.221481028
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014164	4.355349579
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014405	1.298190573
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014461	0.595577847
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014489	3.268448482
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014534	0.261416071
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014576	0.162052779
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014712	0.085427974
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014734	3.679664633
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014802	1.273511479
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_014807	1.705618384
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	5	SPU_015374	0.56362152
