name	term	lev	seq	value
"Golgi apparatus"	GO:0005794	3	SPU_004515	0.156877987
"Golgi apparatus"	GO:0005794	3	SPU_005313	-0.836344924
"Golgi apparatus"	GO:0005794	3	SPU_015615	0.260787096
"Golgi apparatus"	GO:0005794	3	SPU_016064	0.304036913
"Golgi apparatus"	GO:0005794	3	SPU_018438	2.328163417
"Golgi apparatus"	GO:0005794	3	SPU_022930	-0.063364412
"Golgi apparatus"	GO:0005794	3	SPU_026815	-0.778561135
"postsynaptic membrane"	GO:0045211;GO:0097060;GO:0098590	5	SPU_000765	1.085407058
"postsynaptic membrane"	GO:0045211;GO:0097060;GO:0098590	5	SPU_017912	-1.429367144
"postsynaptic membrane"	GO:0045211;GO:0097060;GO:0098590	5	SPU_019709	0.578388449
"postsynaptic membrane"	GO:0045211;GO:0097060;GO:0098590	5	SPU_023216	0.644316596
"postsynaptic membrane"	GO:0045211;GO:0097060;GO:0098590	5	SPU_024908	1.452895969
"postsynaptic membrane"	GO:0045211;GO:0097060;GO:0098590	5	SPU_027433	-0.128100511
"postsynaptic membrane"	GO:0045211;GO:0097060;GO:0098590	5	SPU_027434	-1.163649125
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000225	-0.25547225
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000255	0.395612901
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000371	0.360512201
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000388	0.410348667
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000485	0.684978069
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000510	-0.591212037
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000749	-0.562069904
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000756	2.868622029
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_000964	-0.543727609
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001087	-1.609883439
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001255	-0.184572664
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001305	-0.965220171
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001457	0.890151754
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001519	0.069224499
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001739	0.568918477
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001780	1.236771851
"membrane-bounded organelle"	GO:0005634;GO:0043231;GO:0043227	2	SPU_001826	0.772653622
