name	term	lev	seq	value
"COPI vesicle coat"	GO:0030126	3	SPU_008449	0
"COPI vesicle coat"	GO:0030126	3	SPU_010747	0
"COPI vesicle coat"	GO:0030126	3	SPU_019286	0
"COPI vesicle coat"	GO:0030126	3	SPU_025016	0
"COPI vesicle coat"	GO:0030126	3	SPU_025121	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_000077	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_000364	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_005296	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_006017	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_006308	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_009588	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_010739	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_012695	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_012784	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_016414	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_017605	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_017753	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0033178	3	SPU_028873	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_000061	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_000062	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_000095	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_000096	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_000098	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_000796	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_001024	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_001045	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_002424	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_002663	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_002788	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_003894	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_004143	0
"supramolecular complex"	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	3	SPU_004266	0
