name	term	lev	seq	value
"anion transmembrane transporter activity"	GO:0008509	2	SPU_000025	-0.035450843
"anion transmembrane transporter activity"	GO:0008509	2	SPU_001595	1.398924607
"anion transmembrane transporter activity"	GO:0008509	2	SPU_001669	0.144220743
"anion transmembrane transporter activity"	GO:0008509	2	SPU_001670	-0.765065439
"anion transmembrane transporter activity"	GO:0008509	2	SPU_002229	1.556218562
"anion transmembrane transporter activity"	GO:0008509	2	SPU_003010	-0.029252465
"anion transmembrane transporter activity"	GO:0008509	2	SPU_003800	-2.019866231
"anion transmembrane transporter activity"	GO:0008509	2	SPU_004504	0.018319675
"anion transmembrane transporter activity"	GO:0008509	2	SPU_005290	0.166852381
"anion transmembrane transporter activity"	GO:0008509	2	SPU_005318	0.20647009
"anion transmembrane transporter activity"	GO:0008509	2	SPU_005784	0.527175676
"anion transmembrane transporter activity"	GO:0008509	2	SPU_006102	-1.575744782
"anion transmembrane transporter activity"	GO:0008509	2	SPU_006381	-0.001273616
"anion transmembrane transporter activity"	GO:0008509	2	SPU_006382	0.100475293
"anion transmembrane transporter activity"	GO:0008509	2	SPU_006486	-0.146083093
"anion transmembrane transporter activity"	GO:0008509	2	SPU_007249	0.006163484
"anion transmembrane transporter activity"	GO:0008509	2	SPU_008692	0.137885707
"anion transmembrane transporter activity"	GO:0008509	2	SPU_008804	-0.025000615
"anion transmembrane transporter activity"	GO:0008509	2	SPU_009014	-0.001355206
"anion transmembrane transporter activity"	GO:0008509	2	SPU_009609	0.177479785
"anion transmembrane transporter activity"	GO:0008509	2	SPU_009768	0.056806816
"anion transmembrane transporter activity"	GO:0008509	2	SPU_010646	-1.685563611
"anion transmembrane transporter activity"	GO:0008509	2	SPU_011041	-0.838506245
"anion transmembrane transporter activity"	GO:0008509	2	SPU_012589	-0.735929054
"anion transmembrane transporter activity"	GO:0008509	2	SPU_013053	0.008240447
"anion transmembrane transporter activity"	GO:0008509	2	SPU_013361	0.111156525
"anion transmembrane transporter activity"	GO:0008509	2	SPU_013501	-0.501376806
"anion transmembrane transporter activity"	GO:0008509	2	SPU_013754	-0.468870373
"anion transmembrane transporter activity"	GO:0008509	2	SPU_013942	-0.570276676
"anion transmembrane transporter activity"	GO:0008509	2	SPU_013943	-0.097800835
"anion transmembrane transporter activity"	GO:0008509	2	SPU_013944	-0.120144346
"anion transmembrane transporter activity"	GO:0008509	2	SPU_014036	-0.101420006
"anion transmembrane transporter activity"	GO:0008509	2	SPU_014873	-0.567501185
"anion transmembrane transporter activity"	GO:0008509	2	SPU_015248	0.093234798
"anion transmembrane transporter activity"	GO:0008509	2	SPU_015257	-0.932746598
"anion transmembrane transporter activity"	GO:0008509	2	SPU_015795	-0.102954784
"anion transmembrane transporter activity"	GO:0008509	2	SPU_015946	-0.378522542
"anion transmembrane transporter activity"	GO:0008509	2	SPU_015966	-0.176689971
"anion transmembrane transporter activity"	GO:0008509	2	SPU_016155	-0.562659457
"anion transmembrane transporter activity"	GO:0008509	2	SPU_016924	-0.896873398
"anion transmembrane transporter activity"	GO:0008509	2	SPU_017175	0.025429347
"anion transmembrane transporter activity"	GO:0008509	2	SPU_017342	0.440826965
"anion transmembrane transporter activity"	GO:0008509	2	SPU_017788	-0.237973115
"anion transmembrane transporter activity"	GO:0008509	2	SPU_017882	-0.123888982
"anion transmembrane transporter activity"	GO:0008509	2	SPU_019420	1.170257884
"anion transmembrane transporter activity"	GO:0008509	2	SPU_019603	0.551726172
"anion transmembrane transporter activity"	GO:0008509	2	SPU_020155	-1.739043659
"anion transmembrane transporter activity"	GO:0008509	2	SPU_020211	0.290933642
"anion transmembrane transporter activity"	GO:0008509	2	SPU_020212	-0.027468504
"anion transmembrane transporter activity"	GO:0008509	2	SPU_021266	-0.450884604
"anion transmembrane transporter activity"	GO:0008509	2	SPU_021648	0.271998084
"anion transmembrane transporter activity"	GO:0008509	2	SPU_021800	-0.110562941
"anion transmembrane transporter activity"	GO:0008509	2	SPU_022203	0.157991332
"anion transmembrane transporter activity"	GO:0008509	2	SPU_022363	0.01956424
"anion transmembrane transporter activity"	GO:0008509	2	SPU_022704	-0.016469936
"anion transmembrane transporter activity"	GO:0008509	2	SPU_023707	-0.175297401
"anion transmembrane transporter activity"	GO:0008509	2	SPU_024450	-0.401836339
"anion transmembrane transporter activity"	GO:0008509	2	SPU_024736	-0.29289503
"anion transmembrane transporter activity"	GO:0008509	2	SPU_024871	-0.819024651
"anion transmembrane transporter activity"	GO:0008509	2	SPU_025779	0.103593628
"anion transmembrane transporter activity"	GO:0008509	2	SPU_025858	-0.049588388
"anion transmembrane transporter activity"	GO:0008509	2	SPU_026452	0.082475893
"anion transmembrane transporter activity"	GO:0008509	2	SPU_026694	0.187689726
"anion transmembrane transporter activity"	GO:0008509	2	SPU_026913	-0.209359411
"anion transmembrane transporter activity"	GO:0008509	2	SPU_027236	0.025337176
"anion transmembrane transporter activity"	GO:0008509	2	SPU_027797	0.337611796
"anion transmembrane transporter activity"	GO:0008509	2	SPU_027799	0.374274326
"anion transmembrane transporter activity"	GO:0008509	2	SPU_028310	-0.116850038
"anion transmembrane transporter activity"	GO:0008509	2	SPU_028602	-0.284284783
"anion transmembrane transporter activity"	GO:0008509	2	SPU_028697	-0.190931918
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000022	0.057733082
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000048	0.014481172
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000069	0.68318534
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000076	0.134456982
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000092	0.262546002
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000364	-0.097736624
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000380	0.003029084
"cation transmembrane transporter activity"	GO:0022890;GO:0008324	2	SPU_000844	0.028991279
