name	term	lev	seq	value
"RNA binding"	GO:0003723	3	SPU_000029	3.897124014
"RNA binding"	GO:0003723	3	SPU_000181	4.242601891
"RNA binding"	GO:0003723	3	SPU_000303	12.47906897
"RNA binding"	GO:0003723	3	SPU_000635	0.143944327
"RNA binding"	GO:0003723	3	SPU_000636	1.555004721
"RNA binding"	GO:0003723	3	SPU_000714	4.725107896
"RNA binding"	GO:0003723	3	SPU_000919	1.332862969
"RNA binding"	GO:0003723	3	SPU_000934	2.402533309
"RNA binding"	GO:0003723	3	SPU_000943	0.485770888
"RNA binding"	GO:0003723	3	SPU_000960	2.256155248
"RNA binding"	GO:0003723	3	SPU_001125	-0.248324736
"RNA binding"	GO:0003723	3	SPU_001283	5.561393189
"RNA binding"	GO:0003723	3	SPU_001337	4.789152919
"RNA binding"	GO:0003723	3	SPU_001429	6.23150795
"RNA binding"	GO:0003723	3	SPU_001556	1.579412289
"RNA binding"	GO:0003723	3	SPU_001771	-1.485330104
"RNA binding"	GO:0003723	3	SPU_001889	1.538074904
"RNA binding"	GO:0003723	3	SPU_002103	0.575943947
"RNA binding"	GO:0003723	3	SPU_002183	0.903033181
"RNA binding"	GO:0003723	3	SPU_002220	2.313085323
"RNA binding"	GO:0003723	3	SPU_002281	3.580515111
"RNA binding"	GO:0003723	3	SPU_002324	4.178520033
"RNA binding"	GO:0003723	3	SPU_002443	4.688438344
"RNA binding"	GO:0003723	3	SPU_002595	3.612111609
"RNA binding"	GO:0003723	3	SPU_002629	-0.958119343
"RNA binding"	GO:0003723	3	SPU_002655	10.47309206
"RNA binding"	GO:0003723	3	SPU_002672	0.273134716
"RNA binding"	GO:0003723	3	SPU_002839	5.515350623
"RNA binding"	GO:0003723	3	SPU_003056	0.112413585
"RNA binding"	GO:0003723	3	SPU_003059	0.630334152
"RNA binding"	GO:0003723	3	SPU_003063	-1.165284805
"RNA binding"	GO:0003723	3	SPU_003151	-1.743758916
"RNA binding"	GO:0003723	3	SPU_003261	0.887108026
"RNA binding"	GO:0003723	3	SPU_003319	2.160925507
"RNA binding"	GO:0003723	3	SPU_003468	2.999423244
"RNA binding"	GO:0003723	3	SPU_003646	-1.291718946
"RNA binding"	GO:0003723	3	SPU_003905	1.945259696
"RNA binding"	GO:0003723	3	SPU_003989	-1.80376633
