name	term	lev	seq	value
"carboxylic acid binding"	GO:0031406	3	SPU_000835	4.820410266
"carboxylic acid binding"	GO:0031406	3	SPU_000851	1.117491249
"carboxylic acid binding"	GO:0031406	3	SPU_010065	2.794047645
"carboxylic acid binding"	GO:0031406	3	SPU_010937	1.33331838
"carboxylic acid binding"	GO:0031406	3	SPU_013209	0.123960084
"carboxylic acid binding"	GO:0031406	3	SPU_014011	1.115756925
"carboxylic acid binding"	GO:0031406	3	SPU_014247	1.324482431
"carboxylic acid binding"	GO:0031406	3	SPU_023313	1.377051689
"carboxylic acid binding"	GO:0031406	3	SPU_025093	1.119697267
"carboxylic acid binding"	GO:0031406	3	SPU_026471	0.326081551
"carboxylic acid binding"	GO:0031406	3	SPU_027400	0.982310444
"carboxylic acid binding"	GO:0031406	3	SPU_027669	2.404368554
"carboxylic acid binding"	GO:0031406	3	SPU_027791	0.161404137
"phospholipase A2 activity"	GO:0004623	5	SPU_002572	0.216767482
"phospholipase A2 activity"	GO:0004623	5	SPU_011256	0.964067892
"phospholipase A2 activity"	GO:0004623	5	SPU_012042	0.874481185
"phospholipase A2 activity"	GO:0004623	5	SPU_022047	0.797352935
"phospholipase A2 activity"	GO:0004623	5	SPU_022623	1.098027726
"phospholipase A2 activity"	GO:0004623	5	SPU_023802	0.982833234
"phospholipase A2 activity"	GO:0004623	5	SPU_026146	0.1401933
"amidine-lyase activity"	GO:0016842	4	SPU_000026	1.712732808
"amidine-lyase activity"	GO:0016842	4	SPU_010847	1.640991057
"amidine-lyase activity"	GO:0016842	4	SPU_011626	3.853953425
"amidine-lyase activity"	GO:0016842	4	SPU_024028	0.03873528
"amidine-lyase activity"	GO:0016842	4	SPU_028754	1.068232246
"omega peptidase activity"	GO:0008242	2	SPU_003892	0.634620241
"omega peptidase activity"	GO:0008242	2	SPU_004251	2.213174387
"omega peptidase activity"	GO:0008242	2	SPU_005275	1.202601496
"omega peptidase activity"	GO:0008242	2	SPU_022215	0.345559272
"omega peptidase activity"	GO:0008242	2	SPU_028265	2.399933194
"NAD+ ADP-ribosyltransferase activity"	GO:0003950	3	SPU_000287	0.852023338
"NAD+ ADP-ribosyltransferase activity"	GO:0003950	3	SPU_012043	0.289814278
"NAD+ ADP-ribosyltransferase activity"	GO:0003950	3	SPU_012980	0.673238056
"NAD+ ADP-ribosyltransferase activity"	GO:0003950	3	SPU_016066	2.429071285
"NAD+ ADP-ribosyltransferase activity"	GO:0003950	3	SPU_018184	0.269138873
"NAD+ ADP-ribosyltransferase activity"	GO:0003950	3	SPU_020407	1.398885022
"NAD+ ADP-ribosyltransferase activity"	GO:0003950	3	SPU_028149	0.145829718
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_000616	1.893827286
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_001392	0.77244473
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_005264	0.81631076
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_005415	3.547584756
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_006353	0.953126703
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_007006	3.552082116
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_009288	0.783491499
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_011479	0.746666743
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_017533	0.042895026
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_021207	0.086703509
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_023575	1.348969545
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_025557	0.158248991
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	4	SPU_020268	0.501457306
"lyase activity"	GO:0016829	2	SPU_000026	1.712732808
"lyase activity"	GO:0016829	2	SPU_000116	0.360962757
"lyase activity"	GO:0016829	2	SPU_000288	0.314748301
"lyase activity"	GO:0016829	2	SPU_000632	10.56050042
"lyase activity"	GO:0016829	2	SPU_002510	0.11424015
"lyase activity"	GO:0016829	2	SPU_002686	0.284846928
"lyase activity"	GO:0016829	2	SPU_003073	0.806060677
"lyase activity"	GO:0016829	2	SPU_003466	0.53449452
"lyase activity"	GO:0016829	2	SPU_004890	0.37863877
"lyase activity"	GO:0016829	2	SPU_005407	1.099622982
"lyase activity"	GO:0016829	2	SPU_005743	0.68303063
"lyase activity"	GO:0016829	2	SPU_005870	2.038352923
"lyase activity"	GO:0016829	2	SPU_005954	0.49063319
"lyase activity"	GO:0016829	2	SPU_006973	0.11238462
"lyase activity"	GO:0016829	2	SPU_007204	0.048750971
"lyase activity"	GO:0016829	2	SPU_007745	0.298989652
"lyase activity"	GO:0016829	2	SPU_008189	0.889212576
"lyase activity"	GO:0016829	2	SPU_008195	4.924651611
"lyase activity"	GO:0016829	2	SPU_008275	1.247165618
"lyase activity"	GO:0016829	2	SPU_008554	0.763506219
"lyase activity"	GO:0016829	2	SPU_009619	0.554391556
