name	term	lev	seq	value
"exopeptidase activity"	GO:0008238	2	SPU_000075	0
"exopeptidase activity"	GO:0008238	2	SPU_001226	0
"exopeptidase activity"	GO:0008238	2	SPU_001629	0
"exopeptidase activity"	GO:0008238	2	SPU_001849	0
"exopeptidase activity"	GO:0008238	2	SPU_003749	0
"exopeptidase activity"	GO:0008238	2	SPU_004157	0
"exopeptidase activity"	GO:0008238	2	SPU_004485	0
"exopeptidase activity"	GO:0008238	2	SPU_004722	0
"exopeptidase activity"	GO:0008238	2	SPU_007682	0
"exopeptidase activity"	GO:0008238	2	SPU_008959	0
"exopeptidase activity"	GO:0008238	2	SPU_011369	0
"exopeptidase activity"	GO:0008238	2	SPU_012846	0
"exopeptidase activity"	GO:0008238	2	SPU_013245	0
"exopeptidase activity"	GO:0008238	2	SPU_013699	0
"exopeptidase activity"	GO:0008238	2	SPU_013931	0
"exopeptidase activity"	GO:0008238	2	SPU_013961	0
"exopeptidase activity"	GO:0008238	2	SPU_015027	0
"exopeptidase activity"	GO:0008238	2	SPU_015452	0
"exopeptidase activity"	GO:0008238	2	SPU_015939	0
"exopeptidase activity"	GO:0008238	2	SPU_016327	0
"exopeptidase activity"	GO:0008238	2	SPU_016331	0
"exopeptidase activity"	GO:0008238	2	SPU_017575	0
"exopeptidase activity"	GO:0008238	2	SPU_017601	0
"exopeptidase activity"	GO:0008238	2	SPU_019101	0
"exopeptidase activity"	GO:0008238	2	SPU_019102	0
"exopeptidase activity"	GO:0008238	2	SPU_019205	0
"exopeptidase activity"	GO:0008238	2	SPU_019777	0
"exopeptidase activity"	GO:0008238	2	SPU_020581	0
"exopeptidase activity"	GO:0008238	2	SPU_021351	0
"exopeptidase activity"	GO:0008238	2	SPU_021355	0
"exopeptidase activity"	GO:0008238	2	SPU_021609	0
"exopeptidase activity"	GO:0008238	2	SPU_021991	0
"exopeptidase activity"	GO:0008238	2	SPU_022944	0
"exopeptidase activity"	GO:0008238	2	SPU_023330	0
"exopeptidase activity"	GO:0008238	2	SPU_023660	0
"exopeptidase activity"	GO:0008238	2	SPU_024128	0
"exopeptidase activity"	GO:0008238	2	SPU_025520	0
"exopeptidase activity"	GO:0008238	2	SPU_026013	0
"exopeptidase activity"	GO:0008238	2	SPU_026095	0
"exopeptidase activity"	GO:0008238	2	SPU_026389	0
"exopeptidase activity"	GO:0008238	2	SPU_026910	0
"exopeptidase activity"	GO:0008238	2	SPU_027451	0
"exopeptidase activity"	GO:0008238	2	SPU_027454	0
"exopeptidase activity"	GO:0008238	2	SPU_028021	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_002725	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_003742	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_004304	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_005851	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_007129	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_008195	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_008434	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_010804	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_010980	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_010981	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_014011	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_014291	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_015360	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_018635	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_018636	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_018637	1
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_018893	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_023429	1
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_023430	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_027669	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_027816	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_028646	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_017843	0
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	GO:0016702;GO:0016701	4	SPU_027246	0
"unfolded protein binding"	GO:0051082	2	SPU_001586	0
"unfolded protein binding"	GO:0051082	2	SPU_001722	1
"unfolded protein binding"	GO:0051082	2	SPU_002148	0
"unfolded protein binding"	GO:0051082	2	SPU_002813	0
"unfolded protein binding"	GO:0051082	2	SPU_004700	0
"unfolded protein binding"	GO:0051082	2	SPU_004741	0
"unfolded protein binding"	GO:0051082	2	SPU_004887	0
"unfolded protein binding"	GO:0051082	2	SPU_006047	0
"unfolded protein binding"	GO:0051082	2	SPU_006672	0
"unfolded protein binding"	GO:0051082	2	SPU_008599	0
"unfolded protein binding"	GO:0051082	2	SPU_008656	0
"unfolded protein binding"	GO:0051082	2	SPU_009300	0
"unfolded protein binding"	GO:0051082	2	SPU_010434	0
"unfolded protein binding"	GO:0051082	2	SPU_016061	0
"unfolded protein binding"	GO:0051082	2	SPU_016562	0
"unfolded protein binding"	GO:0051082	2	SPU_019081	0
"unfolded protein binding"	GO:0051082	2	SPU_020322	0
"unfolded protein binding"	GO:0051082	2	SPU_021154	0
"unfolded protein binding"	GO:0051082	2	SPU_022158	0
"unfolded protein binding"	GO:0051082	2	SPU_022236	0
"unfolded protein binding"	GO:0051082	2	SPU_022270	0
"unfolded protein binding"	GO:0051082	2	SPU_022957	0
"unfolded protein binding"	GO:0051082	2	SPU_023029	1
"unfolded protein binding"	GO:0051082	2	SPU_024082	1
"unfolded protein binding"	GO:0051082	2	SPU_024419	0
"unfolded protein binding"	GO:0051082	2	SPU_024985	0
"unfolded protein binding"	GO:0051082	2	SPU_025484	0
"unfolded protein binding"	GO:0051082	2	SPU_025633	0
"unfolded protein binding"	GO:0051082	2	SPU_026096	0
"unfolded protein binding"	GO:0051082	2	SPU_026705	0
"unfolded protein binding"	GO:0051082	2	SPU_027527	0
"unfolded protein binding"	GO:0051082	2	SPU_027651	0
"unfolded protein binding"	GO:0051082	2	SPU_027783	0
"unfolded protein binding"	GO:0051082	2	SPU_028735	0
"unfolded protein binding"	GO:0051082	2	SPU_028919	0
"transcription coregulator activity"	GO:0003712	2	SPU_004213	1
"transcription coregulator activity"	GO:0003712	2	SPU_008461	0
"transcription coregulator activity"	GO:0003712	2	SPU_008608	0
"transcription coregulator activity"	GO:0003712	2	SPU_013996	0
"transcription coregulator activity"	GO:0003712	2	SPU_014281	0
"transcription coregulator activity"	GO:0003712	2	SPU_015407	0
"transcription coregulator activity"	GO:0003712	2	SPU_019024	0
"transcription coregulator activity"	GO:0003712	2	SPU_019833	0
"transcription coregulator activity"	GO:0003712	2	SPU_020194	0
"transcription coregulator activity"	GO:0003712	2	SPU_021004	0
"transcription coregulator activity"	GO:0003712	2	SPU_022327	0
"transcription coregulator activity"	GO:0003712	2	SPU_022540	0
"transcription coregulator activity"	GO:0003712	2	SPU_024304	0
"transcription coregulator activity"	GO:0003712	2	SPU_024737	0
"transcription coregulator activity"	GO:0003712	2	SPU_025413	0
"transcription coregulator activity"	GO:0003712	2	SPU_026962	0
"transcription coregulator activity"	GO:0003712	2	SPU_027066	0
"transcription coregulator activity"	GO:0003712	2	SPU_027734	0
"transcription coregulator activity"	GO:0003712	2	SPU_027964	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_000385	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_000957	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_002031	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_004017	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_006409	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_007546	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_008762	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_009817	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_017714	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_019401	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_019942	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_023208	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_023903	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_028501	0
"serine-type endopeptidase inhibitor activity"	GO:0004867	6	SPU_030138	0
"hexosaminidase activity"	GO:0015929	2	SPU_002838	0
"hexosaminidase activity"	GO:0015929	2	SPU_017150	0
"hexosaminidase activity"	GO:0015929	2	SPU_017990	0
"hexosaminidase activity"	GO:0015929	2	SPU_018189	0
"hexosaminidase activity"	GO:0015929	2	SPU_019631	0
"hexosaminidase activity"	GO:0015929	2	SPU_026104	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_000385	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_000957	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_000997	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_002031	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_002693	1
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_003134	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_004017	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_004104	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_004610	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_005182	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_005193	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_006409	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_007546	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008762	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008857	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008860	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008862	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008863	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008864	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008865	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_008866	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_009319	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_009817	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_011257	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_012413	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_012439	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_017239	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_017714	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_019401	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_019422	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_019600	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_019601	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_019942	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_022988	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_023208	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_023903	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_024564	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_024565	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_025780	0
"enzyme inhibitor activity"	GO:0030414;GO:0004857;GO:0061134	2	SPU_025796	0
