name	term	lev	seq	value
"enzyme activator activity"	GO:0008047	2	SPU_011571	0.022957089
"enzyme activator activity"	GO:0008047	2	SPU_015551	1.405354034
"enzyme activator activity"	GO:0008047	2	SPU_020019	1.403755377
"enzyme activator activity"	GO:0008047	2	SPU_022175	0.725282189
"enzyme activator activity"	GO:0008047	2	SPU_023287	2.793654168
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_000790	5.246825372
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_002908	10.44779075
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_003180	1.537010332
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_003860	1.44289408
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_004893	4.612520428
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_005070	1.544345737
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_005778	0.979641905
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_005795	1.455123191
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_006720	1.639985469
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_009412	4.814772545
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_009446	0.342915307
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_012025	0.041339619
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_014179	1.223966297
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_014697	0.838642071
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_017071	0.06432448
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_017414	0.209929691
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_017781	0.493123248
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_017948	1.031002969
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_018024	0.237342971
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_018317	0.433696378
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_019032	0.66631754
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_021259	3.484418581
"catalytic activity, acting on a tRNA"	GO:0140101	3	SPU_021716	0.593097655
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_000357	0.35077673
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_000396	0.192508943
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_000555	1.403274622
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_002375	3.190354876
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_002376	1.245358145
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_005324	0.024063089
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_005325	2.482633379
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_005361	1.18967413
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_005648	2.157196836
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_005712	3.321630648
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_006037	2.212563114
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_006339	0.62298384
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_007426	1.126233535
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_008247	1.0723856
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_009412	4.814772545
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_010282	0.424820604
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_010417	4.834589059
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_010874	0.77117101
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	4	SPU_011216	0.621492894
