name	term	lev	seq	value
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_000357	0.138541999
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_000396	0.132705672
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_000555	-0.229061692
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_002375	-1.040591842
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_002376	1.007411289
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_005324	-0.044739545
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_005325	2.023624063
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_005361	1.039783573
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_005648	-2.089438438
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_005712	-2.809553634
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_006037	-0.569286122
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_006339	-0.430812754
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_007426	0.772045853
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_008247	-0.821214344
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_009412	-1.241036189
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_010282	-0.431386322
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_010417	2.209294801
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_010874	-0.437834389
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_011216	0.232622353
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_011712	-0.420348117
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_011980	-0.94341191
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_012178	-0.17206595
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_012533	0.282706987
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_013179	0.024295512
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_013379	-0.060026855
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_013462	0.001987145
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_014727	-0.993147957
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_014775	0.448004495
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_014888	1.232118201
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_018987	0.16090234
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_020930	0.075712279
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_021288	-0.336250118
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_021565	0.661565125
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_021878	0.742748792
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_023968	0.604789936
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_025482	-0.269525346
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_025678	-0.387517899
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_026557	-0.229803935
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_028198	-0.0067273
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_028615	0.003489899
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_000851	0.908828023
"transferase activity, transferring one-carbon groups"	GO:0008168;GO:0016741	2	SPU_022066	-0.128495662
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_000069	0.726961994
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_000076	-0.472017879
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_000364	-0.122246006
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_000971	0.486110638
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_001356	-0.213514554
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_001669	0.475150934
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_002940	-0.605279612
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_003010	0.454177245
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_003711	0.702898439
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_003713	0.06693859
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_003832	-0.156994844
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_006374	0.222195035
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_006561	-1.28753717
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_006634	0.07777551
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_006764	-0.484047878
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_006810	0.35301014
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_006845	-0.021267145
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_007537	-0.479145426
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_008068	1.185423336
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_008285	-0.192515341
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_008339	-0.036698366
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_008535	0.193689941
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_008617	4.44918975
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_008934	0.008280433
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_009014	-0.029240087
"active ion transmembrane transporter activity"	GO:0022853;GO:0015291	4	SPU_009307	0.025598047
