name	term	lev	seq	value
"cobalamin binding"	GO:0031419	2	SPU_003821	0
"cobalamin binding"	GO:0031419	2	SPU_006041	0
"cobalamin binding"	GO:0031419	2	SPU_011294	0
"cobalamin binding"	GO:0031419	2	SPU_014251	0
"cobalamin binding"	GO:0031419	2	SPU_020642	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000006	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000046	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000073	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000105	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000111	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000121	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000126	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000151	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000191	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000197	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000212	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000244	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000292	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000304	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000310	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000418	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000435	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000442	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000468	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000514	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000515	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000563	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000568	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000607	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000667	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000741	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000786	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000790	0
"adenyl nucleotide binding"	GO:0005524;GO:0032559;GO:0030554	2	SPU_000806	0
