"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
46 0.423096370189278 1 26 "GO:0002376" "immune system process" 0.749088655417082
-37 0.649143952445772 2 164 "GO:0005975" "carbohydrate metabolic process" 0.861855913646046
174 0.229536477064124 3 27 "GO:0006091" "generation of precursor metabolites and energy" 0.563407716430123
268 0.0193910109970935 -1 90 "GO:0006184" "obsolete GTP catabolic process" 0.222818105729134
-105 0.933598054192609 2 328 "GO:0006259" "DNA metabolic process" 0.999780217816754
-55 0.624316357915289 5 49 "GO:0006260" "DNA replication" 0.861855913646046
-169 0.959168392885385 4 163 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 0.999780217816754
112 0.195284951623686 2 89 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to stress" 0.551567972061344
-104 0.687021685137327 5 33 "GO:0006310" "DNA recombination" 0.86277141854455
332 0.0868261167263235 4 25 "GO:0006325" "chromatin organization" 0.457903931891068
109 0.240807708019007 3 63 "GO:0006351;GO:0097659" "nucleic acid-templated transcription" 0.568150351331711
6 0.468863516496979 3 270 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:0019222;GO:0031323;GO:0051252;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.795772426282655
163 0.0890368756454855 5 104 "GO:0006396" "RNA processing" 0.457903931891068
164 0.207344911696625 2 37 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.551567972061344
228 0.022694436694634 2 117 "GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:0043603" "cellular amide metabolic process" 0.222818105729134
-650 0.9987189001153 5 32 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.999780217816754
500 0.00365645006082556 2 43 "GO:0006457" "protein folding" 0.165316745722441
83 0.0829535635440958 2 461 "GO:0006464;GO:0036211" "cellular protein modification process" 0.457903931891068
207 0.00273669253245003 6 284 "GO:0006468;GO:0016310" "phosphorylation" 0.165316745722441
187 0.107478649763868 3 66 "GO:0006470;GO:0016311" "dephosphorylation" 0.46430776697991
-136 0.787913542367052 3 52 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.935106182149908
-87 0.897598527441044 2 342 "GO:0006508" "proteolysis" 0.979198393572048
98 0.282415487278473 3 52 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 0.617442177513974
-246 0.970356294184585 2 89 "GO:0006520" "cellular amino acid metabolic process" 0.999780217816754
-20 0.578700056021322 2 155 "GO:0006629" "lipid metabolic process" 0.842844325386969
117 0.265239576246769 2 43 "GO:0006644" "phospholipid metabolic process" 0.606317801481506
-41 0.576391202541257 2 33 "GO:0006790" "sulfur compound metabolic process" 0.842844325386969
141 0.00934563844858794 3 462 "GO:0006796;GO:0006793" "phosphorus metabolic process" 0.222818105729134
137 0.0856931570790658 3 153 "GO:0006812" "cation transport" 0.457903931891068
504 0.019355374641293 2 25 "GO:0006813" "potassium ion transport" 0.222818105729134
10 0.478937108410857 2 42 "GO:0006814" "sodium ion transport" 0.795772426282655
321 0.0815728302676521 5 28 "GO:0006816;GO:0070838;GO:0072511" "divalent inorganic cation transport" 0.457903931891068
155 0.021066318133838 3 273 "GO:0006820;GO:0071702" "anion transport" 0.222818105729134
102 0.324272605709777 2 30 "GO:0006836" "neurotransmitter transport" 0.672297782657526
206 0.0131083281129288 5 179 "GO:0006886;GO:0046907;GO:0051641;GO:0051649" "cellular localization" 0.222818105729134
463 0.0104648826761085 3 37 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.222818105729134
92 0.185417719189084 2 145 "GO:0006950;GO:0050896" "response to stimulus" 0.551567972061344
35 0.386545711592913 4 103 "GO:0006996" "organelle organization" 0.707575200881942
-16 0.530086098475627 5 33 "GO:0007010" "cytoskeleton organization" 0.842844325386969
