"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-52 0.586700441008325 1 26 "GO:0002376" "immune system process" 0.959513755758979
-197 0.978980962197524 3 164 "GO:0005975" "carbohydrate metabolic process" 0.999998384594772
-251 0.857542021423581 3 27 "GO:0006091" "generation of precursor metabolites and energy" 0.999998384594772
770 1.39803972728817e-09 -1 90 "GO:0006184" "obsolete GTP catabolic process" 1.50988290547122e-07
22 0.376219431068082 2 328 "GO:0006259" "DNA metabolic process" 0.861532180332301
-85 0.687191554837351 2 49 "GO:0006260" "DNA replication" 0.983259628071375
138 0.0773487277314783 3 163 "GO:0006278;GO:0071897" "DNA biosynthetic process" 0.340496722943873
-301 0.989689190324252 5 89 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to stress" 0.999998384594772
-337 0.943883011454119 5 33 "GO:0006310" "DNA recombination" 0.999998384594772
252 0.150501620850517 3 25 "GO:0006325" "chromatin organization" 0.541805835061861
-44 0.613022677290459 2 63 "GO:0006351;GO:0097659" "transcription, DNA-templated" 0.959513755758979
212 0.00275375365314829 2 270 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:0019222;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.0264704187685076
38 0.376706960670052 2 104 "GO:0006396" "RNA processing" 0.861532180332301
76 0.351625714290441 6 37 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.861532180332301
383 0.000394275757958351 2 117 "GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:0043603" "cellular amide metabolic process" 0.00593446837114795
-255 0.881869979747005 6 32 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.999998384594772
278 0.0677153371687648 2 43 "GO:0006457" "protein folding" 0.339393533493702
-55 0.821767222045976 4 461 "GO:0006464;GO:0036211" "cellular protein modification process" 0.999998384594772
-90 0.886522140569212 6 284 "GO:0006468;GO:0016310" "phosphorylation" 0.999998384594772
-132 0.809304895039921 3 66 "GO:0006470;GO:0016311" "dephosphorylation" 0.999998384594772
37 0.414537734273299 3 52 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.861532180332301
-96 0.919039402541864 2 342 "GO:0006508" "proteolysis" 0.999998384594772
89 0.30053191314265 7 52 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 0.828819813560773
-213 0.94880144861716 5 89 "GO:0006520" "cellular amino acid metabolic process" 0.999998384594772
-16 0.565674870199555 3 155 "GO:0006629" "lipid metabolic process" 0.959513755758979
106 0.284716928836354 3 43 "GO:0006644" "phospholipid metabolic process" 0.809195481955953
291 0.0851241807359682 3 33 "GO:0006790" "sulfur compound metabolic process" 0.340496722943873
-95 0.942592557564495 4 462 "GO:0006796;GO:0006793" "phosphorus metabolic process" 0.999998384594772
119 0.117562531929234 2 153 "GO:0006812" "cation transport" 0.453455480298474
689 0.00237307549364779 2 25 "GO:0006813" "potassium ion transport" 0.0256292153313961
19 0.460717831338472 2 42 "GO:0006814" "sodium ion transport" 0.920109160382874
61 0.395998056719006 8 28 "GO:0006816;GO:0070838;GO:0072511" "divalent metal ion transport" 0.861532180332301
210 0.00294115764094529 5 273 "GO:0006820;GO:0071702" "anion transport" 0.0264704187685076
-112 0.691923441976153 2 30 "GO:0006836" "neurotransmitter transport" 0.983259628071375
