"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-140 0.63006893228812 2 10 "GO:0000041" "transition metal ion transport" 0.999983609983512
42 0.456345853269172 4 12 "GO:0000075" "cell cycle checkpoint" 0.999983609983512
432 0.166293922035312 3 9 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.852791538259597
298 0.220361868466933 4 12 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity" 0.89623316185055
-514 0.875611876996689 2 9 "GO:0000096" "sulfur amino acid metabolic process" 0.999983609983512
345 0.136822442781366 3 18 "GO:0000226" "microtubule cytoskeleton organization" 0.814311763533322
107 0.436234059425629 3 4 "GO:0000278;GO:0051301" "cell division" 0.999983609983512
516 0.251779173531801 3 3 "GO:0000387" "spliceosomal snRNP assembly" 0.937927276434125
-76 0.577786316453595 4 12 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.999983609983512
1087 0.00118263289055985 5 14 "GO:0000723;GO:0032200;GO:0060249" "telomere maintenance" 0.256040020806208
658 0.135523488401898 7 5 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.814311763533322
-395 0.745692560435261 6 5 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.999983609983512
-663 0.93164666755907 3 9 "GO:0001510" "RNA methylation" 0.999983609983512
-684 0.947268516224235 3 10 "GO:0001522" "pseudouridine synthesis" 0.999983609983512
418 0.265968516430675 3 4 "GO:0001558;GO:0040008" "regulation of growth" 0.945946903209463
113 0.353079361998244 5 20 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 0.999983609983512
-162 0.731550106218815 1 26 "GO:0002376" "immune system process" 0.999983609983512
1198 0.022440119617212 2 5 "GO:0003341" "cilium movement" 0.768109783430255
98 0.178170008927231 3 164 "GO:0005975" "carbohydrate metabolic process" 0.852791538259597
207 0.352037213633052 5 6 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "energy reserve metabolic process" 0.999983609983512
-825 0.91643325314229 3 5 "GO:0006006" "glucose metabolic process" 0.999983609983512
-485 0.766256396895897 2 4 "GO:0006012;GO:0046835" "galactose metabolic process" 0.999983609983512
-275 0.677337952762747 3 5 "GO:0006013" "mannose metabolic process" 0.999983609983512
-263 0.797762073511777 2 18 "GO:0006022" "aminoglycan metabolic process" 0.999983609983512
-1036 0.93960721345849 5 4 "GO:0006024;GO:0006023" "aminoglycan biosynthetic process" 0.999983609983512
340 0.266525455407747 5 6 "GO:0006026" "aminoglycan catabolic process" 0.945946903209463
255 0.273562301577324 2 10 "GO:0006030;GO:1901071;GO:0006040" "amino sugar metabolic process" 0.954476027044899
436 0.0517490098944881 2 25 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.814311763533322
982 0.0259653716984849 4 7 "GO:0006071;GO:0019400" "glycerol metabolic process" 0.768109783430255
695 0.18386451661201 3 3 "GO:0006081" "cellular aldehyde metabolic process" 0.852791538259597
209 0.208889268656756 3 27 "GO:0006091" "generation of precursor metabolites and energy" 0.895535181469063
-1104 0.923910529751684 4 3 "GO:0006094" "gluconeogenesis" 0.999983609983512
1124 0.00265114785420433 3 11 "GO:0006096;GO:0006090;GO:0006757;GO:0046031;GO:0009179;GO:0009135;GO:0009185" "pyruvate metabolic process" 0.286986755217619
-833 0.893855149659478 4 4 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process" 0.999983609983512
93 0.444657524788993 2 4 "GO:0006099" "tricarboxylic acid cycle" 0.999983609983512
-129 0.99450092672082 3 845 "GO:0006139;GO:0006725;GO:0034641;GO:0046483;GO:1901360" "cellular nitrogen compound metabolic process" 0.999983609983512
-272 0.704740917588544 4 7 "GO:0006182;GO:0046068;GO:0052652" "cGMP metabolic process" 0.999983609983512
-192 0.911781184952021 -1 90 "GO:0006184" "obsolete GTP catabolic process" 0.999983609983512
-383 0.716670813943801 7 4 "GO:0006188;GO:0046040" "IMP metabolic process" 0.999983609983512
1187 0.0618318367862246 5 3 "GO:0006206" "pyrimidine nucleobase metabolic process" 0.814311763533322
-921 0.965957789029125 2 7 "GO:0006221;GO:0006220" "pyrimidine nucleotide biosynthetic process" 0.999983609983512
-151 0.975515368867187 2 328 "GO:0006259" "DNA metabolic process" 0.999983609983512
-180 0.825399385020444 2 49 "GO:0006260" "DNA replication" 0.999983609983512
-647 0.899874794080618 3 7 "GO:0006265" "DNA topological change" 0.999983609983512
1946 0.00581559801433412 3 3 "GO:0006270" "DNA replication initiation" 0.503630788041335
915 0.117856569417807 4 3 "GO:0006275" "regulation of DNA replication" 0.814311763533322
-266 0.993821028590357 4 163 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 0.999983609983512
47 0.372208527093665 3 89 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to stress" 0.999983609983512
66 0.438062770129836 2 10 "GO:0006289" "nucleotide-excision repair" 0.999983609983512
-446 0.827203515265035 4 8 "GO:0006298" "mismatch repair" 0.999983609983512
754 0.0453877384703144 4 9 "GO:0006302" "double-strand break repair" 0.814311763533322
1110 0.0751039222304548 7 3 "GO:0006306;GO:0006305;GO:0044728;GO:0006304" "DNA methylation" 0.814311763533322
-365 0.681881700106236 3 3 "GO:0006308" "DNA catabolic process" 0.999983609983512
134 0.282835400376281 3 33 "GO:0006310" "DNA recombination" 0.96965572476627
194 0.23485959566829 2 25 "GO:0006325" "chromatin organization" 0.899948716144863
826 0.0401968786703345 2 8 "GO:0006334;GO:0034728" "nucleosome assembly" 0.814311763533322
-433 0.786511935069192 5 6 "GO:0006338" "chromatin remodeling" 0.999983609983512
-434 0.994775173090699 2 63 "GO:0006351;GO:0097659" "transcription, DNA-templated" 0.999983609983512
-162 0.696641809280356 2 18 "GO:0006352" "DNA-templated transcription, initiation" 0.999983609983512
-112 0.90934997309692 3 270 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:0019222;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.999983609983512
337 0.149281215457012 2 17 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.829263850006546
-206 0.737106111172103 2 17 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.999983609983512
-1152 0.957764002247221 7 4 "GO:0006366" "transcription by RNA polymerase II" 0.999983609983512
-684 0.894949690280028 5 6 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 0.999983609983512
625 0.174640292237369 4 4 "GO:0006388;GO:0000394" "tRNA splicing, via endonucleolytic cleavage and ligation" 0.852791538259597
-77 0.720365624784197 2 104 "GO:0006396" "RNA processing" 0.999983609983512
-9 0.515949381734852 2 37 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.999983609983512
94 0.421485268196887 3 8 "GO:0006400" "tRNA modification" 0.999983609983512
-272 0.704838690126696 2 7 "GO:0006402;GO:0006401" "RNA catabolic process" 0.999983609983512
694 0.122621992388727 7 5 "GO:0006406;GO:0006405;GO:0051028;GO:0051168" "mRNA transport" 0.814311763533322
-155 0.892460597495774 4 117 "GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:0043603" "cellular amide metabolic process" 0.999983609983512
475 0.130679529329096 3 10 "GO:0006413" "translational initiation" 0.814311763533322
-1358 0.993611116471083 3 6 "GO:0006414" "translational elongation" 0.999983609983512
-95 0.549138937710288 6 3 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 0.999983609983512
-222 0.826046880285873 2 32 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation for protein translation" 0.999983609983512
699 0.182487592612004 6 3 "GO:0006419" "alanyl-tRNA aminoacylation" 0.852791538259597
-244 0.624476008177011 5 3 "GO:0006420" "arginyl-tRNA aminoacylation" 0.999983609983512
-160 0.582318654091818 8 3 "GO:0006434" "seryl-tRNA aminoacylation" 0.999983609983512
-684 0.812548583119579 3 3 "GO:0006436" "tryptophanyl-tRNA aminoacylation" 0.999983609983512
4 0.49256186072742 2 43 "GO:0006457" "protein folding" 0.999983609983512
-57 0.835519877714339 4 599 "GO:0006464;GO:0036211;GO:0044267;GO:0043412" "cellular protein metabolic process" 0.999983609983512
58 0.238828570857467 2 284 "GO:0006468;GO:0016310" "phosphorylation" 0.907129571765642
38 0.408527156478029 3 66 "GO:0006470;GO:0016311" "dephosphorylation" 0.999983609983512
-1004 0.933697481311529 2 4 "GO:0006471" "protein ADP-ribosylation" 0.999983609983512
-171 0.677615279633644 2 13 "GO:0006479;GO:0008213" "protein methylation" 0.999983609983512
139 0.228214020793888 5 52 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.898333372761396
-624 0.959638097014678 3 14 "GO:0006506;GO:0006497;GO:0006505;GO:0006661;GO:0009247;GO:0046474;GO:0046467;GO:0045017" "protein lipidation" 0.999983609983512
165 0.0140539696179641 2 342 "GO:0006508" "proteolysis" 0.608536884457845
144 0.21993308367976 5 52 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 0.89623316185055
-127 0.813109247708732 5 89 "GO:0006520" "cellular amino acid metabolic process" 0.999983609983512
186 0.377717587001937 4 5 "GO:0006526;GO:0006525" "arginine metabolic process" 0.999983609983512
-2128 0.997111387894564 5 3 "GO:0006534" "cysteine metabolic process" 0.999983609983512
-97 0.57654146635044 3 7 "GO:0006541" "glutamine metabolic process" 0.999983609983512
110 0.434759124547527 3 4 "GO:0006542" "glutamine biosynthetic process" 0.999983609983512
242 0.328383994838851 6 6 "GO:0006546;GO:0006544;GO:0009071" "serine family amino acid catabolic process" 0.981776324874028
759 0.162505423304036 2 3 "GO:0006560" "proline metabolic process" 0.852287841523306
470 0.0627793799856303 3 19 "GO:0006575" "cellular modified amino acid metabolic process" 0.814311763533322
18 0.484726637558069 4 8 "GO:0006576;GO:0044106;GO:0009308" "amine metabolic process" 0.999983609983512
957 0.107358147692904 3 3 "GO:0006596;GO:0006595;GO:0042401;GO:0009309" "cellular biogenic amine biosynthetic process" 0.814311763533322
-775 0.981715485103871 2 13 "GO:0006605" "protein targeting" 0.999983609983512
-1009 0.991503093778996 5 10 "GO:0006614;GO:0006613;GO:0045047;GO:0006612;GO:0072599;GO:0070972" "protein targeting to membrane" 0.999983609983512
-71 0.741482502401152 2 155 "GO:0006629" "lipid metabolic process" 0.999983609983512
146 0.313267337018481 5 20 "GO:0006631" "fatty acid metabolic process" 0.981776324874028
439 0.138051225700267 3 11 "GO:0006633;GO:0072330" "monocarboxylic acid biosynthetic process" 0.814311763533322
745 0.132333496739856 6 4 "GO:0006635;GO:0009062;GO:0019395;GO:0072329;GO:0034440" "monocarboxylic acid catabolic process" 0.814311763533322
106 0.445215235429916 3 3 "GO:0006637;GO:0035383" "thioester metabolic process" 0.999983609983512
-412 0.934303681256664 2 24 "GO:0006643" "membrane lipid metabolic process" 0.999983609983512
-320 0.94092981886376 2 43 "GO:0006644" "phospholipid metabolic process" 0.999983609983512
-287 0.780529436459328 3 13 "GO:0006665" "sphingolipid metabolic process" 0.999983609983512
1105 0.0759657410383226 3 3 "GO:0006683;GO:0006681;GO:0019376;GO:0046477;GO:0006677;GO:0019374" "glycosylceramide metabolic process" 0.814311763533322
890 0.0914985738258963 2 4 "GO:0006694" "steroid biosynthetic process" 0.814311763533322
351 0.324781790535981 6 3 "GO:0006729;GO:0034312;GO:0046146;GO:0034311" "diol biosynthetic process" 0.981776324874028
