"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 14 "GO:0000041" "transition metal ion transport" 1
0 1 4 13 "GO:0000075" "cell cycle checkpoint" 1
0 1 4 8 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 1 2 20 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity" 1
0 1 2 12 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 2 6 "GO:0000154" "rRNA modification" 1
0 1 2 5 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.727989033023226 2 33 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.693715141636631 5 30 "GO:0000398;GO:0000377;GO:0000375;GO:0008380" "RNA splicing" 1
0 0.467553369554558 3 16 "GO:0000723;GO:0032200;GO:0060249" "telomere maintenance" 1
0 1 2 9 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 3 8 "GO:0000902;GO:0009653" "anatomical structure morphogenesis" 1
0 1 2 5 "GO:0000910" "cytokinesis" 1
0 1 2 9 "GO:0000956;GO:0006402" "mRNA catabolic process" 1
0 1 2 12 "GO:0001510" "RNA methylation" 1
0 1 2 16 "GO:0001522" "pseudouridine synthesis" 1
0 1 3 5 "GO:0001558;GO:0040008" "regulation of growth" 1
0 0.655144643564796 3 27 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 1
0 1 1 29 "GO:0002376" "immune system process" 1
0 1 4 30 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825" "amino acid transport" 1
0 0.210331158639667 4 6 "GO:0003341" "cilium movement" 1
0 0.949306211853061 3 196 "GO:0005975" "carbohydrate metabolic process" 1
0 1 5 8 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "energy reserve metabolic process" 1
0 0.298340555361605 4 9 "GO:0006006" "glucose metabolic process" 1
0 1 3 6 "GO:0006013" "mannose metabolic process" 1
0 0.545302109632321 3 20 "GO:0006022" "aminoglycan metabolic process" 1
0 1 3 5 "GO:0006024;GO:0006023" "aminoglycan biosynthetic process" 1
0 0.400679928019237 2 13 "GO:0006030;GO:1901071;GO:0006040" "amino sugar metabolic process" 1
0 1 3 29 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 1
0 1 3 9 "GO:0006071;GO:0019400" "alditol metabolic process" 1
0 1 3 5 "GO:0006081" "cellular aldehyde metabolic process" 1
0 0.816941798767412 3 43 "GO:0006091" "generation of precursor metabolites and energy" 1
0 1 6 5 "GO:0006094" "gluconeogenesis" 1
0 0.446131431573774 3 15 "GO:0006096;GO:0006090;GO:0006757;GO:0046031;GO:0009179;GO:0009135;GO:0009185" "pyruvate metabolic process" 1
0 0.298340555361605 3 9 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process" 1
0 1 3 14 "GO:0006099" "tricarboxylic acid cycle" 1
0 0.178618126849619 2 5 "GO:0006108" "malate metabolic process" 1
0 1 2 6 "GO:0006144" "purine nucleobase metabolic process" 1
0 1 6 5 "GO:0006182;GO:0046068;GO:0052652" "cGMP biosynthetic process" 1
0 1 5 9 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0046051;GO:0009148;GO:0009208;GO:0009147;GO:0006241;GO:0046036" "guanosine-containing compound biosynthetic process" 1
0 0.699426462683178 -1 122 "GO:0006184" "obsolete GTP catabolic process" 1
0 0.210331158639667 2 6 "GO:0006206" "pyrimidine nucleobase metabolic process" 1
0 0.999715437668608 2 492 "GO:0006259" "DNA metabolic process" 1
0 0.679949621116435 2 60 "GO:0006260" "DNA replication" 1
0 1 5 10 "GO:0006265" "DNA topological change" 1
0 1 2 5 "GO:0006269" "DNA replication, synthesis of RNA primer" 1
0 0.298340555361605 5 9 "GO:0006270" "DNA replication initiation" 1
0 0.178618126849619 2 5 "GO:0006275" "regulation of DNA replication" 1
0 0.999885357058631 4 226 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 1
0 0.771870823037144 5 135 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus" 1
0 1 2 7 "GO:0006284" "base-excision repair" 1
0 1 2 14 "GO:0006289" "nucleotide-excision repair" 1
0 0.37658063109279 2 12 "GO:0006298" "mismatch repair" 1
0 0.446131431573774 2 15 "GO:0006302" "double-strand break repair" 1
0 1 3 57 "GO:0006310" "DNA recombination" 1
0 0.0176091642592282 3 70 "GO:0006325" "chromatin organization" 1
0 0.250526858758382 5 45 "GO:0006334;GO:0034728;GO:0065004;GO:0071824" "protein-DNA complex assembly" 1
0 0.27014660313159 2 8 "GO:0006338" "chromatin remodeling" 1
0 0.841593774010575 3 84 "GO:0006351;GO:0097659" "nucleic acid-templated transcription" 1
0 1 3 22 "GO:0006352" "DNA-templated transcription, initiation" 1
0 5.57655334982866e-06 2 429 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:0019222;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.00224735099998095
0 0.0915044009324572 3 28 "GO:0006357" "regulation of transcription by RNA polymerase II" 1
0 0.236295497246143 7 24 "GO:0006364;GO:0016072" "rRNA metabolic process" 1
0 0.178618126849619 3 5 "GO:0006366" "transcription by RNA polymerase II" 1
0 1 2 9 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 1
0 1 6 5 "GO:0006388;GO:0000394" "tRNA splicing, via endonucleolytic cleavage and ligation" 1
0 0.855793115822019 2 155 "GO:0006396" "RNA processing" 1
0 0.65232672184316 2 57 "GO:0006397;GO:0016071" "mRNA metabolic process" 1
0 0.938900555509331 2 114 "GO:0006399;GO:0034660" "ncRNA metabolic process" 1
0 1 3 8 "GO:0006400" "tRNA modification" 1
0 1 4 11 "GO:0006401" "RNA catabolic process" 1
0 1 5 6 "GO:0006405;GO:0051168" "nuclear export" 1
0 1 3 17 "GO:0006413" "translational initiation" 1
0 0.351516836199486 2 11 "GO:0006414" "translational elongation" 1
0 1 5 7 "GO:0006415;GO:0043624;GO:0032984;GO:0022411" "protein-containing complex disassembly" 1
0 1 3 7 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 1
0 1 7 53 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 1
0 1 2 5 "GO:0006419" "alanyl-tRNA aminoacylation" 1
0 1 2 5 "GO:0006420" "arginyl-tRNA aminoacylation" 1
0 0.0550695630288646 2 71 "GO:0006457" "protein folding" 1
0 0.390732075594761 6 379 "GO:0006468;GO:0016310" "phosphorylation" 1
0 0.912707493686663 2 103 "GO:0006470;GO:0016311" "dephosphorylation" 1
0 1 2 8 "GO:0006471" "protein ADP-ribosylation" 1
0 0.178618126849619 4 5 "GO:0006476;GO:0035601;GO:0098732" "protein deacetylation" 1
0 0.165219245269785 6 19 "GO:0006479;GO:0008213" "protein alkylation" 1
0 0.890921711501878 5 96 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 1
0 0.467553369554558 2 16 "GO:0006505;GO:0006664" "glycolipid metabolic process" 1
0 1 3 12 "GO:0006506;GO:0006497;GO:0009247;GO:0046467" "protein lipidation" 1
0 0.0823488042193338 2 418 "GO:0006508" "proteolysis" 1
0 0.038427017884545 6 100 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 1
0 0.914740546709423 2 141 "GO:0006520" "cellular amino acid metabolic process" 1
0 1 8 5 "GO:0006525" "arginine metabolic process" 1
0 1 3 7 "GO:0006537;GO:0006536;GO:0043650" "glutamate metabolic process" 1
0 0.0758150923731396 2 12 "GO:0006541" "glutamine metabolic process" 1
0 0.27014660313159 4 8 "GO:0006542" "glutamine biosynthetic process" 1
0 0.351516836199486 2 11 "GO:0006544" "glycine metabolic process" 1
0 1 5 8 "GO:0006546;GO:0009071" "serine family amino acid catabolic process" 1
0 1 3 7 "GO:0006560" "proline metabolic process" 1
0 1 3 9 "GO:0006576;GO:0044106;GO:0009308" "amine metabolic process" 1
0 1 6 17 "GO:0006605" "protein targeting" 1
0 1 5 11 "GO:0006613;GO:0006612" "protein targeting to membrane" 1
