"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.337874763247965 4 15 "GO:0000041" "transition metal ion transport" 1
0 1 2 12 "GO:0000075" "cell cycle checkpoint" 1
0 1 2 9 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 0.275260492786311 2 23 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity" 1
0 0.893813558364337 2 27 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.392047000191662 3 6 "GO:0000278;GO:0051301" "cell division" 1
0 0.425496193952936 6 18 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 1
0 0.712024934343966 5 15 "GO:0000723;GO:0032200;GO:0060249" "telomere maintenance" 1
0 0.392047000191662 6 6 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 2 7 "GO:0000902" "cell morphogenesis" 1
0 1 2 5 "GO:0000910" "cytokinesis" 1
0 1 2 11 "GO:0001510" "RNA methylation" 1
0 0.712024934343966 6 15 "GO:0001522" "pseudouridine synthesis" 1
0 0.141531755303899 3 35 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of protein metabolic process" 0.784490300827326
0 0.851188625645453 1 58 "GO:0002376" "immune system process" 1
0 0.749512295906626 6 63 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656" "anion transmembrane transport" 1
0 1 2 7 "GO:0003341" "cilium movement" 1
0 0.959347680682972 2 260 "GO:0005975" "carbohydrate metabolic process" 1
0 0.485021904870291 5 8 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "energy reserve metabolic process" 1
0 1 2 5 "GO:0006004" "fucose metabolic process" 1
0 1 2 7 "GO:0006006" "glucose metabolic process" 1
0 1 2 8 "GO:0006013" "mannose metabolic process" 1
0 0.163218488962084 2 27 "GO:0006022" "aminoglycan metabolic process" 0.811907355349854
