"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.414782323382188 4 15 "GO:0000041" "transition metal ion transport" 1
0 1 2 12 "GO:0000075" "cell cycle checkpoint" 1
0 1 7 9 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 1 2 23 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity" 1
0 1 4 27 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 6 "GO:0000278;GO:0051301" "cell division" 1
0 0.474313218825635 3 18 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 1
0 1 3 15 "GO:0000723;GO:0032200;GO:0060249" "telomere maintenance" 1
0 1 4 6 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 3 7 "GO:0000902" "cell morphogenesis" 1
0 1 2 5 "GO:0000910" "cytokinesis" 1
0 1 3 11 "GO:0001510" "RNA methylation" 1
0 1 3 15 "GO:0001522" "pseudouridine synthesis" 1
0 1 3 35 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of protein metabolic process" 1
0 0.874744243907581 1 58 "GO:0002376" "immune system process" 1
0 0.89535824241025 7 63 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656" "anion transmembrane transport" 1
0 0.221119892883183 3 7 "GO:0003341" "cilium movement" 1
0 0.899152054703524 2 260 "GO:0005975" "carbohydrate metabolic process" 1
0 0.248449019448686 4 8 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "energy derivation by oxidation of organic compounds" 1
0 1 2 5 "GO:0006004" "fucose metabolic process" 1
0 1 2 7 "GO:0006006" "glucose metabolic process" 1
0 1 2 8 "GO:0006013" "mannose metabolic process" 1
0 0.244129373963475 3 27 "GO:0006022" "aminoglycan metabolic process" 1
0 0.192800684175562 2 6 "GO:0006026" "aminoglycan catabolic process" 1
0 0.45517229869905 2 17 "GO:0006030;GO:1901071;GO:0006040" "amino sugar metabolic process" 1
0 1 2 33 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 1
0 1 3 8 "GO:0006071;GO:0019400" "alditol metabolic process" 1
0 0.172689262492729 3 41 "GO:0006091" "generation of precursor metabolites and energy" 1
0 0.371409660874633 6 13 "GO:0006096;GO:0006090;GO:0006757;GO:0046031;GO:0009179;GO:0009135;GO:0009185" "pyruvate metabolic process" 1
0 1 3 6 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process" 1
0 0.371409660874633 2 13 "GO:0006099" "tricarboxylic acid cycle" 1
0 1 4 5 "GO:0006108" "malate metabolic process" 1
0 0.999718809356939 2 1426 "GO:0006139;GO:0006725;GO:0034641;GO:0046483;GO:1901360" "cellular nitrogen compound metabolic process" 1
0 0.221119892883183 4 7 "GO:0006144" "purine nucleobase metabolic process" 1
0 0.0952801354408064 6 15 "GO:0006182;GO:0046068;GO:0052652" "cGMP metabolic process" 1
0 0.392641874143033 -1 144 "GO:0006184" "obsolete GTP catabolic process" 1
0 0.163455658701625 5 5 "GO:0006188;GO:0046040" "IMP biosynthetic process" 1
0 0.192800684175562 5 6 "GO:0006207;GO:0019856;GO:0006206" "pyrimidine nucleobase metabolic process" 1
0 0.231016578034433 3 26 "GO:0006221;GO:0006220;GO:0072527;GO:0072528" "pyrimidine-containing compound metabolic process" 1
0 1 6 6 "GO:0006231;GO:0009177;GO:0009221;GO:0046073;GO:0009157;GO:0009176;GO:0009265;GO:0009162;GO:0009263;GO:0046385" "2'-deoxyribonucleotide biosynthetic process" 1
0 0.999995846936993 3 741 "GO:0006259" "DNA metabolic process" 1
0 0.399881561539386 2 65 "GO:0006260" "DNA replication" 1
0 1 5 10 "GO:0006265" "DNA topological change" 1
0 1 5 9 "GO:0006270" "DNA replication initiation" 1
0 0.999999734703999 3 413 "GO:0006278;GO:0071897" "DNA biosynthetic process" 1
0 0.691341033021536 2 133 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 1
0 1 2 6 "GO:0006284" "base-excision repair" 1
0 0.0170091635623049 2 16 "GO:0006289" "nucleotide-excision repair" 0.543255035956597
0 1 6 20 "GO:0006298" "mismatch repair" 1
0 1 5 10 "GO:0006302" "double-strand break repair" 1
0 1 2 63 "GO:0006310" "DNA recombination" 1
0 0.874599893101095 4 101 "GO:0006334;GO:0034728;GO:0065004;GO:0006325;GO:0071824" "chromatin organization" 1
0 1 2 5 "GO:0006338" "chromatin remodeling" 1
0 0.887552927109831 4 61 "GO:0006351;GO:0097659" "nucleic acid-templated transcription" 1
0 1 2 22 "GO:0006352" "DNA-templated transcription, initiation" 1
0 0.0772081339009257 5 406 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:0019222;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.936148623548724
0 0.474313218825635 6 18 "GO:0006357" "regulation of transcription by RNA polymerase II" 1
0 1 2 17 "GO:0006364;GO:0016072" "rRNA metabolic process" 1
0 1 3 10 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 1
0 1 4 6 "GO:0006388;GO:0000394" "tRNA splicing, via endonucleolytic cleavage and ligation" 1
0 0.708015193814677 5 136 "GO:0006396" "RNA processing" 1
0 0.236400440520054 2 48 "GO:0006397;GO:0016071" "mRNA metabolic process" 1
0 0.859675035561216 2 97 "GO:0006399;GO:0034660" "ncRNA metabolic process" 1
0 1 3 7 "GO:0006400" "tRNA modification" 1
0 0.248449019448686 2 8 "GO:0006402;GO:0006401" "RNA catabolic process" 1
0 1 3 11 "GO:0006413" "translational initiation" 1
0 1 4 10 "GO:0006414" "translational elongation" 1
0 0.820596199266268 3 48 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 1
0 0.163455658701625 2 5 "GO:0006419" "alanyl-tRNA aminoacylation" 1
0 1 2 58 "GO:0006457" "protein folding" 1
0 0.707203537385824 4 896 "GO:0006464;GO:0036211;GO:0044267;GO:0043412" "cellular protein metabolic process" 1
