"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
723 0.0128204675066898 2 5 "GO:0000096" "sulfur amino acid metabolic process" 0.878240645531222
50 0.409165830590927 2 11 "GO:0000226" "microtubule cytoskeleton organization" 0.88293679232779
335 0.150463820532508 8 5 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.878240645531222
-273 0.800634638953003 2 5 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.935484153057894
-183 0.714547140469258 2 5 "GO:0001522" "pseudouridine synthesis" 0.904210887630851
80 0.357867361505445 7 11 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 0.878240645531222
132 0.247354168143031 1 14 "GO:0002376" "immune system process" 0.878240645531222
305 0.0337153629721438 7 19 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656" "anion transmembrane transport" 0.878240645531222
-33 0.640750051712786 2 63 "GO:0005975" "carbohydrate metabolic process" 0.891186480517649
-82 0.632427010103174 2 9 "GO:0006022" "aminoglycan metabolic process" 0.891186480517649
-345 0.856927796485996 2 5 "GO:0006040" "amino sugar metabolic process" 0.949654175330399
-220 0.81837204654271 3 9 "GO:0006066;GO:1901615" "alcohol metabolic process" 0.935484153057894
-469 0.979521972266903 2 10 "GO:0006091" "generation of precursor metabolites and energy" 0.993064740422656
-9 0.582613225964999 2 310 "GO:0006139;GO:0006725;GO:0034641;GO:0046483;GO:1901360" "cellular nitrogen compound metabolic process" 0.891186480517649
-594 0.966703390868615 6 5 "GO:0006165;GO:0009132;GO:0046939" "nucleotide phosphorylation" 0.993064740422656
-46 0.579224053190115 5 10 "GO:0006182;GO:0046068;GO:0052652" "cGMP biosynthetic process" 0.891186480517649
96 0.202605506950298 -1 40 "GO:0006184" "obsolete GTP catabolic process" 0.878240645531222
-31 0.673823924293832 2 118 "GO:0006259" "DNA metabolic process" 0.891186480517649
-90 0.68488276545955 4 15 "GO:0006260" "DNA replication" 0.894273674644635
-12 0.547004674914795 3 51 "GO:0006278;GO:0071897" "DNA biosynthetic process" 0.891186480517649
-216 0.941977096162998 4 28 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "DNA repair" 0.992167909594611
188 0.263009483257818 6 6 "GO:0006289" "nucleotide-excision repair" 0.878240645531222
210 0.123738737389889 2 16 "GO:0006310" "DNA recombination" 0.878240645531222
-192 0.810663530844105 2 11 "GO:0006325" "chromatin organization" 0.935484153057894
-97 0.655469926998483 2 9 "GO:0006334;GO:0034728;GO:0065004;GO:0071824" "protein-DNA complex assembly" 0.891186480517649
66 0.358529798129012 5 16 "GO:0006351;GO:0097659;GO:0032774" "RNA biosynthetic process" 0.878240645531222
-23 0.660940208737309 2 176 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:0019222;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.891186480517649
-117 0.665063806192476 6 7 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.891186480517649
12 0.46041230476421 2 34 "GO:0006396" "RNA processing" 0.886527974113785
83 0.351804847108005 2 11 "GO:0006397" "mRNA processing" 0.878240645531222
431 0.0919336223069719 2 5 "GO:0006400" "tRNA modification" 0.878240645531222
-6 0.508764067872552 3 7 "GO:0006402;GO:0006401" "RNA catabolic process" 0.891186480517649
148 0.199652193107288 8 17 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation for protein translation" 0.878240645531222
-33 0.592470998120287 2 26 "GO:0006457" "protein folding" 0.891186480517649
-16 0.631926079606621 3 277 "GO:0006464;GO:0036211;GO:0044267;GO:0043412" "cellular protein metabolic process" 0.891186480517649
-84 0.915244799246155 2 147 "GO:0006468;GO:0016310" "phosphorylation" 0.978984395816298
-82 0.744826776452772 2 34 "GO:0006470;GO:0016311" "dephosphorylation" 0.911991722255582
206 0.0448860994477345 5 36 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.878240645531222
24 0.330595624638823 2 189 "GO:0006508" "proteolysis" 0.878240645531222
29 0.408374478944039 2 35 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.88293679232779
155 0.0655165168335583 2 51 "GO:0006520" "cellular amino acid metabolic process" 0.878240645531222
462 0.0592515306731534 2 6 "GO:0006541" "glutamine metabolic process" 0.878240645531222
-32 0.564659079991559 3 14 "GO:0006575" "cellular modified amino acid metabolic process" 0.891186480517649
27 0.378329745220904 2 70 "GO:0006629" "lipid metabolic process" 0.878240645531222
-352 0.900555541906237 5 7 "GO:0006633;GO:0072330" "fatty acid biosynthetic process" 0.971652032056729
493 0.0640080232995317 4 5 "GO:0006643" "membrane lipid metabolic process" 0.878240645531222
93 0.315400791652747 4 14 "GO:0006644" "phospholipid metabolic process" 0.878240645531222
215 0.253392487543803 2 5 "GO:0006730" "one-carbon metabolic process" 0.878240645531222
138 0.294745496800483 3 8 "GO:0006749" "glutathione metabolic process" 0.878240645531222
138 0.335178802855092 6 5 "GO:0006754" "ATP biosynthetic process" 0.878240645531222
160 0.188614134430276 2 16 "GO:0006790" "sulfur compound metabolic process" 0.878240645531222
-56 0.868464850311861 4 232 "GO:0006796;GO:0006793" "phosphorus metabolic process" 0.952060397400703
1 0.485310479183715 2 524 "GO:0006810;GO:0051234;GO:0051179" "localization" 0.891186480517649
3 0.47106313584442 3 255 "GO:0006811" "ion transport" 0.886527974113785
-110 0.91690245852063 5 86 "GO:0006812;GO:0030001" "cation transport" 0.978984395816298
-482 0.994975389300922 2 15 "GO:0006813" "potassium ion transport" 0.994975389300922
-104 0.783186722248116 3 30 "GO:0006814" "sodium ion transport" 0.928053630409617
-165 0.810892205884699 2 15 "GO:0006816;GO:0070838;GO:0072511" "calcium ion transport" 0.935484153057894
76 0.133924795848203 2 118 "GO:0006820;GO:0071702;GO:0071705" "anion transport" 0.878240645531222
-352 0.861215646154841 2 5 "GO:0006821" "chloride transport" 0.949654175330399
92 0.250959116660503 2 28 "GO:0006836" "neurotransmitter transport" 0.878240645531222
272 0.179247391785599 7 6 "GO:0006869" "lipid transport" 0.878240645531222
-27 0.609734272352096 2 58 "GO:0006886;GO:0046907;GO:0051641;GO:0051649" "cellular localization" 0.891186480517649
35 0.439006062375545 4 10 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.886527974113785
-519 0.988220522176692 2 10 "GO:0006915;GO:0012501;GO:0008219" "apoptotic process" 0.993064740422656
-131 0.929868543595011 2 68 "GO:0006950;GO:0050896" "response to stimulus" 0.98768420433667
-364 0.94376947498024 3 10 "GO:0006952" "defense response" 0.992167909594611
-265 0.833670919120158 2 7 "GO:0006954" "inflammatory response" 0.944212919445483
