"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
38 0.328272740716003 2 63 "GO:0005975" "carbohydrate metabolic process" 0.991276566351199
-118 0.868995038152074 -1 40 "GO:0006184" "obsolete GTP catabolic process" 0.991276566351199
65 0.147834536297946 2 118 "GO:0006259" "DNA metabolic process" 0.991276566351199
61 0.256173035137959 4 51 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 0.991276566351199
-262 0.981348401006176 4 28 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "DNA repair" 0.991276566351199
62 0.114652086425551 4 176 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:2001141;GO:0010556;GO:0031326;GO:0019222;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.991276566351199
-51 0.672391492333615 2 34 "GO:0006396" "RNA processing" 0.991276566351199
-220 0.954302446311857 2 26 "GO:0006457" "protein folding" 0.991276566351199
-5 0.546791195776883 4 277 "GO:0006464;GO:0036211;GO:0044267;GO:0043412" "cellular protein metabolic process" 0.991276566351199
23 0.339370641409776 2 147 "GO:0006468;GO:0016310" "phosphorylation" 0.991276566351199
26 0.411690734893438 2 34 "GO:0006470;GO:0016311" "dephosphorylation" 0.991276566351199
1 0.494782484996215 2 36 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.991276566351199
-30 0.726662263330609 2 189 "GO:0006508" "proteolysis" 0.991276566351199
16 0.443128474812593 2 35 "GO:0006518;GO:0043043;GO:0043603;GO:0043604" "cellular amide metabolic process" 0.991276566351199
-114 0.888062815387005 2 51 "GO:0006520" "cellular amino acid metabolic process" 0.991276566351199
-5 0.524254136318071 2 70 "GO:0006629" "lipid metabolic process" 0.991276566351199
27 0.263916677632488 2 266 "GO:0006725;GO:0046483;GO:0006139" "heterocycle metabolic process" 0.991276566351199
42 0.181099769558819 4 232 "GO:0006796;GO:0006793" "phosphorus metabolic process" 0.991276566351199
-43 0.835029786280297 2 255 "GO:0006811" "ion transport" 0.991276566351199
-91 0.895278611270605 4 86 "GO:0006812;GO:0030001" "cation transport" 0.991276566351199
13 0.457023514760698 6 30 "GO:0006814" "sodium ion transport" 0.991276566351199
-51 0.793074768067668 2 118 "GO:0006820;GO:0071702;GO:0071705" "anion transport" 0.991276566351199
-17 0.5524270708269 2 28 "GO:0006836" "neurotransmitter transport" 0.991276566351199
-38 0.666536094094085 4 58 "GO:0006886;GO:0046907;GO:0051641;GO:0051649" "cellular localization" 0.991276566351199
-56 0.752669408884751 2 68 "GO:0006950;GO:0050896" "response to stimulus" 0.991276566351199
39 0.357596515750296 4 39 "GO:0006996" "organelle organization" 0.991276566351199
-30 0.630245497809913 2 55 "GO:0007017" "microtubule-based process" 0.991276566351199
-51 0.66405126178544 3 30 "GO:0007018;GO:0006928" "microtubule-based movement" 0.991276566351199
-52 0.805131117823602 2 127 "GO:0007155;GO:0022610" "cell adhesion" 0.991276566351199
97 0.0776295203623502 4 98 "GO:0007166" "cell surface receptor signaling pathway" 0.991276566351199
30 0.249287413267339 4 258 "GO:0007186" "G protein-coupled receptor signaling pathway" 0.991276566351199
46 0.304958312333854 2 56 "GO:0007218" "neuropeptide signaling pathway" 0.991276566351199
-174 0.943447887197144 2 37 "GO:0007264" "small GTPase mediated signal transduction" 0.991276566351199
-115 0.853246135904179 2 37 "GO:0009057;GO:0044265" "macromolecule catabolic process" 0.991276566351199
85 0.190390849795644 4 48 "GO:0009117;GO:0006753;GO:0055086" "nucleobase-containing small molecule metabolic process" 0.991276566351199
-9 0.534449190387832 2 43 "GO:0009165;GO:1901293;GO:0090407" "organophosphate biosynthetic process" 0.991276566351199
-202 0.965618745736739 4 36 "GO:0009966;GO:0010646;GO:0023051;GO:0048583" "regulation of cell communication" 0.991276566351199
-58 0.770412161256016 2 74 "GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036" "protein localization" 0.991276566351199
222 0.0175194986135369 5 40 "GO:0015074" "DNA integration" 0.991276566351199
