"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 14 "GO:0000041" "transition metal ion transport" 1
0 1 2 14 "GO:0000075" "cell cycle checkpoint" 1
0 1 3 10 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 1 3 20 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity" 1
0 1 3 5 "GO:0000154" "rRNA modification" 1
0 1 3 5 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 4 33 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 3 28 "GO:0000398;GO:0000377;GO:0000375;GO:0008380" "RNA splicing" 1
0 1 4 17 "GO:0000723;GO:0032200;GO:0060249" "telomere maintenance" 1
0 1 2 9 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 2 5 "GO:0000902" "cell morphogenesis" 1
0 1 3 5 "GO:0000910" "cytokinesis" 1
0 1 2 9 "GO:0000956;GO:0006402" "mRNA catabolic process" 1
0 1 3 13 "GO:0001510" "RNA methylation" 1
0 1 3 17 "GO:0001522" "pseudouridine synthesis" 1
0 1 2 7 "GO:0001558;GO:0040008" "regulation of cell growth" 1
0 1 5 29 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphorus metabolic process" 1
0 1 1 45 "GO:0002376" "immune system process" 1
0 1 3 54 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656" "anion transmembrane transport" 1
0 1 4 8 "GO:0003341" "cilium movement" 1
0 1 3 248 "GO:0005975" "carbohydrate metabolic process" 1
0 1 5 9 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "cellular glucan metabolic process" 1
0 1 2 8 "GO:0006006" "glucose metabolic process" 1
0 1 5 8 "GO:0006013" "mannose metabolic process" 1
0 1 2 31 "GO:0006022" "aminoglycan metabolic process" 1
0 1 3 8 "GO:0006026" "aminoglycan catabolic process" 1
0 1 3 19 "GO:0006030;GO:1901071;GO:0006040" "amino sugar metabolic process" 1
0 1 3 32 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 1
0 1 4 10 "GO:0006071;GO:0019400" "glycerol metabolic process" 1
0 1 3 5 "GO:0006081" "cellular aldehyde metabolic process" 1
0 1 3 41 "GO:0006091" "generation of precursor metabolites and energy" 1
0 1 2 5 "GO:0006094" "gluconeogenesis" 1
0 1 6 16 "GO:0006096;GO:0006090;GO:0006757;GO:0046031;GO:0009179;GO:0009135;GO:0009185" "pyruvate metabolic process" 1
0 1 4 8 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process" 1
0 1 3 13 "GO:0006099" "tricarboxylic acid cycle" 1
0 1 2 6 "GO:0006108" "malate metabolic process" 1
0 1 4 6 "GO:0006144" "purine nucleobase metabolic process" 1
0 1 6 12 "GO:0006182;GO:0046068;GO:0052652" "cGMP metabolic process" 1
0 1 5 8 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0046051;GO:0009148;GO:0009208;GO:0009147;GO:0006241;GO:0046036" "pyrimidine nucleoside triphosphate metabolic process" 1
0 1 -1 130 "GO:0006184" "obsolete GTP catabolic process" 1
0 1 4 7 "GO:0006206" "pyrimidine nucleobase metabolic process" 1
0 1 2 5 "GO:0006207;GO:0019856" "'de novo' pyrimidine nucleobase biosynthetic process" 1
0 1 3 545 "GO:0006259" "DNA metabolic process" 1
0 1 3 64 "GO:0006260" "DNA replication" 1
0 1 5 10 "GO:0006265" "DNA topological change" 1
0 1 2 5 "GO:0006269" "DNA replication, synthesis of RNA primer" 1
0 1 2 8 "GO:0006270" "DNA replication initiation" 1
0 1 5 262 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 1
