"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
23 0.244698013337754 2 50 "GO:0005576" "extracellular region" 0.432286265216525
-103 0.98681943042886 2 26 "GO:0005667" "transcription regulator complex" 0.992771670304953
-52 0.992771670304953 2 147 "GO:0005737" "cytoplasm" 0.992771670304953
15 0.279271654814493 3 86 "GO:0005840" "ribosome" 0.432286265216525
-45 0.852835879030155 3 30 "GO:0005856" "cytoskeleton" 0.947595421144617
17 0.311852816348945 3 47 "GO:0005871" "kinesin complex" 0.432286265216525
22 0.26728533054985 6 47 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 0.432286265216525
-15 0.709659208985876 2 81 "GO:0005875" "microtubule associated complex" 0.834893187042207
25 0.296366381374385 2 26 "GO:0016459" "myosin complex" 0.432286265216525
34 0.218013619507983 2 29 "GO:0030117" "membrane coat" 0.432286265216525
27 0.219849588091508 2 48 "GO:0031090" "organelle membrane" 0.432286265216525
10 0.324214698912394 2 136 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.432286265216525
22 0.317253893654555 4 25 "GO:0098588" "bounding membrane of organelle" 0.432286265216525
9 0.349621304909597 2 104 "GO:0098796" "membrane protein complex" 0.437026631136996
44 0.159005950490437 3 29 "GO:0098797" "plasma membrane protein complex" 0.432286265216525
29 0.119548156535449 2 98 "GO:0140513" "nuclear protein-containing complex" 0.432286265216525
15 0.310074315164621 2 61 "GO:0140535" "intracellular protein-containing complex" 0.432286265216525
16 0.261001657808968 2 102 "GO:1902494" "catalytic complex" 0.432286265216525
36 0.134997370855229 3 55 "GO:1990234" "transferase complex" 0.432286265216525
29 0.218394724083858 2 42 "GO:1990904" "ribonucleoprotein complex" 0.432286265216525
