"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-37 0.665328640776969 4 11 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.988138430962165
-36 0.67787186937219 2 14 "GO:0000139" "Golgi membrane" 0.988138430962165
-129 0.881332832394881 2 7 "GO:0000145" "exocyst" 0.988138430962165
-2 0.516054513003119 2 23 "GO:0000151" "ubiquitin ligase complex" 0.988138430962165
247 0.0182893673627982 2 6 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.270517321776057
-81 0.735635020144578 3 5 "GO:0000776" "kinetochore" 0.988138430962165
36 0.379207377028879 3 6 "GO:0000786;GO:0032993" "nucleosome" 0.988138430962165
65 0.263968103682769 2 8 "GO:0000922" "spindle pole" 0.988138430962165
-60 0.924851571417888 2 50 "GO:0005576" "extracellular region" 0.988138430962165
-11 0.557356204380731 2 14 "GO:0005615" "extracellular space" 0.988138430962165
-80 0.809795069367723 2 10 "GO:0005643" "nuclear pore" 0.988138430962165
-46 0.788367324132143 2 26 "GO:0005667" "transcription regulator complex" 0.988138430962165
-88 0.751658937038524 3 5 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.988138430962165
-111 0.887097888104817 2 10 "GO:0005681" "spliceosomal complex" 0.988138430962165
-73 0.775600498406737 2 9 "GO:0005694" "chromosome" 0.988138430962165
183 0.0789274054363756 3 5 "GO:0005730" "nucleolus" 0.575803098195207
10 0.352123024487925 2 147 "GO:0005737" "cytoplasm" 0.988138430962165
108 0.0682958015286124 2 16 "GO:0005739" "mitochondrion" 0.575803098195207
-74 0.790043763315792 2 10 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.988138430962165
-122 0.848648972281003 4 6 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 0.988138430962165
41 0.337473465228357 2 9 "GO:0005777;GO:0042579" "peroxisome" 0.988138430962165
29 0.354904424225562 2 14 "GO:0005783" "endoplasmic reticulum" 0.988138430962165
-151 0.941455907847156 3 9 "GO:0005789" "endoplasmic reticulum membrane" 0.988138430962165
-34 0.665003682599849 2 13 "GO:0005794" "Golgi apparatus" 0.988138430962165
50 0.30421941332499 3 9 "GO:0005813" "centrosome" 0.988138430962165
14 0.429406329766177 2 14 "GO:0005815" "microtubule organizing center" 0.988138430962165
198 0.0118000791885016 2 11 "GO:0005839" "proteasome core complex" 0.235917653215032
110 0.000376802281574724 2 86 "GO:0005840" "ribosome" 0.0346658099048746
-27 0.621431768472664 2 11 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.988138430962165
-40 0.771306139362296 2 30 "GO:0005856" "cytoskeleton" 0.988138430962165
-36 0.610252029373718 3 5 "GO:0005869" "dynactin complex" 0.988138430962165
-72 0.953737131833381 3 47 "GO:0005871" "kinesin complex" 0.988138430962165
58 0.0881049731634601 4 47 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 0.575803098195207
-56 0.95314390346944 2 81 "GO:0005875" "microtubule associated complex" 0.988138430962165
-55 0.78910828721704 2 18 "GO:0005886" "plasma membrane" 0.988138430962165
-126 0.856505686815621 3 6 "GO:0005891;GO:0034704" "voltage-gated calcium channel complex" 0.988138430962165
-1 0.504343579528806 3 5 "GO:0005952" "cAMP-dependent protein kinase complex" 0.988138430962165
20 0.431481066417668 3 6 "GO:0008021;GO:0070382;GO:0030133;GO:0099503" "transport vesicle" 0.988138430962165
44 0.354607172665549 3 6 "GO:0008076;GO:0034705" "voltage-gated potassium channel complex" 0.988138430962165
