"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-137 0.941102708595108 4 11 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.972025814267038
166 0.0159617111633389 4 14 "GO:0000139" "Golgi membrane" 0.209782489575311
79 0.235420371956354 3 7 "GO:0000145" "exocyst" 0.922434245668324
72 0.117158878947717 2 23 "GO:0000151" "ubiquitin ligase complex" 0.718574457545998
65 0.290505366348486 2 6 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.922434245668324
-82 0.738173008343026 3 5 "GO:0000776" "kinetochore" 0.960134349626815
154 0.0964592675026277 2 6 "GO:0000786;GO:0032993" "nucleosome" 0.701057766351051
-66 0.742035186688451 2 8 "GO:0000922" "spindle pole" 0.960134349626815
-27 0.744472878647432 2 50 "GO:0005576" "extracellular region" 0.960134349626815
-123 0.943209057623786 2 14 "GO:0005615" "extracellular space" 0.972025814267038
-67 0.767791896468377 2 10 "GO:0005643" "nuclear pore" 0.960134349626815
-81 0.921371708230405 2 26 "GO:0005667" "transcription regulator complex" 0.972025814267038
72 0.289881734387432 3 5 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.922434245668324
-28 0.620609587032166 2 10 "GO:0005681" "spliceosomal complex" 0.960134349626815
-9 0.537483752045218 2 9 "GO:0005694" "chromosome" 0.960134349626815
-232 0.964039931600334 2 5 "GO:0005730" "nucleolus" 0.972025814267038
11 0.339667320060017 2 147 "GO:0005737" "cytoplasm" 0.933499848156188
-101 0.917705370084194 2 16 "GO:0005739" "mitochondrion" 0.972025814267038
97 0.143780882250771 2 10 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.734880064837274
-42 0.637964343065683 4 6 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.960134349626815
-32 0.628830289365513 2 9 "GO:0005777;GO:0042579" "peroxisome" 0.960134349626815
-59 0.77570431423591 4 14 "GO:0005783" "endoplasmic reticulum" 0.960134349626815
-26 0.60712530425955 3 9 "GO:0005789" "endoplasmic reticulum membrane" 0.960134349626815
