"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 14 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 0.754471172131588 2 20 "GO:0000139" "Golgi membrane" 1
0 1 2 8 "GO:0000145" "exocyst" 1
0 0.158803416136262 2 43 "GO:0000151" "ubiquitin ligase complex" 1
0 1 3 8 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 4 5 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 1 4 7 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 0.294837896790065 3 5 "GO:0000439" "transcription factor TFIIH core complex" 1
0 1 2 6 "GO:0000775;GO:0098687" "chromosome, centromeric region" 1
0 0.00864211717627133 2 45 "GO:0000786;GO:0032993;GO:0044815" "DNA packaging complex" 0.331281158423734
0 0.342514664875734 3 6 "GO:0000796" "condensin complex" 1
0 1 2 10 "GO:0000922" "spindle pole" 1
0 0.542091875971214 2 72 "GO:0005576" "extracellular region" 1
0 1 2 8 "GO:0005581" "collagen trimer" 1
0 0.754471172131588 2 20 "GO:0005615" "extracellular space" 1
0 0.319578942513364 3 17 "GO:0005643" "nuclear pore" 1
0 0.725675276203876 2 37 "GO:0005667" "transcription regulator complex" 1
0 1 3 9 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.345019178204759 2 18 "GO:0005681" "spliceosomal complex" 1
0 1 2 14 "GO:0005694" "chromosome" 1
0 1 2 8 "GO:0005730" "nucleolus" 1
0 0.785875224256145 2 211 "GO:0005737" "cytoplasm" 1
0 0.107489409345447 3 38 "GO:0005739" "mitochondrion" 1
0 1 2 10 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.342514664875734 2 6 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 1 7 7 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 1
0 0.537015257706508 6 11 "GO:0005777;GO:0042579" "microbody" 1
0 1 5 8 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 1
0 1 3 21 "GO:0005783" "endoplasmic reticulum" 1
0 0.537015257706508 2 11 "GO:0005789" "endoplasmic reticulum membrane" 1
0 1 3 28 "GO:0005794" "Golgi apparatus" 1
0 0.000374001297295566 3 16 "GO:0005813" "centrosome" 0.0430101491889901
0 0.00402783433387047 2 24 "GO:0005815" "microtubule organizing center" 0.231600474197552
0 1 3 6 "GO:0005834;GO:1905360" "GTPase complex" 1
0 0.754471172131588 2 20 "GO:0005839" "proteasome core complex" 1
0 0.99987028514216 2 123 "GO:0005840" "ribosome" 1
0 0.293920165977037 2 16 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 1
0 0.98384445127001 2 58 "GO:0005856" "cytoskeleton" 1
