"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 11 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 1
0 0.282875541231125 3 18 "GO:0000139" "Golgi membrane" 1
0 0.626220601305671 3 9 "GO:0000145" "exocyst" 1
0 0.97045747773491 3 32 "GO:0000151" "ubiquitin ligase complex" 1
0 1 3 6 "GO:0000159;GO:0008287;GO:1903293" "phosphatase complex" 1
0 1 3 6 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 2 5 "GO:0000439" "transcription factor TFIIH core complex" 1
0 1 2 5 "GO:0000775;GO:0098687" "chromosome, centromeric region" 1
0 0.999867351393368 2 80 "GO:0000786;GO:0032993;GO:0044815" "DNA packaging complex" 1
0 0.582929136621074 2 8 "GO:0000922" "spindle pole" 1
0 0.215879362860673 2 99 "GO:0005576" "extracellular region" 1
0 0.00140581299824549 2 6 "GO:0005581" "collagen trimer" 0.0731022759087655
0 0.636664123860594 2 31 "GO:0005615" "extracellular space" 1
0 0.741948852139526 2 605 "GO:0005634;GO:0043231;GO:0043227" "membrane-bounded organelle" 1
0 0.11898394220424 2 12 "GO:0005643" "nuclear pore" 1
0 0.769834844859953 2 38 "GO:0005667" "transcription regulator complex" 1
0 1 2 8 "GO:0005680;GO:0000152" "anaphase-promoting complex" 1
0 0.395333057995673 2 13 "GO:0005681" "spliceosomal complex" 1
0 0.000575285249515441 2 16 "GO:0005694" "chromosome" 0.0598296659496059
0 1 2 8 "GO:0005730" "nucleolus" 1
0 0.813809731917082 2 184 "GO:0005737" "cytoplasm" 1
0 1 3 33 "GO:0005739" "mitochondrion" 1
0 0.316981445468327 2 11 "GO:0005741;GO:0031968;GO:0019867" "mitochondrial outer membrane" 1
0 1 3 8 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 0.157823582726028 4 7 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 1
0 0.699845011365514 2 11 "GO:0005777;GO:0042579" "microbody" 1
0 1 4 7 "GO:0005779;GO:0031231" "intrinsic component of peroxisomal membrane" 1
0 0.860988891219536 3 18 "GO:0005783" "endoplasmic reticulum" 1
0 0.46936466653938 3 15 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.785196798693387 3 39 "GO:0005794" "Golgi apparatus" 1
0 0.582929136621074 2 8 "GO:0005813" "centrosome" 1
0 0.504318607056072 2 16 "GO:0005815" "microtubule organizing center" 1
0 0.120673249507218 3 6 "GO:0005834;GO:1905360" "GTPase complex" 1
0 1 2 12 "GO:0005839" "proteasome core complex" 1
0 0.999730786255215 3 96 "GO:0005840" "ribosome" 1
0 0.731050835478638 2 12 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 1
0 0.0320048253704419 3 51 "GO:0005856" "cytoskeleton" 0.665700367705192
0 1 3 7 "GO:0005858" "axonemal dynein complex" 1
