"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 11 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.535848953265628 2 18 "GO:0000139" "Golgi membrane" 1
0 1 2 9 "GO:0000145" "exocyst" 1
0 0.745840083403814 2 32 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 6 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 2 6 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 0.191399565356358 3 5 "GO:0000439" "transcription factor TFIIH core complex" 1
0 1 2 5 "GO:0000775;GO:0098687" "chromosome, centromeric region" 1
0 0.856090396469384 2 80 "GO:0000786;GO:0032993;GO:0044815" "DNA packaging complex" 1
0 1 2 8 "GO:0000922" "spindle pole" 1
0 0.79209715607603 2 99 "GO:0005576" "extracellular region" 1
0 1 2 6 "GO:0005581" "collagen trimer" 1
0 0.371895907242674 2 31 "GO:0005615" "extracellular space" 1
0 0.875680153135644 2 605 "GO:0005634;GO:0043231;GO:0043227" "membrane-bounded organelle" 1
0 1 2 12 "GO:0005643" "nuclear pore" 1
0 0.0698672690805544 2 38 "GO:0005667" "transcription regulator complex" 0.949692767610973
0 1 2 8 "GO:0005680;GO:0000152" "anaphase-promoting complex" 1
0 0.425111629690981 3 13 "GO:0005681" "spliceosomal complex" 1
0 1 2 16 "GO:0005694" "chromosome" 1
0 1 2 8 "GO:0005730" "nucleolus" 1
0 0.134814004634402 2 184 "GO:0005737" "cytoplasm" 1
0 1 5 33 "GO:0005739" "mitochondrion" 1
0 1 4 11 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 1
0 1 2 8 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 1 6 7 "GO:0005764;GO:0000323;GO:0005773" "lytic vacuole" 1
0 1 5 11 "GO:0005777;GO:0042579" "microbody" 1
0 1 4 7 "GO:0005779;GO:0031231" "intrinsic component of peroxisomal membrane" 1
0 1 4 18 "GO:0005783" "endoplasmic reticulum" 1
0 0.472230321718841 4 15 "GO:0005789" "endoplasmic reticulum membrane" 1
