"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
104 0.0907387248643469 2 7 "GO:0000151" "ubiquitin ligase complex" 0.635443765210476
32 0.341294296363668 2 7 "GO:0000786;GO:0032993;GO:0044815" "DNA packaging complex" 0.897996090869639
-36 0.871751166235068 2 44 "GO:0005576" "extracellular region" 0.975531066977338
-42 0.741644562081586 2 10 "GO:0005615" "extracellular space" 0.975531066977338
-16 0.843877546012278 2 354 "GO:0005622" "intracellular anatomical structure" 0.975531066977338
-10 0.716296179111908 5 200 "GO:0005634;GO:0043231;GO:0043227" "membrane-bounded organelle" 0.975531066977338
-45 0.729714890420799 2 8 "GO:0005667" "transcription regulator complex" 0.975531066977338
-1 0.515109063996889 2 60 "GO:0005737" "cytoplasm" 0.975531066977338
1 0.495192133549855 3 5 "GO:0005739" "mitochondrion" 0.975531066977338
-80 0.806929212850377 3 5 "GO:0005777;GO:0042579" "microbody" 0.975531066977338
-51 0.743359352322019 2 7 "GO:0005794" "Golgi apparatus" 0.975531066977338
-56 0.730604781770554 2 5 "GO:0005813" "centrosome" 0.975531066977338
-58 0.772306895333873 2 7 "GO:0005815" "microtubule organizing center" 0.975531066977338
-3 0.528238773821119 5 21 "GO:0005840" "ribosome" 0.975531066977338
-99 0.926294243349176 2 9 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.980599517147106
36 0.235831652122435 2 17 "GO:0005856" "cytoskeleton" 0.791720546411032
70 0.0881027391656429 3 16 "GO:0005871" "kinesin complex" 0.635443765210476
55 0.0962165872958227 6 24 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 0.635443765210476
79 0.0228430887714924 2 28 "GO:0005875" "microtubule associated complex" 0.635443765210476
-88 0.869859189520219 2 7 "GO:0005886" "plasma membrane" 0.975531066977338
20 0.379380889072568 8 10 "GO:0008021;GO:0070382;GO:0030133;GO:0099503;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.938468515074247
91 0.139639197012517 2 6 "GO:0008305;GO:0098636;GO:0098802;GO:0043235" "receptor complex" 0.635443765210476
-26 0.697075878833501 2 17 "GO:0016459" "myosin complex" 0.975531066977338
-134 0.980279781595632 3 10 "GO:0030117" "membrane coat" 0.995831768518706
-78 0.824799779924616 3 6 "GO:0030127;GO:0030120" "vesicle coat" 0.975531066977338
96 0.148720881219473 4 5 "GO:0030173;GO:0031228" "intrinsic component of Golgi membrane" 0.635443765210476
92 0.137867858010103 3 6 "GO:0030286" "dynein complex" 0.635443765210476
56 0.113153905206222 2 20 "GO:0031012" "extracellular matrix" 0.635443765210476
-25 0.679747452504117 2 15 "GO:0031090" "organelle membrane" 0.975531066977338
92 0.119282515091043 2 7 "GO:0031301;GO:0031300" "integral component of organelle membrane" 0.635443765210476
166 0.0357494429312837 2 5 "GO:0031461" "cullin-RING ubiquitin ligase complex" 0.635443765210476
67 0.195518033114519 2 7 "GO:0031966" "mitochondrial membrane" 0.753717482098201
-7 0.66620793813704 1 196 "GO:0032991" "protein-containing complex" 0.975531066977338
-2 0.509182855449776 2 6 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.975531066977338
-106 0.93887187811957 3 9 "GO:0034703;GO:0034702;GO:1902495;GO:1990351" "transmembrane transporter complex" 0.980599517147106
-4 0.608580598458943 3 246 "GO:0043229;GO:0043226" "organelle" 0.975531066977338
16 0.304396226769375 4 46 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.894163916135039
-14 0.559657144469878 3 5 "GO:0044391" "ribosomal subunit" 0.975531066977338
113 0.073620110740186 3 7 "GO:0045211;GO:0097060;GO:0098590" "postsynaptic membrane" 0.635443765210476
-205 0.995831768518706 4 7 "GO:0098588" "bounding membrane of organelle" 0.995831768518706
-30 0.820598506765927 2 43 "GO:0098796" "membrane protein complex" 0.975531066977338
-31 0.740227968538007 3 18 "GO:0098797" "plasma membrane protein complex" 0.975531066977338
-61 0.932553446978013 2 26 "GO:0140513" "nuclear protein-containing complex" 0.980599517147106
18 0.343913396503266 2 21 "GO:0140535" "intracellular protein-containing complex" 0.897996090869639
2 0.481775936788988 2 40 "GO:1902494" "catalytic complex" 0.975531066977338
37 0.208475048239928 3 21 "GO:1990234" "transferase complex" 0.753717482098201
31 0.286122064112276 2 14 "GO:1990904" "ribonucleoprotein complex" 0.894163916135039
