"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-91 0.857080189899131 2 7 "GO:0000151" "ubiquitin ligase complex" 0.99274327305082
3 0.48793225307626 2 7 "GO:0000786;GO:0032993;GO:0044815" "DNA packaging complex" 0.99274327305082
22 0.252135683673944 2 48 "GO:0005576" "extracellular region" 0.99274327305082
-13 0.573585141436013 2 11 "GO:0005615" "extracellular space" 0.99274327305082
17 0.143071015797253 2 375 "GO:0005622" "intracellular anatomical structure" 0.99274327305082
-9 0.687586702065413 2 209 "GO:0005634;GO:0043231;GO:0043227" "membrane-bounded organelle" 0.99274327305082
-118 0.928817942646425 2 8 "GO:0005667" "transcription regulator complex" 0.99274327305082
1 0.496742975607044 5 6 "GO:0005694" "chromosome" 0.99274327305082
-41 0.918741879626937 2 66 "GO:0005737" "cytoplasm" 0.99274327305082
-88 0.808916474287092 2 5 "GO:0005739" "mitochondrion" 0.99274327305082
-68 0.74899231380363 3 5 "GO:0005777;GO:0042579" "peroxisome" 0.99274327305082
18 0.418108229875818 3 7 "GO:0005794" "Golgi apparatus" 0.99274327305082
-6 0.525338561975979 3 5 "GO:0005813" "centrosome" 0.99274327305082
-41 0.682242511566369 2 7 "GO:0005815" "microtubule organizing center" 0.99274327305082
121 0.00761924860863839 2 21 "GO:0005840" "ribosome" 0.38096243043192
87 0.113216415891134 2 10 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.99274327305082
16 0.375094125126409 2 20 "GO:0005856" "cytoskeleton" 0.99274327305082
-56 0.889666600797339 2 25 "GO:0005871" "kinesin complex" 0.99274327305082
4 0.467264845775759 3 24 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 0.99274327305082
-56 0.953018855011052 2 49 "GO:0005875" "microtubule associated complex" 0.99274327305082
-22 0.619832744708534 3 10 "GO:0005886" "plasma membrane" 0.99274327305082
51 0.309056618059833 2 5 "GO:0005891;GO:0034704" "voltage-gated calcium channel complex" 0.99274327305082
16 0.412191022865326 2 10 "GO:0008021;GO:0070382;GO:0030133;GO:0099503;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.99274327305082
-70 0.80720439911097 2 8 "GO:0008305;GO:0098636;GO:0098802;GO:0043235" "receptor complex" 0.99274327305082
7 0.452904583755753 2 17 "GO:0016459" "myosin complex" 0.99274327305082
-3 0.516693230486494 3 12 "GO:0030117" "membrane coat" 0.99274327305082
-39 0.687955502048279 2 8 "GO:0030127;GO:0030120" "vesicle coat" 0.99274327305082
4 0.486532384652869 4 5 "GO:0030173;GO:0031228" "intrinsic component of Golgi membrane" 0.99274327305082
-63 0.879041061970985 2 18 "GO:0030286" "dynein complex" 0.99274327305082
70 0.0804080934450613 2 21 "GO:0031012" "extracellular matrix" 0.99274327305082
-39 0.743575940823815 3 15 "GO:0031090" "organelle membrane" 0.99274327305082
-51 0.725759237110918 2 7 "GO:0031301;GO:0031300" "integral component of organelle membrane" 0.99274327305082
-73 0.76575815623726 2 5 "GO:0031461" "cullin-RING ubiquitin ligase complex" 0.99274327305082
13 0.439218605302065 2 7 "GO:0031966" "mitochondrial membrane" 0.99274327305082
-43 0.99274327305082 1 235 "GO:0032991" "protein-containing complex" 0.99274327305082
-31 0.639830331949575 3 7 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.99274327305082
6 0.468275039091379 5 10 "GO:0034703;GO:0034702;GO:1902495;GO:1990351" "transmembrane transporter complex" 0.99274327305082
11 0.263500481612969 2 260 "GO:0043229;GO:0043226" "organelle" 0.99274327305082
68 0.018619839996741 4 51 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.465495999918525
-225 0.986673227046839 3 5 "GO:0044391" "ribosomal subunit" 0.99274327305082
55 0.260418255757316 5 7 "GO:0045211;GO:0097060;GO:0098590" "postsynaptic membrane" 0.99274327305082
29 0.369010784202115 2 7 "GO:0098588" "bounding membrane of organelle" 0.99274327305082
17 0.302003107249716 2 50 "GO:0098796" "membrane protein complex" 0.99274327305082
-14 0.614675881936753 3 22 "GO:0098797" "plasma membrane protein complex" 0.99274327305082
-142 0.919279688029713 2 5 "GO:0099023" "vesicle tethering complex" 0.99274327305082
-32 0.768527832848318 2 28 "GO:0140513" "nuclear protein-containing complex" 0.99274327305082
-66 0.911557274335425 2 22 "GO:0140535" "intracellular protein-containing complex" 0.99274327305082
-60 0.971728678170907 2 55 "GO:1902494" "catalytic complex" 0.99274327305082
-96 0.977272939128555 3 23 "GO:1990234" "transferase complex" 0.99274327305082
-27 0.670445322863264 2 14 "GO:1990904" "ribonucleoprotein complex" 0.99274327305082
