"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 14 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 1 5 18 "GO:0000139" "Golgi membrane" 1
0 1 3 9 "GO:0000145" "exocyst" 1
0 1 3 40 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 8 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 4 7 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 3 5 "GO:0000439" "transcription factor TFIIH core complex" 1
0 1 3 6 "GO:0000775;GO:0098687" "chromosome, centromeric region" 1
0 1 2 8 "GO:0000776" "kinetochore" 1
0 1 2 24 "GO:0000786;GO:0032993;GO:0044815" "DNA packaging complex" 1
0 1 2 6 "GO:0000796" "condensin complex" 1
0 1 2 10 "GO:0000922" "spindle pole" 1
0 1 2 91 "GO:0005576" "extracellular region" 1
0 1 2 8 "GO:0005581" "collagen trimer" 1
0 1 2 22 "GO:0005615" "extracellular space" 1
0 1 2 16 "GO:0005643" "nuclear pore" 1
0 1 2 35 "GO:0005667" "transcription regulator complex" 1
0 1 3 11 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 16 "GO:0005681" "spliceosomal complex" 1
0 1 3 16 "GO:0005694" "chromosome" 1
0 1 5 8 "GO:0005730" "nucleolus" 1
0 1 2 217 "GO:0005737" "cytoplasm" 1
0 1 3 32 "GO:0005739" "mitochondrion" 1
0 1 3 12 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 1 4 9 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 1 6 7 "GO:0005764;GO:0000323;GO:0005773" "lytic vacuole" 1
0 1 6 11 "GO:0005777;GO:0042579" "microbody" 1
0 1 4 8 "GO:0005779;GO:0031231" "intrinsic component of peroxisomal membrane" 1
0 1 2 20 "GO:0005783" "endoplasmic reticulum" 1
0 1 2 17 "GO:0005789" "endoplasmic reticulum membrane" 1
