"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1359 0.974677904276481 2 5 "GO:0000049" "tRNA binding" 0.999621633881453
658 0.0141529941271963 3 27 "GO:0000287" "magnesium ion binding" 0.435514278466055
-414 0.724360171293427 4 5 "GO:0001614;GO:0016502" "nucleotide receptor activity" 0.963559764228853
387 0.271081465132285 2 6 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.718738930488352
-939 0.911492541645677 2 5 "GO:0002161" "aminoacyl-tRNA editing activity" 0.999060610330543
81 0.16158408296709 3 390 "GO:0003677" "DNA binding" 0.659724989756481
-485 0.886089186476841 4 15 "GO:0003678" "DNA helicase activity" 0.996419357555669
-172 0.6760402929813 2 17 "GO:0003682" "chromatin binding" 0.957723748390175
-533 0.860872096909681 4 10 "GO:0003684" "damaged DNA binding" 0.987362068940501
1017 0.0150696982168185 4 11 "GO:0003690" "double-stranded DNA binding" 0.435514278466055
-60 0.540409193311474 5 7 "GO:0003697" "single-stranded DNA binding" 0.877405937455146
-35 0.606903329879922 2 150 "GO:0003700;GO:0140110" "transcription regulator activity" 0.91884535123329
333 0.14287807224157 3 25 "GO:0003707" "steroid hormone receptor activity" 0.659724989756481
437 0.165451204221362 2 12 "GO:0003712" "transcription coregulator activity" 0.659724989756481
213 0.358562341187788 2 7 "GO:0003713" "transcription coactivator activity" 0.776760703277227
-37 0.658709242356529 2 313 "GO:0003723" "RNA binding" 0.956617944929833
82 0.453255038755766 5 5 "GO:0003729" "mRNA binding" 0.850589001301405
415 0.00530400931372573 2 93 "GO:0003735" "structural constituent of ribosome" 0.290520485082254
643 0.0956374145169987 3 10 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.659724989756481
131 0.177500349772637 2 124 "GO:0003774;GO:0003777" "motor activity" 0.659724989756481
163 0.242064736605638 2 45 "GO:0003779" "actin binding" 0.679191348340091
-754 0.860952392294139 -1 5 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.987362068940501
956 0.0661103001343368 3 6 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.659724989756481
272 0.200770658287529 4 23 "GO:0003887" "DNA-directed DNA polymerase activity" 0.659724989756481
138 0.278994461020452 5 44 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 0.732994538499188
-993 0.92343831327445 2 5 "GO:0003913" "DNA photolyase activity" 0.999060610330543
-37 0.525318469996772 3 7 "GO:0003916" "DNA topoisomerase activity" 0.864360631592116
217 0.100030446340967 2 86 "GO:0003924" "GTPase activity" 0.659724989756481
477 0.208476948153732 5 7 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.659724989756481
802 0.0723802763364277 2 8 "GO:0003951;GO:0004143" "NAD+ kinase activity" 0.659724989756481
-518 0.826795560035661 4 8 "GO:0003954;GO:0008137;GO:0050136;GO:0003955;GO:0016655" "NADH dehydrogenase activity" 0.987362068940501
-189 0.947512775163018 4 185 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.999621633881453
347 0.264361421059935 2 8 "GO:0003993" "acid phosphatase activity" 0.715248524590702
-348 0.798795841512755 2 14 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.987362068940501
-332 0.750176287029384 3 10 "GO:0004104" "cholinesterase activity" 0.963559764228853
449 0.149315201301005 2 13 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.659724989756481
100 0.43266456323085 2 7 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "cytochrome-c oxidase activity" 0.84847091669032
-262 0.99357063018918 3 227 "GO:0004175" "endopeptidase activity" 0.999621633881453
-175 0.616802761727537 3 7 "GO:0004176" "ATP-dependent peptidase activity" 0.91884535123329
927 0.0721172252007276 2 6 "GO:0004177" "aminopeptidase activity" 0.659724989756481
288 0.339254000202646 2 5 "GO:0004185" "serine-type carboxypeptidase activity" 0.776760703277227
-559 0.980264944521623 5 33 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.999621633881453
-214 0.70308591947306 2 15 "GO:0004197" "cysteine-type endopeptidase activity" 0.963559764228853
592 0.197339089222739 6 5 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.659724989756481
-241 0.914418040228382 2 79 "GO:0004222" "metalloendopeptidase activity" 0.999060610330543
-254 0.944654571331874 3 97 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.999621633881453
524 0.132227561716282 4 11 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.659724989756481
185 0.39529712224779 2 5 "GO:0004348" "glucosylceramidase activity" 0.810218924323485
-527 0.775917365411367 2 5 "GO:0004371" "glycerone kinase activity" 0.983509292122303
-782 0.922501043683374 2 8 "GO:0004383;GO:0009975" "cyclase activity" 0.999060610330543
124 0.221029933120159 3 95 "GO:0004386" "helicase activity" 0.659724989756481
-727 0.873919259118804 6 6 "GO:0004435;GO:0004629" "phospholipase C activity" 0.991371701420058
44 0.439266625772292 2 30 "GO:0004497" "monooxygenase activity" 0.84847091669032
-14 0.511331171322302 5 10 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.864360631592116
208 0.145500631789351 2 63 "GO:0004518" "nuclease activity" 0.659724989756481
119 0.328399327951057 2 34 "GO:0004519" "endonuclease activity" 0.776760703277227
481 0.142162865053307 4 12 "GO:0004521" "endoribonuclease activity" 0.659724989756481
231 0.258811566164712 2 19 "GO:0004527" "exonuclease activity" 0.715248524590702
