"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-25 0.534211464341008 5 27 "GO:0000287" "magnesium ion binding" 0.999978383622738
97 0.11320086277457 2 390 "GO:0003677" "DNA binding" 0.598627311038218
226 0.0372998472661515 2 150 "GO:0003700;GO:0140110" "transcription regulator activity" 0.287741678910312
348 0.12748544586925 2 25 "GO:0003707" "steroid hormone receptor activity" 0.598627311038218
154 0.041840845468647 3 313 "GO:0003723" "RNA binding" 0.290937924440856
672 1.28296440904959e-05 2 93 "GO:0003735" "structural constituent of ribosome" 0.000692800780886779
-173 0.893274767103953 2 124 "GO:0003774;GO:0003777" "motor activity" 0.999978383622738
213 0.175575677078805 3 45 "GO:0003779" "actin binding" 0.790090546854623
-180 0.781519023131749 3 44 "GO:0003899;GO:0034062;GO:0097747" "RNA polymerase activity" 0.999978383622738
503 0.00123203306153751 2 86 "GO:0003924" "GTPase activity" 0.0332648926615128
145 0.102596672958186 4 185 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.583181088393899
-116 0.8690783963577 3 227 "GO:0004175" "endopeptidase activity" 0.999978383622738
128 0.315480882959047 4 33 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.999978383622738
-222 0.900571027918065 2 79 "GO:0004222" "metalloendopeptidase activity" 0.999978383622738
-201 0.900319983970798 5 97 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.999978383622738
-197 0.893565253233846 2 95 "GO:0004386" "helicase activity" 0.999978383622738
-290 0.850557802601627 3 30 "GO:0004497" "monooxygenase activity" 0.999978383622738
224 0.123811006132517 2 63 "GO:0004518" "nuclease activity" 0.598627311038218
-62 0.593940415882486 3 34 "GO:0004519" "endonuclease activity" 0.999978383622738
-45 0.60682398829818 4 85 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.999978383622738
-90 0.85423275154187 2 342 "GO:0004672;GO:0016301;GO:0016773" "phosphotransferase activity, alcohol group as acceptor" 0.999978383622738
-31 0.596261737851639 3 146 "GO:0004674" "protein serine/threonine kinase activity" 0.999978383622738
-177 0.758294085897846 3 37 "GO:0004713" "protein tyrosine kinase activity" 0.999978383622738
-160 0.788169901554833 3 59 "GO:0004725;GO:0004721" "phosphoprotein phosphatase activity" 0.999978383622738
-199 0.776021739050526 3 34 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 0.999978383622738
-473 0.994676719274305 3 69 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.999978383622738
-445 0.941209258980536 3 29 "GO:0004866;GO:0061135" "endopeptidase inhibitor activity" 0.999978383622738
-45 0.568450647528485 -1 35 "GO:0004871" "obsolete signal transducer activity" 0.999978383622738
-150 0.946162079846131 3 283 "GO:0004930;GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 0.999978383622738
-123 0.830148800214271 2 144 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.999978383622738
-381 0.91009745373342 2 29 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.999978383622738
89 0.379442356649442 2 28 "GO:0005102" "signaling receptor binding" 0.999978383622738
573 5.99607618953113e-06 1 140 "GO:0005198" "structural molecule activity" 0.000647576228469362
96 0.219358050585684 4 158 "GO:0005216;GO:0015267;GO:0022803" "channel activity" 0.911179594740534
-58 0.598798303814863 2 44 "GO:0005230;GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.999978383622738
223 0.0997657977573404 3 78 "GO:0005261" "cation channel activity" 0.583181088393899
-235 0.795669282820883 2 29 "GO:0005328;GO:0005326" "neurotransmitter:sodium symporter activity" 0.999978383622738
-118 0.79331043693398 4 114 "GO:0005506" "iron ion binding" 0.999978383622738
-318 0.999978383622738 3 420 "GO:0005509" "calcium ion binding" 0.999978383622738
-186 0.998845490833335 2 726 "GO:0005524;GO:0032559;GO:0030554" "adenyl nucleotide binding" 0.999978383622738
342 0.00111514617986994 3 193 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "nucleoside binding" 0.0332648926615128
110 0.333701132770169 2 36 "GO:0005543" "phospholipid binding" 0.999978383622738
-250 0.874978113922525 4 50 "GO:0008017;GO:0015631" "tubulin binding" 0.999978383622738
-332 0.886512896619933 5 31 "GO:0008081" "phosphoric diester hydrolase activity" 0.999978383622738
14 0.463810634795901 2 97 "GO:0008092" "cytoskeletal protein binding" 0.999978383622738
351 0.0219677167746318 4 78 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.263612601295582
301 0.0270990420501702 4 97 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.266063321947126
-95 0.859391043988871 2 321 "GO:0008233" "peptidase activity" 0.999978383622738
-178 0.73078681314844 4 28 "GO:0008234" "cysteine-type peptidase activity" 0.999978383622738
-207 0.93748034104412 3 131 "GO:0008237" "metallopeptidase activity" 0.999978383622738
84 0.366361263832686 4 39 "GO:0008238" "exopeptidase activity" 0.999978383622738
-23 0.644705291102489 2 674 "GO:0008270;GO:0046914" "transition metal ion binding" 0.999978383622738
171 0.204162446335381 2 55 "GO:0008289" "lipid binding" 0.881981768168846
-208 0.764292173199935 2 28 "GO:0008373" "sialyltransferase activity" 0.999978383622738
40 0.443537153512084 4 29 "GO:0008484" "sulfuric ester hydrolase activity" 0.999978383622738
-345 0.969845393181356 2 70 "GO:0008509" "anion transmembrane transporter activity" 0.999978383622738
188 0.240589706579567 2 33 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.941047178697363
537 0.0254066784372231 3 31 "GO:0009055" "electron transfer activity" 0.266063321947126
241 0.0317952940476834 2 142 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.280991066543962
590 0.00881330671072417 5 38 "GO:0015078" "proton transmembrane transporter activity" 0.190367424951642
-84 0.688825684818427 5 81 "GO:0015081" "sodium ion transmembrane transporter activity" 0.999978383622738
-84 0.614450479522644 5 28 "GO:0015085;GO:0072509" "calcium ion transmembrane transporter activity" 0.999978383622738
-42 0.682473374209428 2 323 "GO:0015318;GO:0015075" "ion transmembrane transporter activity" 0.999978383622738
-90 0.667644397612181 3 55 "GO:0015370;GO:0015294;GO:0015293" "solute:cation symporter activity" 0.999978383622738
-272 0.919970198214072 3 63 "GO:0015399;GO:0042626" "ATPase-coupled transmembrane transporter activity" 0.999978383622738
33 0.327177732055575 2 484 "GO:0016491" "oxidoreductase activity" 0.999978383622738
381 0.0457957844027273 2 46 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.290937924440856
-318 0.86862175690078 3 29 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.999978383622738
-44 0.62261210276363 3 120 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.999978383622738
-4 0.510245902354083 3 83 "GO:0016746" "transferase activity, transferring acyl groups" 0.999978383622738
-130 0.738327018953398 2 57 "GO:0016747" "transferase activity, transferring acyl groups other than amino-acyl groups" 0.999978383622738
27 0.422408529426787 3 127 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.999978383622738
108 0.281779584923998 2 68 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.983799220620575
-11 0.568352021836688 2 616 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.999978383622738
25 0.391179720727521 2 290 "GO:0016779;GO:0140097" "nucleotidyltransferase activity" 0.999978383622738
30 0.376706856978705 3 279 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.999978383622738
-28 0.567080487783668 5 84 "GO:0016791" "phosphatase activity" 0.999978383622738
307 0.121003263124559 3 34 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.598627311038218
15 0.466590096915433 2 71 "GO:0016829" "lyase activity" 0.999978383622738
-58 0.612034790548371 2 57 "GO:0016853" "isomerase activity" 0.999978383622738
92 0.268403276563055 2 107 "GO:0016874" "ligase activity" 0.983799220620575
385 0.0338229987506621 2 53 "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.280991066543962
583 0.0185986044621319 4 30 "GO:0016881" "acid-amino acid ligase activity" 0.263612601295582
-162 0.922950246121404 2 188 "GO:0016887" "ATPase activity" 0.999978383622738
-48 0.734882106866894 6 438 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides" 0.999978383622738
-11 0.524762900191945 3 75 "GO:0019842" "vitamin binding" 0.999978383622738
-173 0.874980824530694 2 105 "GO:0020037;GO:0046906" "tetrapyrrole binding" 0.999978383622738
-226 0.955614306047199 3 136 "GO:0022804" "active transmembrane transporter activity" 0.999978383622738
104 0.282386813326276 5 72 "GO:0022836" "gated channel activity" 0.983799220620575
-210 0.905187400823892 2 93 "GO:0022853;GO:0015291" "active ion transmembrane transporter activity" 0.999978383622738
-83 0.872945466952988 2 488 "GO:0022857;GO:0005215" "transporter activity" 0.999978383622738
75 0.243975194477094 3 205 "GO:0022890;GO:0008324" "cation transmembrane transporter activity" 0.941047178697363
-46 0.589015709426702 2 56 "GO:0030170;GO:0070279" "pyridoxal phosphate binding" 0.999978383622738
-162 0.88355880775708 2 129 "GO:0030234;GO:0098772" "molecular function regulator" 0.999978383622738
-300 0.992608118230547 2 159 "GO:0030246" "carbohydrate binding" 0.999978383622738
