"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
907 0.0961256948918822 4 5 "GO:0000049" "tRNA binding" 0.838787701027778
237 0.214279009489521 5 27 "GO:0000287" "magnesium ion binding" 0.962527863310469
-135 0.57691558515803 3 5 "GO:0001614;GO:0016502" "nucleotide receptor activity" 0.998695227695063
870 0.0854153851599929 3 6 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.838787701027778
1379 0.023717043358282 2 5 "GO:0002161" "aminoacyl-tRNA editing activity" 0.76120958326276
-166 0.979053058062816 3 390 "GO:0003677" "DNA binding" 0.998759242130588
904 0.0122415877213131 7 15 "GO:0003678" "DNA helicase activity" 0.54633791315982
-131 0.635448788618586 2 17 "GO:0003682" "chromatin binding" 0.998695227695063
490 0.159706388087249 2 10 "GO:0003684" "damaged DNA binding" 0.905604877911014
-698 0.931721901380957 4 11 "GO:0003690" "double-stranded DNA binding" 0.998759242130588
-696 0.881889292064376 5 7 "GO:0003697" "single-stranded DNA binding" 0.998695227695063
-157 0.888818817122887 2 150 "GO:0003700;GO:0140110" "transcription regulator activity" 0.998695227695063
-96 0.621539279418568 2 25 "GO:0003707" "steroid hormone receptor activity" 0.998695227695063
-470 0.852330753504647 2 12 "GO:0003712" "transcription coregulator activity" 0.998695227695063
-681 0.876609941057633 3 7 "GO:0003713" "transcription coactivator activity" 0.998695227695063
-180 0.97648333880458 2 313 "GO:0003723" "RNA binding" 0.998759242130588
-90 0.551303586102616 3 5 "GO:0003729" "mRNA binding" 0.998695227695063
-261 0.945456571069268 2 93 "GO:0003735" "structural constituent of ribosome" 0.998759242130588
-202 0.659028122767376 3 10 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.998695227695063
145 0.152826029529419 5 124 "GO:0003774;GO:0003777" "motor activity" 0.905604877911014
179 0.220284412023221 2 45 "GO:0003779" "actin binding" 0.962527863310469
348 0.308338204795354 -1 5 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.990414732323648
-1044 0.949928076008084 5 6 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.998759242130588
-289 0.812966574505662 3 23 "GO:0003887" "DNA-directed DNA polymerase activity" 0.998695227695063
-497 0.982718569054223 3 44 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.998759242130588
-1423 0.979636847336015 2 5 "GO:0003913" "DNA photolyase activity" 0.998759242130588
-751 0.899275239769358 2 7 "GO:0003916" "DNA topoisomerase activity" 0.998695227695063
10 0.476396523017768 7 86 "GO:0003924" "GTPase activity" 0.998695227695063
-618 0.853403916723805 3 7 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.998695227695063
-1017 0.967812983081961 4 8 "GO:0003951;GO:0004143" "NAD+ kinase activity" 0.998759242130588
92 0.433430480034347 2 8 "GO:0003954;GO:0008137;GO:0050136;GO:0003955;GO:0016655" "NADH dehydrogenase activity" 0.998695227695063
-307 0.995855357793612 2 185 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.998759242130588
485 0.188904753030321 2 8 "GO:0003993" "acid phosphatase activity" 0.960990145424286
191 0.322841206150776 2 14 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.990414732323648
338 0.24589448363869 3 10 "GO:0004104" "cholinesterase activity" 0.981797646738234
-294 0.751896795733332 4 13 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.998695227695063
-136 0.591308093997831 4 7 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 0.998695227695063
163 0.0612831090730052 2 227 "GO:0004175" "endopeptidase activity" 0.761543868462709
74 0.450139041552348 5 7 "GO:0004176" "ATP-dependent peptidase activity" 0.998695227695063
150 0.406874325104603 2 6 "GO:0004177" "aminopeptidase activity" 0.998695227695063
-34 0.519514062322294 2 5 "GO:0004185" "serine-type carboxypeptidase activity" 0.998695227695063
-60 0.58695983592012 2 33 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.998695227695063
-269 0.748634003123306 2 15 "GO:0004197" "cysteine-type endopeptidase activity" 0.998695227695063
-130 0.574209150133308 3 5 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.998695227695063
66 0.353306579109627 5 79 "GO:0004222" "metalloendopeptidase activity" 0.990414732323648
371 0.00999434435948281 2 97 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.54633791315982
173 0.356233862724067 4 11 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.990414732323648
-751 0.859833344671707 3 5 "GO:0004348" "glucosylceramidase activity" 0.998695227695063
1544 0.0132330982426254 4 5 "GO:0004371" "glycerone kinase activity" 0.54633791315982
-313 0.715383170188885 3 8 "GO:0004383;GO:0009975" "cyclase activity" 0.998695227695063
52 0.373174377243935 6 95 "GO:0004386" "helicase activity" 0.998695227695063
312 0.311425143196495 2 6 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 0.990414732323648
297 0.148636630911694 3 30 "GO:0004497" "monooxygenase activity" 0.905604877911014
180 0.357019044518599 5 10 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.990414732323648
-67 0.633497917887197 2 63 "GO:0004518" "nuclease activity" 0.998695227695063
-61 0.590674389300329 5 34 "GO:0004519" "endonuclease activity" 0.998695227695063
-328 0.767543379340519 2 12 "GO:0004521" "endoribonuclease activity" 0.998695227695063
-125 0.636986898458961 3 19 "GO:0004527" "exonuclease activity" 0.998695227695063
66 0.432688803761412 3 16 "GO:0004536;GO:0016888;GO:0004520" "deoxyribonuclease activity" 0.998695227695063
-358 0.82839636775854 3 17 "GO:0004540" "ribonuclease activity" 0.998695227695063
66 0.348557993276088 2 85 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.990414732323648
665 0.113192803944925 2 8 "GO:0004559" "alpha-mannosidase activity" 0.838787701027778
804 0.123782880465144 3 5 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 0.840854732706779
615 0.105760772804929 3 10 "GO:0004601" "peroxidase activity" 0.838787701027778
-317 0.806091913366975 5 18 "GO:0004620;GO:0016298" "lipase activity" 0.998695227695063
-713 0.887286450379619 5 7 "GO:0004623" "phospholipase A2 activity" 0.998695227695063
66 0.223146598068517 3 342 "GO:0004672;GO:0016301;GO:0016773" "phosphotransferase activity, alcohol group as acceptor" 0.962527863310469
107 0.205955938329678 2 146 "GO:0004674" "protein serine/threonine kinase activity" 0.960990145424286
578 0.0120778204289932 4 37 "GO:0004713" "protein tyrosine kinase activity" 0.54633791315982
-32 0.518596435359352 2 5 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.998695227695063
132 0.258742903770027 4 59 "GO:0004725;GO:0004721" "phosphoprotein phosphatase activity" 0.990414732323648
-311 0.877271216737468 3 34 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.998695227695063
322 0.0436824218423682 3 69 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.76120958326276
-157 0.706148482958503 4 29 "GO:0004866;GO:0061135" "endopeptidase regulator activity" 0.998695227695063
572 0.122362907235834 3 10 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.840854732706779
-328 0.893284098213629 -1 35 "GO:0004871" "obsolete signal transducer activity" 0.998695227695063
322 0.000351497928298522 3 283 "GO:0004930;GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 0.101582901278273
991 0.0220456784987937 2 10 "GO:0004965;GO:0016917" "GABA receptor activity" 0.76120958326276
1005 0.0337780793975845 3 8 "GO:0004970;GO:0008066;GO:0022824;GO:0022835;GO:0030594;GO:0005234;GO:0005231" "neurotransmitter receptor activity" 0.76120958326276
175 0.090825017811053 2 144 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.838787701027778
-33 0.54558674219758 2 29 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.998695227695063
-188 0.738605787886413 2 28 "GO:0005102" "signaling receptor binding" 0.998695227695063
-205 0.938485619750865 1 140 "GO:0005198" "structural molecule activity" 0.998759242130588
48 0.443928623852083 2 21 "GO:0005200" "structural constituent of cytoskeleton" 0.998695227695063
566 0.125109873724538 2 10 "GO:0005201" "extracellular matrix structural constituent" 0.840854732706779
-41 0.629019777567105 4 158 "GO:0005216;GO:0015267;GO:0022803" "channel activity" 0.998695227695063
-58 0.596970193372267 4 44 "GO:0005230;GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.998695227695063
180 0.29848683801997 2 21 "GO:0005244;GO:0022832" "voltage-gated ion channel activity" 0.990414732323648
675 0.109950024379429 6 8 "GO:0005247;GO:0005254;GO:0008308;GO:0005253;GO:0015108" "voltage-gated anion channel activity" 0.838787701027778
-126 0.614617782912024 4 13 "GO:0005249;GO:0022843" "voltage-gated cation channel activity" 0.998695227695063
-120 0.751386108966529 3 78 "GO:0005261" "cation channel activity" 0.998695227695063
-168 0.715970272944371 6 28 "GO:0005262;GO:0015085;GO:0072509" "calcium ion transmembrane transporter activity" 0.998695227695063
-313 0.832484624836384 4 23 "GO:0005267;GO:0015079" "potassium channel activity" 0.998695227695063
-177 0.711573506491557 2 24 "GO:0005272" "sodium channel activity" 0.998695227695063
-328 0.820814997306952 2 19 "GO:0005319" "lipid transporter activity" 0.998695227695063
108 0.353985677676648 3 29 "GO:0005328;GO:0005326" "neurotransmitter:sodium symporter activity" 0.990414732323648
92 0.429390160372661 2 9 "GO:0005337" "nucleoside transmembrane transporter activity" 0.998695227695063
112 0.430067673559973 3 6 "GO:0005415" "nucleoside:sodium symporter activity" 0.998695227695063
1010 0.0732645352466034 2 5 "GO:0005452" "inorganic anion exchanger activity" 0.805736717712428
68 0.322637260843132 3 114 "GO:0005506" "iron ion binding" 0.990414732323648
96 0.402387745058826 6 16 "GO:0005507" "copper ion binding" 0.998695227695063
212 0.00360198419194499 2 420 "GO:0005509" "calcium ion binding" 0.520486715736051
-333 0.683920366208278 2 5 "GO:0005516" "calmodulin binding" 0.998695227695063
-26 0.661829770382897 4 726 "GO:0005524;GO:0032559;GO:0030554" "adenyl nucleotide binding" 0.998695227695063
-123 0.8598740979459 5 193 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "nucleoside binding" 0.998695227695063
-402 0.718366981342406 3 5 "GO:0005539" "glycosaminoglycan binding" 0.998695227695063
-2 0.503283351796641 3 36 "GO:0005543" "phospholipid binding" 0.998695227695063
567 0.124774632913193 2 10 "GO:0005544" "calcium-dependent phospholipid binding" 0.840854732706779
192 0.191756351258816 2 50 "GO:0008017;GO:0015631" "tubulin binding" 0.960990145424286
535 0.0781723399673132 3 17 "GO:0008047;GO:0005096" "enzyme activator activity" 0.806850223234054
-132 0.582282792953361 2 6 "GO:0008061" "chitin binding" 0.998695227695063
-84 0.606245054085592 3 25 "GO:0008080;GO:0016407;GO:0016410" "N-acyltransferase activity" 0.998695227695063
7 0.489830396878499 2 31 "GO:0008081" "phosphoric diester hydrolase activity" 0.998695227695063
-291 0.72316431015646 2 10 "GO:0008083" "growth factor activity" 0.998695227695063
201 0.103164668303584 3 97 "GO:0008092" "cytoskeletal protein binding" 0.838787701027778
-637 0.860708114029035 8 7 "GO:0008094" "DNA-dependent ATPase activity" 0.998695227695063
146 0.323254585354496 3 24 "GO:0008135;GO:0090079;GO:0045182;GO:0003743" "translation regulator activity, nucleic acid binding" 0.990414732323648
90 0.424007956142251 2 11 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 0.998695227695063
-251 0.921786188502892 4 78 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.998759242130588
991 0.045900994490048 4 7 "GO:0008158" "hedgehog receptor activity" 0.76120958326276
-93 0.7207572435932 2 97 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.998695227695063
-479 0.890692615103392 2 16 "GO:0008170" "N-methyltransferase activity" 0.998695227695063
860 0.0486149493495505 3 9 "GO:0008172" "S-methyltransferase activity" 0.76120958326276
-510 0.849942866451036 2 10 "GO:0008173" "RNA methyltransferase activity" 0.998695227695063
-954 0.933449677909398 2 6 "GO:0008191" "metalloendopeptidase inhibitor activity" 0.998759242130588
-344 0.778414663833257 3 12 "GO:0008194" "UDP-glycosyltransferase activity" 0.998695227695063
147 0.0500449206989358 3 321 "GO:0008233" "peptidase activity" 0.76120958326276
23 0.468495950581127 2 28 "GO:0008234" "cysteine-type peptidase activity" 0.998695227695063
10 0.486847839121377 2 28 "GO:0008235;GO:0004180;GO:0004181" "metalloexopeptidase activity" 0.998695227695063
14 0.459647736901713 2 131 "GO:0008237" "metallopeptidase activity" 0.998695227695063
-243 0.835013908946182 4 39 "GO:0008238" "exopeptidase activity" 0.998695227695063
-380 0.72507424589832 2 6 "GO:0008241" "peptidyl-dipeptidase activity" 0.998695227695063
281 0.343373364810393 2 5 "GO:0008242" "omega peptidase activity" 0.990414732323648
-122 0.97131693063272 2 674 "GO:0008270;GO:0046914" "transition metal ion binding" 0.998759242130588
-775 0.963748751573664 2 13 "GO:0008276" "protein methyltransferase activity" 0.998759242130588
-68 0.627103846306323 2 55 "GO:0008289" "lipid binding" 0.998695227695063
-1109 0.959718942007862 4 6 "GO:0008312" "7S RNA binding" 0.998759242130588
360 0.110720907263072 4 28 "GO:0008373" "sialyltransferase activity" 0.838787701027778
-669 0.888199032353191 2 8 "GO:0008375" "acetylglucosaminyltransferase activity" 0.998695227695063
-569 0.833460089635564 2 7 "GO:0008378" "galactosyltransferase activity" 0.998695227695063
131 0.385429136706555 2 12 "GO:0008408" "3'-5' exonuclease activity" 0.998695227695063
328 0.302838364886926 2 6 "GO:0008417" "fucosyltransferase activity" 0.990414732323648
148 0.415773044188543 2 5 "GO:0008430" "selenium binding" 0.998695227695063
360 0.270365556500698 3 7 "GO:0008483;GO:0016769" "transaminase activity" 0.990414732323648
-50 0.568617832676568 2 29 "GO:0008484" "sulfuric ester hydrolase activity" 0.998695227695063
6 0.494313171222884 4 16 "GO:0008508;GO:0015125;GO:0140161;GO:0008028;GO:1901618;GO:0005343;GO:0015355" "organic acid:sodium symporter activity" 0.998695227695063
177 0.172346949083411 4 70 "GO:0008509" "anion transmembrane transporter activity" 0.905604877911014
1094 0.0424685555039909 4 6 "GO:0008528;GO:0001653" "G protein-coupled peptide receptor activity" 0.76120958326276
863 0.0329553776755902 -1 11 "GO:0008565" "obsolete protein transporter activity" 0.76120958326276
264 0.352308752302004 3 5 "GO:0008603" "cAMP-dependent protein kinase regulator activity" 0.990414732323648
-51 0.574670254558483 3 33 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.998695227695063
-693 0.862532537873117 5 6 "GO:0008762" "UDP-N-acetylmuramate dehydrogenase activity" 0.998695227695063
610 0.168301709472085 2 6 "GO:0008898" "S-adenosylmethionine-homocysteine S-methyltransferase activity" 0.905604877911014
100 0.359839262608938 2 31 "GO:0009055" "electron transfer activity" 0.990414732323648
-755 0.915042193407508 4 8 "GO:0009982" "pseudouridine synthase activity" 0.998695227695063
318 0.22238671952815 2 14 "GO:0010181" "FMN binding" 0.962527863310469
2 0.498034408220348 3 12 "GO:0015035;GO:0015036" "disulfide oxidoreductase activity" 0.998695227695063
