"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 8 "GO:0000049" "tRNA binding" 1
0 1 3 6 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.999773817019415 3 1700 "GO:0000166;GO:0036094;GO:1901265" "small molecule binding" 1
0 0.932478057364794 2 43 "GO:0000287" "magnesium ion binding" 1
0 1 3 9 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 4.56481940129799e-06 2 6 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 0.000858186047444022
0 1 6 21 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 0.430427131586545 3 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.229455128960549 2 1782 "GO:0003676" "nucleic acid binding" 1
0 0.01929907304421 2 631 "GO:0003677" "DNA binding" 0.659677405874814
0 0.344064134323506 2 20 "GO:0003678" "DNA helicase activity" 1
0 0.568455769518063 2 31 "GO:0003682" "chromatin binding" 1
0 1 2 15 "GO:0003684" "damaged DNA binding" 1
0 1 4 16 "GO:0003690" "double-stranded DNA binding" 1
0 0.430427131586545 4 9 "GO:0003697" "single-stranded DNA binding" 1
0 0.156384443152615 2 259 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 0.0131064545334983 2 33 "GO:0003707" "steroid hormone receptor activity" 0.492802690459536
0 0.104166007460176 2 19 "GO:0003712" "transcription coregulator activity" 1
0 0.161994127562918 2 12 "GO:0003713" "transcription coactivator activity" 1
0 0.415500091003769 2 455 "GO:0003723" "RNA binding" 1
0 1 4 6 "GO:0003729" "mRNA binding" 1
0 0.999741193056937 2 131 "GO:0003735" "structural constituent of ribosome" 1
0 0.837338103113014 5 29 "GO:0003743" "translation initiation factor activity" 1
0 0.393648024395627 5 8 "GO:0003746" "translation elongation factor activity" 1
0 1 2 6 "GO:0003747;GO:0008079" "translation release factor activity" 1
0 0.117304895183325 3 20 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 1
0 0.000122437574042021 2 185 "GO:0003777;GO:0003774" "motor activity" 0.0153455092799333
0 0.82055928473958 2 72 "GO:0003779" "actin binding" 1
0 1 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 -1 7 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 1
0 0.393648024395627 5 8 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 0.815593229044566 3 27 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 0.354499296869179 5 7 "GO:0003896" "DNA primase activity" 1
0 2.88697465281596e-06 3 62 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.000858186047444022
0 1 3 7 "GO:0003913" "DNA photolyase activity" 1
0 0.464979764089277 2 10 "GO:0003916" "DNA topoisomerase activity" 1
0 1 2 6 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 1
0 0.312828620872014 2 6 "GO:0003918" "DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity" 1
0 0.933206600822407 3 118 "GO:0003924" "GTPase activity" 1
0 0.527935556574744 3 12 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 2 9 "GO:0003951;GO:0004143" "NAD+ kinase activity" 1
0 0.0845774971409991 3 252 "GO:0003964;GO:0034061" "DNA polymerase activity" 1
0 1 3 11 "GO:0003993" "acid phosphatase activity" 1
0 1 2 20 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 0.268473898071933 3 5 "GO:0004047" "aminomethyltransferase activity" 1
0 1 2 5 "GO:0004075" "biotin carboxylase activity" 1
0 1 3 6 "GO:0004104" "cholinesterase activity" 1
0 0.654843346515887 2 17 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 0.140373030077789 3 11 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 1
0 0.69469667587992 2 256 "GO:0004175" "endopeptidase activity" 1
0 1 4 7 "GO:0004176" "ATP-dependent peptidase activity" 1
0 1 3 12 "GO:0004177" "aminopeptidase activity" 1
0 0.366489580715544 2 21 "GO:0004180" "carboxypeptidase activity" 1
0 1 4 14 "GO:0004181" "metallocarboxypeptidase activity" 1
0 0.533947887318812 4 46 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 1
0 1 3 26 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 1 2 9 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 1
0 0.353049124172038 2 95 "GO:0004222" "metalloendopeptidase activity" 1
0 0.433262515247073 3 87 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 1
0 0.713989377655456 4 20 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 1
0 1 5 5 "GO:0004308;GO:0016997" "alpha-sialidase activity" 1
0 1 2 6 "GO:0004326" "tetrahydrofolylpolyglutamate synthase activity" 1
0 0.393648024395627 5 8 "GO:0004356;GO:0016211;GO:0016880" "ammonia ligase activity" 1
0 1 2 5 "GO:0004383" "guanylate cyclase activity" 1
0 0.552348288554971 8 132 "GO:0004386" "helicase activity" 1
0 0.393648024395627 2 8 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 1
0 0.268473898071933 4 5 "GO:0004448" "isocitrate dehydrogenase activity" 1
0 1 2 31 "GO:0004497" "monooxygenase activity" 1
0 1 5 5 "GO:0004514" "nicotinate-nucleotide diphosphorylase (carboxylating) activity" 1
0 0.91286464805905 2 89 "GO:0004518" "nuclease activity" 1
0 0.944084809059179 3 46 "GO:0004519" "endonuclease activity" 1
0 1 2 19 "GO:0004521" "endoribonuclease activity" 1
0 1 2 6 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 1
0 0.493296031238155 5 27 "GO:0004527" "exonuclease activity" 1
0 0.298522715362191 3 18 "GO:0004536" "deoxyribonuclease activity" 1
0 1 3 27 "GO:0004540" "ribonuclease activity" 1
0 1 2 6 "GO:0004549" "tRNA-specific ribonuclease activity" 1
0 1 2 7 "GO:0004550" "nucleoside diphosphate kinase activity" 1
0 0.708027279741305 2 97 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.695493115488858 2 19 "GO:0004559;GO:0015923" "mannosidase activity" 1
0 0.497440437490425 3 11 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 1
0 1 4 7 "GO:0004576" "oligosaccharyl transferase activity" 1
0 0.268473898071933 4 5 "GO:0004591" "oxoglutarate dehydrogenase (succinyl-transferring) activity" 1
0 1 2 10 "GO:0004601" "peroxidase activity" 1
0 0.175145919086593 5 24 "GO:0004620;GO:0016298" "lipase activity" 1
0 0.354499296869179 2 7 "GO:0004623" "phospholipase A2 activity" 1
0 1 4 5 "GO:0004645" "1,4-alpha-oligoglucan phosphorylase activity" 1
0 0.393648024395627 2 8 "GO:0004659" "prenyltransferase activity" 1
0 0.972041668417348 3 455 "GO:0004672;GO:0016301;GO:0016773" "phosphotransferase activity, alcohol group as acceptor" 1
0 0.997629040638066 2 191 "GO:0004674" "protein serine/threonine kinase activity" 1
0 1 3 5 "GO:0004675" "transmembrane receptor protein serine/threonine kinase activity" 1
0 1 -1 6 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 1
0 1 3 5 "GO:0004707" "MAP kinase activity" 1
0 0.95652305522666 3 50 "GO:0004713" "protein tyrosine kinase activity" 1
0 1 5 10 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 1
0 1 4 8 "GO:0004722" "protein serine/threonine phosphatase activity" 1
0 0.930292935341827 5 94 "GO:0004725;GO:0004721" "phosphoprotein phosphatase activity" 1
0 0.64389313662257 3 54 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 1
0 1 3 5 "GO:0004813" "alanine-tRNA ligase activity" 1
