"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 8 "GO:0000049" "tRNA binding" 1
0 1 7 6 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 1
0 1 2 43 "GO:0000287" "magnesium ion binding" 1
0 0.319364806581959 4 9 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 1 2 6 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 1
0 1 3 21 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 2 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.0497605446207125 4 631 "GO:0003677" "DNA binding" 0.721452742608236
0 0.202920940020082 3 20 "GO:0003678" "DNA helicase activity" 1
0 0.734796990066481 2 31 "GO:0003682" "chromatin binding" 1
0 1 2 15 "GO:0003684" "damaged DNA binding" 1
0 0.495558730608711 2 16 "GO:0003690" "double-stranded DNA binding" 1
0 1 2 9 "GO:0003697" "single-stranded DNA binding" 1
0 7.42903638174607e-05 2 259 "GO:0003700;GO:0140110" "transcription regulator activity" 0.0198008429757009
0 0.756610280521133 2 33 "GO:0003707" "steroid hormone receptor activity" 1
0 0.556379057484337 2 19 "GO:0003712" "transcription coregulator activity" 1
0 0.40135198924536 2 12 "GO:0003713" "transcription coactivator activity" 1
0 0.999048652044961 2 455 "GO:0003723" "RNA binding" 1
0 1 2 6 "GO:0003729" "mRNA binding" 1
0 0.00109334096305604 2 131 "GO:0003735" "structural constituent of ribosome" 0.101134039082684
0 1 4 29 "GO:0003743" "translation initiation factor activity" 1
0 1 4 8 "GO:0003746" "translation elongation factor activity" 1
0 1 5 6 "GO:0003747;GO:0008079" "translation release factor activity" 1
0 0.574982116298245 3 20 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 0.513416950337873 5 185 "GO:0003777;GO:0003774" "motor activity" 1
0 0.00290648141051657 3 72 "GO:0003779" "actin binding" 0.179233020315188
0 1 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 -1 7 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 1
0 1 2 8 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 0.685153476910969 3 27 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 1 2 7 "GO:0003896" "DNA primase activity" 1
0 0.739169022102058 4 62 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 1
0 1 2 7 "GO:0003913" "DNA photolyase activity" 1
