"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 7 "GO:0000049" "tRNA binding" 1
0 0.391478732140366 6 6 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.553324416280545 3 36 "GO:0000287" "magnesium ion binding" 1
0 0.128948545678777 2 16 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 0.565144860690936
0 0.749884798662533 3 33 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 0.525361338230894 2 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.999699080991842 3 1997 "GO:0003676" "nucleic acid binding" 1
0 0.0517752981274061 2 648 "GO:0003677" "DNA binding" 0.322597193425013
0 1 7 20 "GO:0003678" "DNA helicase activity" 1
0 0.274396400160784 2 23 "GO:0003682" "chromatin binding" 0.945735165602702
0 0.00862645363457718 2 17 "GO:0003684" "damaged DNA binding" 0.0956997200085906
0 0.162558133371763 5 27 "GO:0003690" "double-stranded DNA binding" 0.64840603760647
0 1 2 6 "GO:0003697" "single-stranded DNA binding" 1
0 0.000705817169706672 2 260 "GO:0003700;GO:0140110" "transcription regulator activity" 0.0178975068032763
0 0.00113300113632023 2 28 "GO:0003707" "steroid hormone receptor activity" 0.0268143602262454
0 0.21570486910808 2 11 "GO:0003712" "transcription coregulator activity" 0.781379882993555
0 0.10128426630935 2 7 "GO:0003713" "transcription coactivator activity" 0.499387701941934
0 0.999920554640725 4 605 "GO:0003723" "RNA binding" 1
0 0.3389426226809 2 5 "GO:0003729" "mRNA binding" 0.994418438443963
0 0.997630470656481 2 100 "GO:0003735" "structural constituent of ribosome" 1
0 0.809280642257886 3 20 "GO:0003743" "translation initiation factor activity" 1
0 1 2 7 "GO:0003746" "translation elongation factor activity" 1
0 0.686358328903618 3 14 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 1
0 0.0265737755021484 4 169 "GO:0003777;GO:0003774" "motor activity" 0.216519477881541
0 0.381440225866906 4 51 "GO:0003779" "actin binding" 1
0 1 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 -1 10 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 1
0 1 3 7 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 0.356924469850933 2 38 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 1 2 5 "GO:0003896" "DNA primase activity" 1
0 0.963751700745146 3 40 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 1
0 1 2 5 "GO:0003913" "DNA photolyase activity" 1
0 0.185737749246288 3 10 "GO:0003916" "DNA topoisomerase activity" 0.71670544546122
0 0.391478732140366 2 6 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 1
0 0.391478732140366 7 6 "GO:0003918" "DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity" 1
0 0.589860208391493 3 130 "GO:0003924" "GTPase activity" 1
0 0.597836534907961 5 11 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
