"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 7 "GO:0000049" "tRNA binding" 1
0 1 3 6 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.00221873137460037 2 1755 "GO:0000166;GO:0036094;GO:1901265;GO:0043168" "small molecule binding" 0.0787649637983131
0 0.166163812904068 3 36 "GO:0000287" "magnesium ion binding" 1
0 1 4 16 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 1 4 33 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 2 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.999913645804479 2 1997 "GO:0003676" "nucleic acid binding" 1
0 0.399783852823406 4 648 "GO:0003677" "DNA binding" 1
0 1 7 20 "GO:0003678" "DNA helicase activity" 1
0 1 2 23 "GO:0003682" "chromatin binding" 1
0 0.141833076267139 2 17 "GO:0003684" "damaged DNA binding" 1
0 1 2 27 "GO:0003690" "double-stranded DNA binding" 1
0 1 2 6 "GO:0003697" "single-stranded DNA binding" 1
0 0.0870410761130145 2 260 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 0.0952426245923278 2 28 "GO:0003707" "steroid hormone receptor activity" 1
0 1 2 11 "GO:0003712" "transcription coregulator activity" 1
0 1 3 7 "GO:0003713" "transcription coactivator activity" 1
0 0.999999952111954 3 605 "GO:0003723" "RNA binding" 1
0 1 2 5 "GO:0003729" "mRNA binding" 1
0 0.908099841037594 2 100 "GO:0003735" "structural constituent of ribosome" 1
0 1 5 20 "GO:0003743" "translation initiation factor activity" 1
0 1 2 7 "GO:0003746" "translation elongation factor activity" 1
0 1 3 14 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 1
0 0.000109607967622498 2 169 "GO:0003777;GO:0003774" "motor activity" 0.0129702761686623
0 0.00352677099154616 3 51 "GO:0003779" "actin binding" 0.104333641833241
0 0.181332778889571 3 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 -1 10 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 1
