"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2 0.519311066693927 2 567 "GO:0000166;GO:0036094;GO:1901265;GO:0043168" "small molecule binding" 0.970779829395876
-306 0.884618235991341 5 13 "GO:0000287" "magnesium ion binding" 0.989044434104156
-656 0.970266785457382 3 7 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 0.989418999549319
39 0.193655138078889 2 496 "GO:0003676" "nucleic acid binding" 0.940246423102006
-1 0.505105517658183 3 212 "GO:0003677" "DNA binding" 0.970779829395876
400 0.0964366264970374 2 9 "GO:0003682" "chromatin binding" 0.940246423102006
-382 0.863931848598246 4 7 "GO:0003684" "damaged DNA binding" 0.989044434104156
-580 0.970572923367427 5 9 "GO:0003690" "double-stranded DNA binding" 0.989418999549319
-60 0.753301162277675 2 115 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.989044434104156
345 0.0734654893462041 2 15 "GO:0003707" "steroid hormone receptor activity" 0.940246423102006
-1 0.503899233445127 3 111 "GO:0003723" "RNA binding" 0.970779829395876
-48 0.599217037682344 2 23 "GO:0003735" "structural constituent of ribosome" 0.970779829395876
-190 0.762489093738391 3 12 "GO:0003743;GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.989044434104156
217 0.252460945814256 2 8 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.940246423102006
133 0.16767021584119 2 45 "GO:0003774" "motor activity" 0.940246423102006
285 0.051084130003155 3 28 "GO:0003777" "microtubule motor activity" 0.940246423102006
-17 0.53547643671234 3 24 "GO:0003779" "actin binding" 0.970779829395876
390 0.171957209016574 -1 5 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.940246423102006
-42 0.551398027744757 2 8 "GO:0003887" "DNA-directed DNA polymerase activity" 0.970779829395876
332 0.153800506745968 4 8 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.940246423102006
33 0.412365152661181 3 38 "GO:0003924" "GTPase activity" 0.970779829395876
469 0.127095208738619 4 5 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.940246423102006
-53 0.551713654710834 3 5 "GO:0003951" "NAD+ kinase activity" 0.970779829395876
-100 0.604724749583116 2 6 "GO:0003953;GO:0016799" "hydrolase activity, hydrolyzing N-glycosyl compounds" 0.970779829395876
-21 0.570122676173819 2 59 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.970779829395876
66 0.414756385175797 4 9 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.970779829395876
139 0.367909508415042 2 5 "GO:0004089" "carbonate dehydratase activity" 0.970779829395876
24 0.468453151544268 3 9 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.970779829395876
-21 0.600608891633533 4 128 "GO:0004175" "endopeptidase activity" 0.970779829395876
-30 0.529302292242316 4 5 "GO:0004176" "ATP-dependent peptidase activity" 0.970779829395876
206 0.276826071997933 5 7 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.940246423102006
-373 0.935183672230684 5 14 "GO:0004197" "cysteine-type endopeptidase activity" 0.989044434104156
161 0.114012387117473 2 48 "GO:0004222" "metalloendopeptidase activity" 0.940246423102006
-152 0.901383573959708 3 62 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.989044434104156
-57 0.577373462593195 3 10 "GO:0004383;GO:0009975" "guanylate cyclase activity" 0.970779829395876
83 0.291935432052261 5 37 "GO:0004386" "helicase activity" 0.940246423102006
614 0.0511967822058676 4 6 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 0.940246423102006
-204 0.870461270430008 2 26 "GO:0004497" "monooxygenase activity" 0.989044434104156
59 0.423268170531585 2 9 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.970779829395876
104 0.276340516797795 2 28 "GO:0004518" "nuclease activity" 0.940246423102006
-20 0.536359174050888 2 17 "GO:0004519" "endonuclease activity" 0.970779829395876
90 0.391308738010463 2 8 "GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 0.970779829395876
175 0.335762278969142 4 5 "GO:0004521" "endoribonuclease activity" 0.970779829395876
329 0.118251272034516 2 11 "GO:0004527" "exonuclease activity" 0.940246423102006
222 0.262144021787336 2 7 "GO:0004540" "ribonuclease activity" 0.940246423102006
-173 0.677346683142996 3 6 "GO:0004559;GO:0015923" "mannosidase activity" 0.989044434104156
43 0.438121428354765 3 11 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.970779829395876
221 0.184632407598252 3 14 "GO:0004620;GO:0016298" "lipase activity" 0.940246423102006
-81 0.867023040385123 3 168 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.989044434104156
-9 0.531394990920497 2 69 "GO:0004674" "protein serine/threonine kinase activity" 0.970779829395876
-343 0.968437621283446 2 25 "GO:0004713" "protein tyrosine kinase activity" 0.989418999549319
-225 0.925056452770941 3 35 "GO:0004725;GO:0004721" "phosphoprotein phosphatase activity" 0.989044434104156
186 0.202488815023602 3 17 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 0.940246423102006
-288 0.940614260426238 2 25 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.989044434104156
-176 0.820417542117197 2 23 "GO:0004857;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "enzyme inhibitor activity" 0.989044434104156
-339 0.851523183058901 6 8 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.989044434104156
-317 0.946287687306831 -1 22 "GO:0004871" "obsolete signal transducer activity" 0.989044434104156
52 0.191521243011801 3 258 "GO:0004930;GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 0.940246423102006
597 0.0158147952210237 4 11 "GO:0004965;GO:0016917" "GABA receptor activity" 0.940246423102006
-12 0.564932505723527 2 155 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.970779829395876
306 0.173663388991289 4 8 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.940246423102006
-204 0.897519947822803 3 33 "GO:0005102" "signaling receptor binding" 0.989044434104156
-337 0.833910975685103 5 7 "GO:0005125" "cytokine activity" 0.989044434104156
-254 0.767738095557755 2 7 "GO:0005179" "hormone activity" 0.989044434104156
139 0.148441354506634 1 48 "GO:0005198" "structural molecule activity" 0.940246423102006
300 0.119853312393156 2 13 "GO:0005200" "structural constituent of cytoskeleton" 0.940246423102006
262 0.24297264803715 2 6 "GO:0005201" "extracellular matrix structural constituent" 0.940246423102006
-72 0.788128248507614 3 109 "GO:0005216;GO:0015267;GO:0022803" "channel activity" 0.989044434104156
-61 0.663364267942066 4 41 "GO:0005230;GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.989044434104156
-505 0.975868936662292 5 13 "GO:0005244;GO:0022832" "voltage-gated channel activity" 0.990011964729862
-524 0.898689050367634 4 5 "GO:0005249" "voltage-gated potassium channel activity" 0.989044434104156
-129 0.83101364136037 3 47 "GO:0005261" "cation channel activity" 0.989044434104156
-43 0.558819727757226 2 10 "GO:0005262" "calcium channel activity" 0.970779829395876
-618 0.993988164009025 3 14 "GO:0005267;GO:0015079" "potassium ion transmembrane transporter activity" 0.993988164009025
22 0.457938209575011 2 19 "GO:0005272" "sodium channel activity" 0.970779829395876
479 0.0593016155497602 2 9 "GO:0005319" "lipid transporter activity" 0.940246423102006
123 0.216267270437647 3 35 "GO:0005328;GO:0005326;GO:0015370;GO:0015294;GO:0015293" "solute:cation symporter activity" 0.940246423102006
-362 0.810505101239019 3 5 "GO:0005432;GO:0015368" "calcium:cation antiporter activity" 0.989044434104156
-590 0.924186441369942 2 5 "GO:0005452" "inorganic anion exchanger activity" 0.989044434104156
-475 0.962866519249161 6 12 "GO:0005507" "copper ion binding" 0.989418999549319
-22 0.643706634894244 3 268 "GO:0005509" "calcium ion binding" 0.979553574839067
48 0.326517622770838 4 76 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "nucleoside binding" 0.970779829395876
-79 0.629389967737123 2 15 "GO:0005543" "phospholipid binding" 0.970779829395876
277 0.0846146637971197 5 21 "GO:0008017;GO:0015631" "microtubule binding" 0.940246423102006
161 0.34791710771131 2 5 "GO:0008047" "enzyme activator activity" 0.970779829395876
-104 0.608827390105533 5 6 "GO:0008080;GO:0016407;GO:0016410" "N-acetyltransferase activity" 0.970779829395876
203 0.168357396121192 2 19 "GO:0008081" "phosphoric diester hydrolase activity" 0.940246423102006
-220 0.763471167385351 2 9 "GO:0008083" "growth factor activity" 0.989044434104156
94 0.245066198769362 2 46 "GO:0008092" "cytoskeletal protein binding" 0.940246423102006
174 0.308938110447802 5 7 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 0.940246423102006
181 0.102182380270856 4 42 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.940246423102006
58 0.342079671534162 4 42 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.970779829395876
94 0.393100833406424 5 7 "GO:0008170" "N-methyltransferase activity" 0.970779829395876
527 0.100279690557134 2 5 "GO:0008172" "S-methyltransferase activity" 0.940246423102006
404 0.163409933239223 3 5 "GO:0008173" "RNA methyltransferase activity" 0.940246423102006
239 0.262719044766616 2 6 "GO:0008194" "UDP-glycosyltransferase activity" 0.940246423102006
8 0.451675139957336 2 187 "GO:0008233" "peptidase activity" 0.970779829395876
-187 0.849156319525981 4 26 "GO:0008234" "cysteine-type peptidase activity" 0.989044434104156
42 0.422685018636529 2 18 "GO:0008235;GO:0004180;GO:0004181" "metalloexopeptidase activity" 0.970779829395876
89 0.198513771648558 3 78 "GO:0008237" "metallopeptidase activity" 0.940246423102006
134 0.247324764637659 4 22 "GO:0008238" "exopeptidase activity" 0.940246423102006
21 0.342158049735612 6 365 "GO:0008270;GO:0046914" "transition metal ion binding" 0.970779829395876
-215 0.878397749401007 2 25 "GO:0008289" "lipid binding" 0.989044434104156
-482 0.879474336827444 3 5 "GO:0008308;GO:0005253" "voltage-gated anion channel activity" 0.989044434104156
161 0.187554658003042 2 26 "GO:0008373" "sialyltransferase activity" 0.940246423102006
258 0.246043553437772 3 6 "GO:0008408" "3'-5' exonuclease activity" 0.940246423102006
348 0.177417576432158 3 6 "GO:0008417" "fucosyltransferase activity" 0.940246423102006
-444 0.989534853191948 2 23 "GO:0008484" "sulfuric ester hydrolase activity" 0.993988164009025
372 0.183228845832185 6 5 "GO:0008508;GO:0015125;GO:0140161;GO:0008028;GO:1901618;GO:0005343;GO:0015355" "bile acid:sodium symporter activity" 0.940246423102006
43 0.382279920358805 2 42 "GO:0008509" "anion transmembrane transporter activity" 0.970779829395876
48 0.45368363581941 3 5 "GO:0008519" "ammonium transmembrane transporter activity" 0.970779829395876
-290 0.827346905539046 2 9 "GO:0008528;GO:0001653" "G protein-coupled peptide receptor activity" 0.989044434104156
