"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
49 0.208602557168809 2 212 "GO:0003677" "DNA binding" 0.928328543252665
56 0.245245072810425 2 115 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.928328543252665
46 0.288717033341652 3 111 "GO:0003723" "RNA binding" 0.928328543252665
52 0.340727585331309 3 45 "GO:0003774" "motor activity" 0.928328543252665
-21 0.552156320587131 2 28 "GO:0003777" "microtubule motor activity" 0.928328543252665
-38 0.608922888518535 3 38 "GO:0003924" "GTPase activity" 0.928328543252665
27 0.405772313373036 2 59 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.928328543252665
-62 0.789113432746924 2 128 "GO:0004175" "endopeptidase activity" 0.928328543252665
148 0.116025751268086 3 48 "GO:0004222" "metalloendopeptidase activity" 0.928328543252665
-40 0.642675388162538 5 62 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.928328543252665
-29 0.582619131289003 2 37 "GO:0004386" "helicase activity" 0.928328543252665
-57 0.632757254632813 3 26 "GO:0004497" "monooxygenase activity" 0.928328543252665
-126 0.782588924897595 3 28 "GO:0004518" "nuclease activity" 0.928328543252665
29 0.331781935482167 2 168 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.928328543252665
-2 0.506979926848211 2 69 "GO:0004674" "protein serine/threonine kinase activity" 0.928328543252665
152 0.186343002725933 3 25 "GO:0004713" "protein tyrosine kinase activity" 0.928328543252665
5 0.487463474853096 2 35 "GO:0004725;GO:0004721" "phosphoprotein phosphatase activity" 0.928328543252665
-63 0.643449647142452 4 25 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.928328543252665
25 0.326876222054219 2 258 "GO:0004930;GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 0.928328543252665
-59 0.800468998142012 2 155 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.928328543252665
137 0.178192982603219 2 33 "GO:0005102" "signaling receptor binding" 0.928328543252665
-48 0.651551191576085 1 48 "GO:0005198" "structural molecule activity" 0.928328543252665
20 0.40412256351825 4 109 "GO:0005216;GO:0015267;GO:0022803" "channel activity" 0.928328543252665
82 0.269007526521548 6 41 "GO:0005230;GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.928328543252665
-38 0.618307384006852 2 47 "GO:0005261" "cation channel activity" 0.928328543252665
-87 0.72673485294809 5 35 "GO:0005328;GO:0005326;GO:0015370;GO:0015294;GO:0015293" "symporter activity" 0.928328543252665
74 0.0858496096961458 5 268 "GO:0005509" "calcium ion binding" 0.890731201789652
-60 0.728982893220477 4 76 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "nucleoside binding" 0.928328543252665
6 0.480709070810145 2 46 "GO:0008092" "cytoskeletal protein binding" 0.928328543252665
224 0.0451503719145994 4 42 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.890731201789652
-45 0.632054224576323 2 42 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.928328543252665
-59 0.821695046691747 3 187 "GO:0008233" "peptidase activity" 0.928328543252665
-211 0.895842977217793 4 26 "GO:0008234" "cysteine-type peptidase activity" 0.964967432019981
61 0.266279790236181 2 78 "GO:0008237" "metallopeptidase activity" 0.928328543252665
70 0.070627193387736 6 365 "GO:0008270;GO:0046914" "transition metal ion binding" 0.890731201789652
236 0.0829985086134172 2 25 "GO:0008289" "lipid binding" 0.890731201789652
117 0.243119643821153 2 26 "GO:0008373" "sialyltransferase activity" 0.928328543252665
40 0.382168368623764 4 42 "GO:0008509" "anion transmembrane transporter activity" 0.928328543252665
-102 0.900430510618383 5 120 "GO:0015077;GO:0022890;GO:0008324;GO:0046873" "cation transmembrane transporter activity" 0.964967432019981
-63 0.714543151139081 2 60 "GO:0015081" "sodium ion transmembrane transporter activity" 0.928328543252665
-37 0.731455348646765 2 212 "GO:0015318;GO:0015075" "ion transmembrane transporter activity" 0.928328543252665
-2 0.505526608553929 4 39 "GO:0015399;GO:0042626" "primary active transmembrane transporter activity" 0.928328543252665
-32 0.713644982961129 2 253 "GO:0016491" "oxidoreductase activity" 0.928328543252665
32 0.374059627960697 3 77 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.928328543252665
59 0.345250665744795 3 33 "GO:0016746" "transferase activity, transferring acyl groups" 0.928328543252665
-20 0.589123889517907 3 90 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.928328543252665
-234 0.958350569986483 2 40 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.971848465338405
48 0.198208794000333 2 246 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.928328543252665
-68 0.823891757674142 2 142 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.928328543252665
4 0.488219102175607 2 45 "GO:0016791" "phosphatase activity" 0.928328543252665
257 0.0317946706353644 2 38 "GO:0016798;GO:0004553" "hydrolase activity, acting on glycosyl bonds" 0.890731201789652
