"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 9 "GO:0000049" "tRNA binding" 1
0 1 6 5 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 1 2 42 "GO:0000287" "magnesium ion binding" 1
0 1 3 13 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 1 2 5 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 5 8 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 1
0 1 6 17 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 3 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 1 2 633 "GO:0003677" "DNA binding" 1
0 1 2 19 "GO:0003678" "DNA helicase activity" 1
0 1 2 32 "GO:0003682" "chromatin binding" 1
0 1 3 16 "GO:0003684" "damaged DNA binding" 1
0 1 4 24 "GO:0003690" "double-stranded DNA binding" 1
0 1 5 10 "GO:0003697" "single-stranded DNA binding" 1
0 1 2 264 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 1 3 38 "GO:0003707" "steroid hormone receptor activity" 1
0 1 2 20 "GO:0003712" "transcription coregulator activity" 1
0 1 3 13 "GO:0003713" "transcription coactivator activity" 1
0 1 3 484 "GO:0003723" "RNA binding" 1
0 1 2 6 "GO:0003729" "mRNA binding" 1
0 1 2 124 "GO:0003735" "structural constituent of ribosome" 1
0 1 5 27 "GO:0003743" "translation initiation factor activity" 1
0 1 3 8 "GO:0003746" "translation elongation factor activity" 1
0 1 3 6 "GO:0003747;GO:0008079" "translation termination factor activity" 1
0 1 3 19 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 8 186 "GO:0003777;GO:0003774" "motor activity" 1
0 1 4 72 "GO:0003779" "actin binding" 1
0 1 3 6 "GO:0003810;GO:0016755" "transferase activity, transferring amino-acyl groups" 1
0 1 -1 8 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 1
0 1 2 6 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 1
0 1 3 5 "GO:0003854;GO:0033764;GO:0016229" "steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 1
0 1 5 7 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 2 30 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 1 3 5 "GO:0003896" "DNA primase activity" 1
0 1 4 61 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 1
0 1 3 8 "GO:0003913" "DNA photolyase activity" 1
0 1 2 10 "GO:0003916" "DNA topoisomerase activity" 1
0 1 4 6 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 1
0 1 4 5 "GO:0003918" "DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity" 1
0 1 2 128 "GO:0003924" "GTPase activity" 1
0 1 5 12 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 2 9 "GO:0003951;GO:0004143" "NAD+ kinase activity" 1
0 1 2 6 "GO:0003953" "NAD+ nucleosidase activity" 1
0 1 2 291 "GO:0003964;GO:0034061" "DNA polymerase activity" 1
0 1 2 12 "GO:0003993" "acid phosphatase activity" 1
0 1 2 21 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 1 3 6 "GO:0004000" "adenosine deaminase activity" 1
0 1 3 5 "GO:0004047" "aminomethyltransferase activity" 1
0 1 2 5 "GO:0004064" "arylesterase activity" 1
0 1 2 5 "GO:0004075" "biotin carboxylase activity" 1
0 1 4 6 "GO:0004089" "carbonate dehydratase activity" 1
0 1 5 12 "GO:0004104" "cholinesterase activity" 1
0 1 3 18 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 1 4 10 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 1
0 1 2 361 "GO:0004175" "endopeptidase activity" 1
