GO:0055080;GO:0098771;GO:0050801;GO:0048878	GO:1901564;GO:0019538	GO:0009165;GO:1901293;GO:0090407	GO:0006915;GO:0012501;GO:0008219	GO:0007186	GO:0006813	GO:0006820;GO:0071702;GO:0071705	GO:0015698	GO:0007018;GO:0006928	GO:0006644	GO:0048193;GO:0006888	GO:1901566	GO:0034660;GO:0006399	GO:0006400	GO:0006165;GO:0009132;GO:0046939	GO:0006351;GO:0097659;GO:0032774	GO:0006996	GO:0016072	GO:0007017	GO:0006470;GO:0016311	GO:0006790	GO:1901135	GO:0044264;GO:0005976	GO:0042592;GO:0065008	GO:0044281	GO:0007160;GO:0031589	GO:0000398;GO:0000377;GO:0000375	GO:0005975	GO:0006310	GO:1901565	GO:0032787;GO:0006631	GO:0044249;GO:1901576;GO:0009058	GO:0065009;GO:0050790	GO:0006633;GO:0072330	GO:0009396;GO:0006760;GO:0042559;GO:0042558	GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:0019222;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090	GO:0006643	GO:0006281;GO:0006974;GO:0033554;GO:0051716	GO:0009451	GO:0016070	GO:0046578;GO:0035023	GO:0048523	GO:0015672	GO:0006541	GO:0045454;GO:0019725	GO:0045859;GO:0043549;GO:0051338	GO:0006836	GO:0051259;GO:0051260	GO:0038032;GO:0023021;GO:0045744;GO:0009968;GO:0008277;GO:0010648;GO:0023057;GO:0048585	GO:0007218	GO:0040011	GO:0055114	GO:0032501;GO:0032502;GO:0048856;GO:0007275	GO:0034470	GO:0044260	GO:0006260	GO:0006952	GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174	GO:0007010	GO:0019752;GO:0043436;GO:0006082	GO:0019637	GO:0043401;GO:0009755	GO:0040007	GO:1901605	GO:0007156;GO:0098742;GO:0098609	GO:0009067;GO:0009066	GO:0009084	GO:0015074	GO:0006812;GO:0030001	GO:0015696	GO:0006629	GO:0009206;GO:0009145;GO:0009201;GO:0009205;GO:0009142;GO:0009144;GO:0009199;GO:0009141	GO:0006468;GO:0016310	GO:0030203	GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361	GO:0016042	GO:0006913;GO:0051169	GO:0008654	GO:0006796;GO:0006793	GO:0044272	GO:0051056;GO:1902531	GO:0033692;GO:0000271;GO:0034637	GO:0007166	GO:0006357	GO:0006022	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656	GO:0009057;GO:0044265	GO:0006749	GO:0071900;GO:0000079;GO:1904029	GO:0018130;GO:0019438;GO:1901362;GO:0034654	GO:0006954	GO:0009966;GO:0010646;GO:0023051;GO:0048583	GO:0006066;GO:1901615	GO:0031324	GO:0022402	GO:0006520	GO:0009063;GO:1901606	GO:0016071	GO:0016567;GO:0032446;GO:0070647	GO:0006418;GO:0043039;GO:0043038	GO:0046394;GO:0016053	GO:0006811	GO:0046034	GO:0006950;GO:0050896	GO:0032259	GO:0019318;GO:0005996	GO:0009152;GO:0006164;GO:0009150;GO:0009260;GO:0006163;GO:0072522;GO:0009259;GO:0046390;GO:0072521;GO:0019693	GO:0098662;GO:0098655;GO:0098660	GO:0001522	GO:0044248	GO:0006821	GO:0007165	GO:0051258	GO:0006816;GO:0070838;GO:0072511	GO:0070588	GO:0048519	GO:0043043;GO:0043604;GO:0006412	GO:0048518;GO:0048522	GO:0002376	GO:0034404	GO:0009117;GO:0006753;GO:0055086	GO:0006289	GO:0006730	GO:0009607	GO:0006955	GO:0010629;GO:0010605;GO:0009892	GO:0006457	GO:0006518;GO:0043603	GO:0070925	GO:0019751	GO:0006278;GO:0071897	GO:0007049	GO:0044271	GO:0032268;GO:0051246	GO:0006184	GO:0006754	GO:0006397	GO:0006886;GO:0046907;GO:0051641;GO:0051649	GO:0006139;GO:0006725;GO:0034641;GO:0046483;GO:1901360	GO:0072528;GO:0072527	GO:0044283	GO:0016043;GO:0071840	GO:0044262	GO:0042398	GO:0030036;GO:0030029	GO:0006396	GO:0046488;GO:0006650;GO:0046486	GO:0071805	GO:0051726	GO:0006814	GO:0007167	GO:1901136	GO:0030258	GO:0006325	GO:0090304	GO:0055085	GO:0051603;GO:0006511;GO:0019941;GO:0043632	GO:0008033	GO:0006464;GO:0036211;GO:0044267;GO:0043412	GO:0046395;GO:0016054;GO:0044282	GO:0006334;GO:0034728;GO:0065004;GO:0071824	GO:0008380	GO:1903509	GO:0065003;GO:0022607;GO:0043933	GO:0042455;GO:0009119;GO:0009163;GO:0009116;GO:1901659;GO:1901657	GO:0006979	GO:0000956	GO:0090150;GO:0034613;GO:0070727;GO:0072657	GO:0035556	GO:1901137	GO:0034622	GO:0009187;GO:0009190	GO:0006575	GO:0006869	GO:0007264	GO:1901575;GO:0009056	GO:0042981;GO:0043067;GO:0010941	GO:0006486;GO:0043413;GO:0070085	GO:0006810;GO:0051234;GO:0051179	GO:0000096	GO:0006040	GO:0016055;GO:1905114	GO:0007155;GO:0022610	GO:0034645;GO:0009059	GO:0009064	GO:0030163	GO:0016192	GO:0006182;GO:0046068;GO:0052652	GO:0010604;GO:0031325;GO:0051173;GO:0009893	GO:0000226	GO:0009069;GO:0006544	GO:0007154	GO:0034220	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	GO:0051276	GO:0009166;GO:1901292;GO:0046434	GO:0044255	GO:0006402;GO:0006401	GO:0006091	GO:0006508	GO:0008610	GO:0006259	GO:0051128	GO:0008652;GO:1901607	GO:0016051
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0	0.209	0.100	0.988	1.000	0.992	1.000	1.000	0.786	1.000	0.000	0.438	0.800	0.000	1.000	0.974	1.000	1.000	0.147	0.125	0.170	0.857	0.963	0.390	1.000	1.000	0.889	1.000	0.000	0.769	0.584	0.818	1.000	0.000	0.966	0.200	0.929	0.917	0.772	1.000	0.875	0.907	0.000	0.941	0.875	1.000	1.000	0.875	0.982	1.000	0.942	0.960	0.929	0.347	1.000	1.000	0.909	1.000	0.247	0.422	1.000	1.000	0.000	0.917	0.000	0.000	0.950	0.942	1.000	0.914	0.000	0.020	0.000	0.867	0.909	1.000	0.400	0.138	0.000	0.960	0.833	0.939	1.000	0.000	1.000	0.270	0.000	0.833	0.636	1.000	0.944	0.889	0.800	1.000	0.000	0.000	1.000	0.000	0.000	0.304	0.969	0.125	0.941	0.833	1.000	0.000	0.840	1.000	0.423	1.000	0.938	1.000	1.000	1.000	0.909	0.000	0.750	0.786	0.545	0.312	0.833	1.000	1.000	0.800	0.909	0.923	0.000	1.000	0.800	0.941	1.000	0.526	0.846	1.000	0.000	1.000	1.000	0.648	0.000	0.436	0.951	0.909	0.000	1.000	0.971	0.667	1.000	1.000	1.000	0.333	0.000	1.000	0.727	0.877	0.981	0.000	0.889	0.043	0.273	0.889	1.000	0.500	0.976	0.000	1.000	1.000	1.000	0.802	0.074	0.962	0.294	0.000	1.000	0.973	0.420	0.778	0.000	0.985	0.000	0.200	1.000	0.945	0.737	0.000	0.000	1.000	0.000	0.600	1.000	0.000	1.000	0.909	0.986	1.000	1.000	0.844	1.000	0.600	0.000	0.824	0.949	0.857	0.000	0.929
1.000	0.209	0	1.000	1.000	1.000	1.000	1.000	1.000	0.643	1.000	0.326	1.000	1.000	0.400	1.000	1.000	1.000	1.000	1.000	1.000	0.465	1.000	0.963	0.163	1.000	1.000	0.977	1.000	0.950	1.000	0.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.884	0.833	0.941	1.000	1.000	1.000	1.000	1.000	1.000	0.977	1.000	1.000	0.837	1.000	1.000	1.000	1.000	0.953	0.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	0.884	1.000	0.884	0.000	0.791	1.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.140	1.000	1.000	0.889	1.000	1.000	0.953	0.875	1.000	1.000	1.000	0.957	0.884	0.375	1.000	1.000	1.000	0.130	0.840	1.000	0.977	1.000	0.581	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.636	0.209	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.186	1.000	1.000	0.000	1.000	1.000	0.116	0.333	0.846	1.000	0.909	0.889	1.000	1.000	0.556	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.907	1.000	1.000	0.837	0.909	1.000	1.000	0.667	1.000	0.333	1.000	1.000	1.000	0.581	0.148	1.000	0.000	0.929	1.000	1.000	0.977	1.000	1.000	0.884	1.000	1.000	1.000	1.000	1.000	0.900	1.000	1.000	0.000	1.000	1.000	0.875	1.000	0.907	1.000	1.000	1.000	0.844	1.000	1.000	1.000	0.706	1.000	1.000	0.929	0.929
1.000	0.100	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.100	1.000	1.000	1.000	1.000	1.000
1.000	0.988	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.963	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.987	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	0.875	0.000	0.400	0.985	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	1.000	0.991	1.000	1.000	1.000	0.194	1.000	1.000	1.000	1.000	1.000	1.000	0.975	1.000	0.972	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.897	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.909	1.000	0.875	0.643	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.961	1.000	0.980	1.000	0.950	1.000	1.000	0.983	0.988	1.000	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	0.990	1.000	1.000	1.000	0.992	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0.969	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.996	1.000	1.000	1.000	0.969	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.983	0.714	1.000	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.533	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.867	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.867	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.533	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.992	1.000	1.000	1.000	1.000	0	0.000	1.000	0.929	0.375	1.000	1.000	1.000	1.000	1.000	0.949	1.000	1.000	1.000	1.000	0.979	1.000	0.963	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.987	1.000	1.000	0.907	1.000	0.941	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.992	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.919	0.000	0.986	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.992	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.840	1.000	1.000	0.000	0.746	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.425	1.000	0.909	0.172	0.992	1.000	1.000	0.963	1.000	1.000	1.000	0.971	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.992	0.746	1.000	1.000	0.992	1.000	1.000	0.857	0.833	0.976	1.000	1.000	1.000	0.429	0.688	1.000	0.962	1.000	1.000	0.000	0.189	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.407	1.000	1.000	1.000	1.000	1.000	0.477	0.041	1.000	1.000	0.969	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.375	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	0.967	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000
1.000	0.786	0.643	1.000	1.000	1.000	0.929	1.000	1.000	0	1.000	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	0.786	1.000	1.000	0.929	1.000	1.000	0.929	1.000	1.000	1.000	0.643	1.000	1.000	1.000	1.000	0.400	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.786	1.000	1.000	0.636	1.000	0.000	0.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	1.000	1.000	0.929	1.000	0.909	0.889	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.375	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.857	0.857	1.000	1.000	0.929	1.000	1.000	0.714	1.000	1.000	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	1.000	1.000	0.000	1.000	1.000	1.000	0.643	1.000	1.000	1.000	0.929
