GO:0016070	GO:0009057;GO:0044265	GO:0006950;GO:0050896	GO:0034220	GO:0006520	GO:0044255	GO:0016043;GO:0071840	GO:0016192	GO:0006796;GO:0006793	GO:0019752;GO:0043436;GO:0006082	GO:0007218	GO:0007264	GO:0006486;GO:0043413;GO:0070085	GO:1901137	GO:0007166	GO:1901135	GO:0019637	GO:0006518;GO:0043043;GO:0043603;GO:0043604	GO:0006629	GO:0007155;GO:0022610	GO:0044249;GO:1901576;GO:0009058	GO:0006820;GO:0071702;GO:0071705	GO:0044271	GO:0034622	GO:0044248	GO:0006811	GO:0065003;GO:0022607;GO:0043933	GO:0009117;GO:0006753;GO:0055086	GO:0035556	GO:0006725;GO:0046483;GO:0006139	GO:0006468;GO:0016310	GO:0009165;GO:1901293;GO:0090407	GO:0015672	GO:0006886;GO:0046907;GO:0051641;GO:0051649	GO:0065008	GO:0009966;GO:0010646;GO:0023051;GO:0048583	GO:0034645;GO:0009059	GO:0006464;GO:0036211;GO:0044267;GO:0043412	GO:0006812;GO:0030001	GO:0006278;GO:0071897	GO:0006996	GO:0015074	GO:0090304	GO:0006814	GO:0006836	GO:0006470;GO:0016311	GO:0005975	GO:0055114	GO:1901605	GO:0007017	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	GO:0044283	GO:0018130;GO:0019438;GO:1901362;GO:0034654	GO:0006457	GO:0007018;GO:0006928	GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:2001141;GO:0010556;GO:0031326;GO:0019222;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090	GO:1901575;GO:0009056	GO:0098662;GO:0098655;GO:0098660	GO:1902531	GO:0034660;GO:0006399	GO:0044281	GO:0006281;GO:0006974;GO:0033554;GO:0051716	GO:0006184	GO:0007186	GO:1901566	GO:0055085	GO:0006259	GO:0006508	GO:0006396
0	0.811	0.985	1.000	0.667	1.000	0.987	1.000	1.000	0.767	1.000	1.000	1.000	0.963	1.000	0.979	1.000	1.000	1.000	1.000	0.785	0.987	0.785	1.000	0.865	0.987	1.000	0.979	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.972	0.797	0.848	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.975	1.000	1.000	1.000	0.974	0.785	0.962	1.000	0.899	0.899	1.000	0.960	0.000	0.772	0.964	0.950	1.000	0.987	1.000	0.975	1.000	0.000
0.811	0	0.973	1.000	1.000	1.000	0.973	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.892	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.189	1.000	1.000	1.000	1.000	0.784	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	1.000	0.784	1.000	1.000	1.000	0.946	1.000	1.000	1.000	1.000	1.000	1.000	0.962	1.000	0.838	0.000	1.000	1.000	0.969	1.000	0.964	1.000	1.000	1.000	1.000	0.973	0.405	0.971
0.985	0.973	0	1.000	1.000	1.000	0.956	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.926	1.000	1.000	1.000	1.000	1.000	0.941	1.000	0.985	1.000	0.981	1.000	1.000	1.000	1.000	0.559	1.000	1.000	1.000	1.000	0.926	1.000	0.941	0.985	1.000	1.000	0.949	0.950	0.559	1.000	1.000	1.000	1.000	0.868	1.000	1.000	1.000	1.000	0.985	0.962	1.000	0.985	0.985	1.000	1.000	1.000	1.000	0.000	1.000	0.897	1.000	1.000	0.559	0.956	1.000
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	0.852	1.000	0.909	0.909	1.000	1.000	1.000	0.909	0.477	0.909	1.000	1.000	0.000	1.000	0.909	1.000	0.909	1.000	0.907	0.659	0.977	1.000	1.000	1.000	1.000	0.432	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.955	1.000	0.909	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.909	1.000	1.000	1.000	0.909	0.000	1.000	1.000	1.000
0.667	1.000	1.000	1.000	0	1.000	1.000	1.000	0.941	0.000	1.000	1.000	1.000	1.000	1.000	0.979	0.941	0.971	1.000	1.000	0.647	1.000	0.922	1.000	0.843	1.000	1.000	0.958	1.000	0.608	1.000	0.953	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.863	0.000	1.000	1.000	0.615	0.941	1.000	1.000	0.980	0.843	1.000	1.000	0.469	0.000	1.000	1.000	1.000	0.686	1.000	1.000	0.980	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.531	0.688	1.000	1.000	1.000	0.852	1.000	0.812	0.562	0.969	0.000	1.000	0.500	0.969	1.000	1.000	0.875	0.938	1.000	0.969	0.938	0.969	0.906	0.844	1.000	0.969	1.000	1.000	0.938	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	0.844	0.719	1.000	1.000	0.969	0.750	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	0.625	1.000	1.000	1.000	0.969	0.969	1.000	1.000	1.000
0.987	0.973	0.956	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.979	1.000	1.000	1.000	0.976	1.000	0.963	1.000	0.000	0.981	0.927	0.000	0.979	1.000	0.915	1.000	1.000	0.963	0.966	0.741	1.000	1.000	0.963	0.963	1.000	0.000	1.000	0.927	1.000	1.000	1.000	1.000	1.000	1.000	0.618	0.973	1.000	1.000	0.962	1.000	0.988	0.986	1.000	1.000	1.000	0.988	0.893	0.725	0.988	1.000	0.976	0.939	0.988	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.963	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.407	1.000	1.000	1.000	0.407	1.000	1.000	0.963	1.000	1.000	1.000	1.000	0.296	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.407	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.963	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.909	0.941	0.531	1.000	1.000	0	0.932	0.982	0.973	0.972	0.111	0.949	0.319	0.000	1.000	0.786	0.992	0.779	0.992	0.730	1.000	0.865	0.974	1.000	0.083	0.729	0.797	0.000	0.000	0.907	0.983	0.963	0.972	0.982	0.267	0.942	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.857	0.985	0.923	1.000	0.986	0.692	0.645	1.000	1.000	1.000	0.812	0.840	1.000	1.000	0.652	1.000	1.000	0.991	0.655	0.983	1.000	0.989	1.000
0.767	1.000	1.000	1.000	0.000	0.688	1.000	1.000	0.932	0	1.000	1.000	1.000	1.000	1.000	0.936	0.922	0.971	0.857	1.000	0.644	1.000	0.945	1.000	0.788	1.000	1.000	0.917	1.000	0.685	0.973	0.953	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.767	1.000	1.000	1.000	0.968	0.726	0.000	1.000	1.000	0.410	0.959	1.000	1.000	0.986	0.812	1.000	1.000	0.469	0.000	1.000	1.000	1.000	0.781	1.000	1.000	0.973	1.000
