GO:0140513	GO:0098797	GO:1902494	GO:0098588	GO:0005856	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	GO:0005576	GO:0098796	GO:0005737	GO:1990904	GO:0030117	GO:0005840	GO:0043232;GO:0043228	GO:0140535	GO:0031090	GO:0016459	GO:0005875	GO:1990234	GO:0005871	GO:0005667
0	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	0.643	1.000	1.000	0.990	0.656	1.000	1.000	1.000	0.618	1.000	0.462
1.000	0	0.897	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.931	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.714	0.897	0	1.000	1.000	1.000	1.000	0.902	0.990	0.952	1.000	1.000	1.000	0.262	1.000	1.000	0.728	0.000	1.000	1.000
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.920	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.933	1.000	1.000	1.000	0.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.872	1.000	0.957	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	0.980	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.000	0.902	1.000	1.000	1.000	0.980	0	0.990	1.000	0.000	1.000	1.000	1.000	0.958	1.000	1.000	0.927	1.000	1.000
1.000	1.000	0.990	0.920	0.933	1.000	1.000	0.990	0	1.000	0.966	1.000	0.985	1.000	0.958	1.000	1.000	1.000	1.000	0.808
0.643	1.000	0.952	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.931	1.000	1.000	1.000	1.000	1.000	0.000	0.966	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.990	1.000	1.000	1.000	0.000	0.872	1.000	1.000	0.985	0.833	1.000	0.000	0	1.000	1.000	0.923	1.000	1.000	1.000	1.000
0.656	1.000	0.262	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.291	1.000	1.000
1.000	1.000	1.000	0.000	1.000	0.957	1.000	0.958	0.958	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	0	1.000	1.000	1.000	1.000
1.000	1.000	0.728	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.000	1.000
0.618	1.000	0.000	1.000	1.000	1.000	1.000	0.927	1.000	1.000	1.000	1.000	1.000	0.291	1.000	1.000	1.000	0	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0	1.000
0.462	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.808	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0
