GO:0005667	GO:0034703;GO:0034702;GO:1902495;GO:1990351	GO:0005764;GO:0000323;GO:0005773	GO:1990234	GO:0033179	GO:1990204	GO:0005634;GO:0043231;GO:0043227	GO:0098800;GO:0098798	GO:0030131;GO:0030119	GO:0043229;GO:0043226	GO:0005680;GO:0000152	GO:0000123;GO:0031248;GO:1902493	GO:0008021;GO:0070382;GO:0030133;GO:0099503;GO:0031410;GO:0097708;GO:0031982	GO:0071203	GO:1902494	GO:0045211;GO:0097060;GO:0098590	GO:0005813	GO:0005681	GO:0005643	GO:0031011;GO:0033202;GO:0097346;GO:1904949;GO:0070603	GO:0098797	GO:0031090	GO:0031461	GO:0005875	GO:0008076;GO:0034705	GO:0005852	GO:0032991	GO:0005856	GO:0098796	GO:0031012	GO:0098803	GO:1905369;GO:1905368	GO:0005737	GO:0061695	GO:0031966	GO:0031227	GO:0000439	GO:0016459	GO:0043232;GO:0043228	GO:0005891;GO:0034704;GO:0036128	GO:0008305;GO:0098636;GO:0098802;GO:0043235	GO:0030684;GO:0032040	GO:0005581	GO:0042555	GO:0005840	GO:0000159;GO:0008287;GO:1903293	GO:0030173;GO:0031228	GO:0005789	GO:0048500	GO:0000145	GO:0005839	GO:0140513	GO:0017119	GO:0034464	GO:0005694	GO:0005744	GO:0140535	GO:0005730	GO:0019773	GO:0005952	GO:0015934	GO:0005739	GO:0005576	GO:0015935	GO:0030118	GO:0000786;GO:0032993;GO:0044815	GO:0030120	GO:0005783	GO:0042765;GO:0008303	GO:0000922	GO:0030117	GO:0005871	GO:0031301;GO:0031300	GO:0044391	GO:0140534	GO:1990904	GO:0099023	GO:0005858	GO:0005794	GO:0090575	GO:0005886	GO:0019866;GO:0005743	GO:0005779;GO:0031231	GO:0005615	GO:0005777;GO:0042579	GO:0005834;GO:1905360	GO:0016592	GO:0043189;GO:1902562	GO:0098588	GO:0000276;GO:0045263	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	GO:0000139	GO:0000775;GO:0098687	GO:0030127	GO:0005815	GO:0005741;GO:0031968;GO:0019867	GO:0030915;GO:0106068	GO:0000151	GO:0015629	GO:0033178	GO:0005887;GO:0031226	GO:0097525;GO:0030532;GO:0120114	GO:0030286	GO:0033177
0	1.000	1.000	1.000	1.000	1.000	0.816	1.000	1.000	0.816	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.842	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.474	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	0.947	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.053	1.000	1.000	1.000	0.000	1.000	0.000	1.000	0.053	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0	1.000	1.000	1.000	0.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0	1.000	0.900	0.862	0.909	1.000	0.862	0.000	0.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	1.000	0.938	1.000	1.000	0.900	0.985	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.662	1.000	1.000	1.000	1.000	0.262	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.846	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.909	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000
1.000	1.000	1.000	0.900	1.000	0	0.900	0.700	1.000	0.900	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.600	1.000	0.200	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.816	1.000	0.000	0.862	1.000	0.900	0	0.909	0.917	0.000	1.000	0.545	0.000	0.818	0.924	1.000	0.500	1.000	1.000	0.800	1.000	0.968	0.947	1.000	1.000	1.000	0.841	1.000	0.978	1.000	0.800	1.000	0.870	0.909	1.000	1.000	0.800	1.000	0.989	1.000	1.000	1.000	1.000	0.143	0.990	1.000	1.000	1.000	1.000	1.000	1.000	0.905	1.000	1.000	0.938	1.000	0.882	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.250	1.000	0.000	1.000	1.000	0.939	1.000	1.000	1.000	1.000	0.981	1.000	1.000	0.000	0.944	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.333	0.938	1.000	1.000	0.944	0.600	1.000	0.750	1.000	0.800	0.938	1.000	1.000	1.000	0.800	1.000	1.000
1.000	0.947	1.000	0.909	1.000	0.700	0.909	0	1.000	0.909	1.000	1.000	1.000	1.000	0.773	1.000	1.000	1.000	1.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	0.000	1.000	0.227	1.000	0.200	1.000	1.000	0.818	0.909	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.909	1.000	1.000	1.000	1.000	0.909	0.955	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.950	1.000	0.955	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.167	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.706
1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	0	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.816	1.000	0.000	0.862	1.000	0.900	0.000	0.909	0.917	0	1.000	0.545	0.000	0.818	0.924	0.941	0.500	1.000	1.000	0.800	1.000	0.968	0.947	1.000	1.000	1.000	0.838	0.000	0.978	1.000	0.800	1.000	0.853	0.909	1.000	1.000	0.800	0.943	0.000	1.000	1.000	1.000	1.000	0.143	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.897	1.000	1.000	0.000	1.000	0.882	0.000	1.000	1.000	0.333	0.000	1.000	0.286	1.000	0.238	1.000	0.000	1.000	0.625	0.939	1.000	1.000	0.300	1.000	0.712	1.000	1.000	0.000	0.944	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.333	0.938	1.000	0.885	0.944	0.600	1.000	0.562	1.000	0.800	0.938	0.000	1.000	1.000	0.800	1.000	1.000
