GO:0005794	GO:0045211;GO:0097060;GO:0098590	GO:0005634;GO:0043231;GO:0043227	GO:0005871	GO:0005777;GO:0042579	GO:0008305;GO:0098636;GO:0098802;GO:0043235	GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080	GO:0031090	GO:0043232;GO:0043228	GO:0033177	GO:0005891;GO:0034704	GO:0005886	GO:0030286	GO:0005576	GO:0005667	GO:0044391	GO:0098588	GO:0005622	GO:0031461	GO:0005615	GO:0031012	GO:0099023	GO:0030173;GO:0031228	GO:0005875	GO:0005737	GO:0098797	GO:0005813	GO:0000786;GO:0032993;GO:0044815	GO:0005815	GO:0140513	GO:0016459	GO:0005840	GO:1902494	GO:0005739	GO:0005856	GO:1990904	GO:0031301;GO:0031300	GO:0140535	GO:0008021;GO:0070382;GO:0030133;GO:0099503;GO:0031410;GO:0097708;GO:0031982	GO:0031966	GO:0043229;GO:0043226	GO:0000151	GO:0032991	GO:0098796	GO:0030117	GO:0030127;GO:0030120	GO:0005694	GO:0034703;GO:0034702;GO:1902495;GO:1990351	GO:1990234	GO:0005852
0	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.000	1.000	0	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	0.048	0.800	1.000	1.000	1.000	1.000	1.000	0.879	1.000	0.400	0.571	0.571	0.929	1.000	1.000	0.945	0.000	1.000	1.000	1.000	0.864	0.000	1.000	0.000	0.714	0.938	1.000	1.000	1.000	1.000	1.000	0.870	1.000
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.125	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.125	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	0.933	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	0.958	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.933	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.400	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.980	1.000	1.000	1.000	0.857	1.000	0.941	0.000	1.000	1.000	0.000	0.786	1.000	1.000	1.000	1.000	0.000	1.000	0.922	1.000	1.000	1.000	0.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
