GO:0003723	GO:0008373	GO:0020037;GO:0046906	GO:0016627	GO:0022836	GO:0008484	GO:0016779;GO:0140097	GO:0016791	GO:0005524;GO:0032559;GO:0030554	GO:0004519	GO:0016757	GO:0003735	GO:0005216;GO:0015267;GO:0022803	GO:0016788	GO:0009055	GO:0004222	GO:0008168;GO:0016741	GO:0004674	GO:0005085	GO:0008237	GO:0015318;GO:0015075	GO:0030234;GO:0098772	GO:0004252;GO:0008236;GO:0017171	GO:0003707	GO:0140098	GO:0008757	GO:0051213	GO:0008092	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0004672;GO:0016301;GO:0016773	GO:0016746	GO:0015399;GO:0042626	GO:0016853	GO:0008017;GO:0015631	GO:0004175	GO:0030170;GO:0070279	GO:0030695;GO:0060589	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001	GO:0008238	GO:0046943;GO:0005342	GO:0016810	GO:0016879	GO:0008234	GO:0016491	GO:0015078	GO:0005044;GO:0038024	GO:0019842	GO:0003677	GO:0016874	GO:0030414;GO:0004857;GO:0061134	GO:0016772	GO:0022890;GO:0008324	GO:0004842;GO:0019787	GO:0004518	GO:0004553;GO:0016798	GO:0015077	GO:0005543	GO:0008270;GO:0046914	GO:0005261	GO:0008289	GO:0005328;GO:0005326	GO:0005102	GO:0016758	GO:0016747	GO:0008146;GO:0016782	GO:0051536;GO:0051540	GO:0016829	GO:0043565	GO:0008233	GO:0005506	GO:0050660	GO:0016887	GO:0030246	GO:0042578	GO:0004871	GO:0015370;GO:0015294;GO:0015293	GO:0008081	GO:0004497	GO:0004713	GO:0016616;GO:0016614	GO:0005198	GO:0008509	GO:0003779	GO:0003924	GO:0140101	GO:0004866;GO:0061135	GO:0005230;GO:0015276;GO:0022834	GO:0004725;GO:0004721	GO:0004190;GO:0070001	GO:0004812;GO:0016875	GO:0022804	GO:0022857;GO:0005215	GO:0003899;GO:0034062;GO:0097747	GO:0003774;GO:0003777	GO:0000287	GO:0022853;GO:0015291	GO:0003700;GO:0140110	GO:0015085;GO:0072509	GO:0016705	GO:0005509	GO:0046983	GO:0004930;GO:0004888;GO:0038023;GO:0060089	GO:0015081	GO:0046873	GO:0003964;GO:0034061	GO:0016881	GO:0004386	GO:0052689
0	1.000	1.000	1.000	0.986	1.000	0.421	0.988	0.971	0.765	0.992	0.914	0.994	0.957	1.000	1.000	0.876	0.993	1.000	1.000	0.994	1.000	1.000	1.000	0.830	0.909	0.886	1.000	0.984	0.994	1.000	1.000	0.860	1.000	0.912	1.000	1.000	0.984	1.000	1.000	0.912	1.000	1.000	0.987	1.000	1.000	1.000	0.984	0.944	1.000	0.460	0.995	0.986	0.841	1.000	0.993	1.000	0.917	1.000	1.000	1.000	0.964	0.985	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	0.989	0.994	0.992	1.000	0.982	1.000	1.000	1.000	1.000	0.943	0.986	1.000	0.977	0.833	1.000	0.977	0.983	0.394	0.824	0.993	0.994	0.955	1.000	1.000	0.989	0.967	1.000	0.967	0.994	1.000	0.989	0.988	0.993	0.119	1.000	0.979	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.964	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.990	1.000	1.000	1.000	1.000	1.000	0.871	1.000	0.979	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.970	0.971	1.000	0.990	1.000	1.000	1.000	0.982	1.000	0.990	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.964	0.152	1.000	1.000	0.960	1.000	1.000	1.000	0.990	1.000	1.000	1.000	1.000	1.000	1.000	0.210	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.958	1.000	0.990	0.219	1.000	1.000	0.990	1.000	1.000	1.000	1.000	0.767	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.990	1.000	1.000	1.000	1.000	0.267	0.990	1.000	0.990	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	0.966	1.000	0.926	0.966	1.000	1.000	1.000	0.621	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	1.000
0.986	1.000	1.000	1.000	0	1.000	0.986	1.000	0.972	1.000	1.000	0.986	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	0.736	1.000	1.000	1.000	0.819	1.000	1.000	0.736	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	0.886	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.000	1.000	0.986	1.000	1.000	1.000	0.821	1.000	1.000	1.000	0.903	1.000	0.750	0.986	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.421	1.000	1.000	1.000	0.986	1.000	0	0.988	0.941	0.500	0.992	1.000	0.994	0.921	1.000	1.000	0.948	0.993	1.000	1.000	0.993	1.000	1.000	1.000	0.598	0.970	0.886	1.000	0.928	0.990	0.988	1.000	0.877	1.000	0.912	1.000	1.000	0.948	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	0.745	0.972	1.000	0.159	0.995	1.000	0.667	0.976	0.993	1.000	0.869	1.000	1.000	1.000	0.964	0.985	0.982	1.000	1.000	0.930	1.000	0.928	1.000	1.000	0.894	0.994	0.992	1.000	0.982	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	0.977	0.983	0.394	1.000	0.993	0.993	0.000	1.000	0.889	0.989	0.967	1.000	0.967	0.990	0.932	0.989	0.988	0.993	0.000	1.000	0.842	1.000
0.988	1.000	1.000	1.000	1.000	1.000	0.988	0	0.976	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.976	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.976	1.000	1.000	1.000	1.000	0.976	1.000	1.000	1.000	1.000	1.000	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	0.988	0.952	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.926	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.988	1.000	0.988	1.000
0.971	1.000	0.990	1.000	0.972	1.000	0.941	0.976	0	0.971	0.992	1.000	0.937	0.964	1.000	0.962	0.990	0.034	1.000	0.977	0.947	0.992	0.948	1.000	0.714	1.000	1.000	0.619	0.400	0.175	0.988	0.206	0.930	0.280	0.965	1.000	0.978	0.984	1.000	1.000	1.000	0.679	1.000	0.992	0.974	1.000	1.000	0.833	0.477	1.000	0.536	0.951	0.971	0.937	1.000	0.979	0.917	0.979	0.962	0.945	1.000	1.000	1.000	1.000	0.987	0.963	0.901	1.000	0.975	0.991	1.000	0.112	1.000	0.983	0.971	1.000	1.000	1.000	0.027	1.000	1.000	0.986	0.978	1.000	0.354	1.000	1.000	0.983	1.000	0.088	0.632	0.877	1.000	0.444	0.593	0.925	0.993	0.964	0.983	0.990	0.986	0.940	0.988	0.979	0.989	0.700	0.095	0.895
0.765	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.971	0	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.647	1.000	1.000	1.000	0.971	0.971	1.000	1.000	1.000	1.000	0.971	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.794	1.000	1.000	0.794	1.000	1.000	0.000	1.000	1.000	1.000	0.882	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.971	1.000	1.000	0.971	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.882	1.000	1.000	1.000	0.970	1.000	1.000	1.000	1.000	1.000	0.963	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.824	1.000	0.971	1.000
