geneid,binom
SPU_000002,0
SPU_000003,0
SPU_000004,0
SPU_000005,0
SPU_000006,0
SPU_000007,0
SPU_000008,0
SPU_000009,0
SPU_000012,0
SPU_000013,0
SPU_000014,0
SPU_000015,0
SPU_000017,0
SPU_000018,0
SPU_000019,0
SPU_000021,0
SPU_000022,0
SPU_000023,0
SPU_000024,0
SPU_000025,0
SPU_000027,0
SPU_000028,0
SPU_000030,0
SPU_000031,0
SPU_000032,0
SPU_000033,0
SPU_000034,0
SPU_000035,0
SPU_000036,0
SPU_000037,0
SPU_000038,0
SPU_000040,0
SPU_000042,0
SPU_000043,0
SPU_000044,0
SPU_000045,0
SPU_000046,0
SPU_000047,1
SPU_000048,0
SPU_000049,0
SPU_000050,0
SPU_000051,0
SPU_000052,0
SPU_000053,0
SPU_000054,0
SPU_000055,0
SPU_000056,0
SPU_000057,1
SPU_000058,0
SPU_000059,0
SPU_000060,0
SPU_000061,0
SPU_000062,0
SPU_000063,0
SPU_000064,0
SPU_000066,0
SPU_000067,0
SPU_000068,1
SPU_000069,0
SPU_000070,0
SPU_000071,0
SPU_000075,0
SPU_000076,0
SPU_000077,0
SPU_000078,0
SPU_000080,0
SPU_000082,0
SPU_000084,0
SPU_000085,0
SPU_000088,0
SPU_000089,0
SPU_000090,0
SPU_000091,0
SPU_000092,0
SPU_000094,1
SPU_000095,0
SPU_000096,0
SPU_000098,0
SPU_000099,0
SPU_000100,0
SPU_000101,0
SPU_000102,0
SPU_000103,0
SPU_000104,0
SPU_000105,0
SPU_000107,0
SPU_000109,0
SPU_000110,0
SPU_000111,0
SPU_000112,0
SPU_000114,0
SPU_000115,0
SPU_000116,0
SPU_000117,0
SPU_000118,0
SPU_000119,0
SPU_000121,0
SPU_000122,0
SPU_000123,0
SPU_000127,0
SPU_000128,0
SPU_000129,0
SPU_000132,0
SPU_000133,0
SPU_000134,0
SPU_000135,0
SPU_000136,0
SPU_000137,0
SPU_000138,0
SPU_000140,0
SPU_000141,0
SPU_000142,1
SPU_000143,0
SPU_000144,0
SPU_000146,0
SPU_000147,0
SPU_000148,0
SPU_000149,0
SPU_000153,0
SPU_000154,0
SPU_000155,0
SPU_000156,0
SPU_000157,0
SPU_000159,0
SPU_000162,0
SPU_000163,0
SPU_000164,0
SPU_000166,0
SPU_000167,0
SPU_000168,0
SPU_000169,0
SPU_000170,0
SPU_000171,0
SPU_000172,0
SPU_000173,0
SPU_000174,0
SPU_000175,0
SPU_000176,0
SPU_000177,0
SPU_000178,0
SPU_000179,0
SPU_000181,0
SPU_000182,0
SPU_000184,0
SPU_000185,0
SPU_000186,0
SPU_000187,0
SPU_000191,0
SPU_000192,0
SPU_000193,0
SPU_000194,0
SPU_000195,0
SPU_000196,0
SPU_000197,0
SPU_000198,0
SPU_000199,0
SPU_000201,0
SPU_000202,0
SPU_000205,0
SPU_000207,0
SPU_000209,0
SPU_000210,0
SPU_000211,0
SPU_000212,0
SPU_000213,0
SPU_000214,0
SPU_000216,0
SPU_000217,0
SPU_000218,0
SPU_000220,0
SPU_000222,1
SPU_000223,0
SPU_000224,0
SPU_000225,0
SPU_000227,0
SPU_000228,0
SPU_000229,0
SPU_000233,0
SPU_000234,0
SPU_000236,0
SPU_000237,0
SPU_000239,0
SPU_000240,0
SPU_000241,1
SPU_000242,0
SPU_000243,0
SPU_000244,1
SPU_000245,0
SPU_000246,0
SPU_000247,0
SPU_000249,0
SPU_000250,0
SPU_000251,0
SPU_000252,0
SPU_000253,0
SPU_000254,0
SPU_000256,0
SPU_000257,0
SPU_000258,0
SPU_000260,0
SPU_000261,0
SPU_000262,0
SPU_000263,0
SPU_000264,0
SPU_000268,0
SPU_000269,0
SPU_000270,0
SPU_000271,0
SPU_000273,0
SPU_000275,0
SPU_000276,0
SPU_000277,0
SPU_000278,0
SPU_000279,0
SPU_000280,0
SPU_000281,0
SPU_000282,0
SPU_000285,0
SPU_000287,0
SPU_000288,0
SPU_000289,0
SPU_000291,0
SPU_000292,0
SPU_000293,0
SPU_000294,0
SPU_000295,0
SPU_000296,0
SPU_000297,0
SPU_000299,0
SPU_000301,0
SPU_000303,0
SPU_000304,1
SPU_000305,0
SPU_000308,0
SPU_000311,0
SPU_000312,0
SPU_000313,0
SPU_000314,0
SPU_000316,0
SPU_000317,0
SPU_000318,0
SPU_000319,0
SPU_000321,0
SPU_000322,0
SPU_000323,0
SPU_000324,0
SPU_000325,0
SPU_000326,0
SPU_000327,0
SPU_000328,0
SPU_000330,0
SPU_000333,0
SPU_000334,0
SPU_000335,0
SPU_000337,0
SPU_000339,0
SPU_000340,0
SPU_000341,0
SPU_000342,0
SPU_000343,0
SPU_000345,0
SPU_000346,0
SPU_000347,0
SPU_000348,0
SPU_000349,0
SPU_000353,1
SPU_000354,0
SPU_000356,0
SPU_000357,0
SPU_000358,0
SPU_000359,0
SPU_000361,0
SPU_000362,0
SPU_000364,0
SPU_000366,0
SPU_000367,0
SPU_000372,0
SPU_000376,0
SPU_000377,0
SPU_000378,0
SPU_000379,0
SPU_000381,0
SPU_000382,0
SPU_000383,0
SPU_000386,0
SPU_000388,1
SPU_000389,0
SPU_000395,0
SPU_000396,0
SPU_000397,0
SPU_000400,0
SPU_000401,0
SPU_000402,0
SPU_000405,0
SPU_000406,0
SPU_000408,0
SPU_000409,0
SPU_000410,0
SPU_000412,1
SPU_000413,0
SPU_000417,0
SPU_000419,0
SPU_000425,0
SPU_000426,0
SPU_000428,0
SPU_000430,0
SPU_000432,0
SPU_000433,0
SPU_000435,0
SPU_000436,0
SPU_000438,0
SPU_000439,0
SPU_000440,0
SPU_000441,0
SPU_000442,0
SPU_000444,0
SPU_000446,0
SPU_000448,0
SPU_000452,0
SPU_000453,0
SPU_000454,0
SPU_000455,0
SPU_000456,0
SPU_000457,0
SPU_000458,0
SPU_000459,0
SPU_000461,0
SPU_000462,0
SPU_000465,0
SPU_000468,0
SPU_000469,0
SPU_000471,0
SPU_000472,0
SPU_000476,0
SPU_000477,0
SPU_000478,0
SPU_000479,0
SPU_000480,0
SPU_000481,0
SPU_000483,0
SPU_000484,0
SPU_000485,0
SPU_000486,0
