geneid,neglogpval
SPU_000890,0.777533209
SPU_018908,2.728388512
SPU_005079,0.282209721
SPU_000889,0.093329735
SPU_010475,0.258713843
SPU_007719,1.076449476
SPU_007720,0.973576103
SPU_017380,1.225523219
SPU_017379,0.22240016
SPU_0008902,1.89274781
SPU_024524,0.718648395
SPU_001457,2.001095611
SPU_016206,0.411542513
SPU_016207,0.296893159
SPU_010134,0.324881072
SPU_016141,1.584186467
SPU_016142,0.685093732
SPU_004871,0.365965963
SPU_0259970,1.277871023
SPU_022996,0.194746972
SPU_025997,6.22E-05
SPU_027716,2.127793168
SPU_003180,1.537010332
SPU_0025524,1.287672423
SPU_0025523,0.393529907
SPU_020405,0.439595681
SPU_016378,0.72180795
SPU_012370,0.411128802
SPU_015551,1.405354034
SPU_0155510,0.144216931
SPU_020407,6.426489927
SPU_026047,1.968177694
SPU_012936,2.984504948
SPU_0129368,0.051201718
SPU_000064,1.185978091
SPU_024710,0.75564007
SPU_009752,1.757624446
SPU_017929,3.191000675
SPU_022953,0.189438569
SPU_018245,1.072620214
SPU_0068724,7.840104323
SPU_0068722,0.39336049
SPU_0074144,1.410081219
SPU_0074143,0.335780235
SPU_0074142,0.334644284
SPU_0074140,1.184374655
SPU_007414,1.264615176
SPU_020781,0.695988279
SPU_012326,0.673627673
SPU_021079,0.097478819
SPU_016479,0.342128332
SPU_005708,0.105713674
SPU_0057085,0.704850375
SPU_005710,0.3842736
SPU_000555,1.403274622
SPU_014026,1.066941388
SPU_009020,0.365787547
SPU_009019,1.033868813
SPU_016544,0.933185678
SPU_019948,1.183277987
SPU_001136,2.467806512
SPU_003605,0.039938962
SPU_003606,1.024965998
SPU_024320,0.36142511
SPU_009825,0.71324393
SPU_008618,0.523220549
SPU_007923,0.549760806
SPU_009833,5.87525859
SPU_008177,3.374469463
SPU_0081774,1.43222151
SPU_0081775,1.411994299
SPU_013655,1.865297156
SPU_0136551,0.626976946
SPU_022873,4.988494611
SPU_022872,1.517347796
SPU_021308,1.389477235
SPU_0213080,0.549106628
SPU_023029,0.398352041
SPU_027576,0.504360539
SPU_027577,1.071202277
SPU_022734,1.294402589
