geneid,logFC
SPU_000890,-0.159834648
SPU_018908,1.882977543
SPU_005079,-0.068256334
SPU_000889,-0.023788391
SPU_010475,-0.065890859
SPU_007719,-0.920554555
SPU_007720,0.840136121
SPU_017380,0.622333131
SPU_017379,0.092161381
SPU_0008902,0.795557444
SPU_024524,0.413588705
SPU_001457,0.889316169
SPU_016206,-0.237941125
SPU_016207,0.243345918
SPU_010134,0.148241739
SPU_016141,1.290854526
SPU_016142,-0.475462114
SPU_004871,-0.170749047
SPU_0259970,-1.02438368
SPU_022996,-0.203479447
SPU_025997,0.390697819
SPU_027716,0.510325042
SPU_003180,0.37775715
SPU_0025524,-0.763888939
SPU_0025523,-0.403658796
SPU_020405,-0.489970585
SPU_016378,-0.676996549
SPU_012370,-0.145769572
SPU_015551,0.247523049
SPU_0155510,-0.136116498
SPU_020407,-2.893624933
SPU_026047,-1.420893975
SPU_012936,-1.484219371
SPU_0129368,-0.006446123
SPU_000064,0.599169118
SPU_024710,-0.140303305
SPU_009752,-1.448024117
SPU_017929,0.518984428
SPU_022953,0.183391636
SPU_018245,-0.784588612
SPU_0068724,-3.607007998
SPU_0068722,-0.491328981
SPU_0074144,0.599500839
SPU_0074143,0.122687221
SPU_0074142,0.336140796
SPU_0074140,0.752272533
SPU_007414,0.492792844
SPU_020781,-0.446180044
SPU_012326,-0.476745983
SPU_021079,-0.099136001
SPU_016479,-0.219120637
SPU_005708,0.092910462
SPU_0057085,-0.66591366
SPU_005710,0.10452109
SPU_000555,-0.229061692
SPU_014026,0.248326618
SPU_009020,-0.135690392
SPU_009019,-0.225601703
SPU_016544,-0.482926807
SPU_019948,-0.283691763
SPU_001136,0.530039779
SPU_003605,0.046138065
SPU_003606,0.479155916
SPU_024320,0.224844567
SPU_009825,0.222055133
SPU_008618,0.332740679
SPU_007923,0.285662201
SPU_009833,-1.945117512
SPU_008177,-1.685735484
SPU_0081774,1.13120053
SPU_0081775,-0.960154178
SPU_013655,0.869290474
SPU_0136551,0.811973648
SPU_022873,3.466923143
SPU_022872,-0.422868132
SPU_021308,-0.47831281
SPU_0213080,0.412065063
SPU_023029,-0.317092018
SPU_027576,0.18152051
SPU_027577,-0.509510067
SPU_022734,-0.931485774
SPU_021884,0.000350207
SPU_0154366,0.628358021
SPU_028720,0.13939452
SPU_0287200,-0.07889188
SPU_022152,-1.019776946
SPU_005154,-0.519406052
SPU_022149,-0.530057481
SPU_022148,-1.982670065
SPU_016329,-0.297970097
SPU_011603,0.003284577
SPU_015436,0.16794507
SPU_026306,-2.18647978
SPU_0278525,-0.152338667
SPU_014755,-0.227482283
SPU_012109,0.5363169
SPU_024924,0.580554462
SPU_027849,0.369428083
SPU_015256,-0.065877299
SPU_0278524,0.339771122
SPU_0278523,0.374873877
SPU_027852,-0.54885376
SPU_004513,-0.475062462
SPU_015554,-0.286049965
SPU_014791,-0.464456373
SPU_028295,0.73123234
SPU_023539,0.652661294
SPU_014790,0.120243869
SPU_0147913,0.299231478
SPU_0147910,-0.076051761
SPU_005414,1.427528533
SPU_019632,0.315892625
SPU_0196320,-0.570628854
SPU_000158,-0.283462838
SPU_000157,1.534262166
SPU_0220937,-1.55077805
SPU_004350,0.421038011
SPU_007586,-0.326963818
SPU_007587,0.474434457
SPU_007588,0.289284354
SPU_003767,0.419930294
