"geneid","pr_meth_logFC","pr_meth_logCPM","GE_logFC","GE_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000007",-1.59226445016034,5.48395789277108,0.456590791656549,1.69056553972767,"SP-WNT7",99,250.666666666667,0,50,7730,1214,6516,0.099,0.0384694086351545,0.0411861614497529
"SPU_000020",-0.479167440335385,9.69941594439873,0.0212085448285463,0.491435409023019,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000035",-1.0688084599148,9.03753467188428,-0.0437078613001798,6.21115884648596,"SP-EFHDC2",35.3333333333333,0,0,0,2076,492,1584,0.0353333333333333,0,0
"SPU_000044",1.37972768812942,6.36390078359907,0.0758848001730243,3.635793641294,"SP-LRPS5L",21.6666666666667,41,41,20.6666666666667,7728,2586,5142,0.0216666666666667,0.00797355114741346,0.0079917504511472
"SPU_000048",0.618330823774398,4.59459860177235,0.0770706897850324,8.17058016334979,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,0.0563333333333333,0.0222273143904675,0.0201458410579656
"SPU_000061",-2.52381688194765,6.17506573810079,-0.326673227697713,7.77077235046716,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,0.0426666666666667,0.0115462557142184,0.0265938069216758
"SPU_000075",0.440458244112114,8.08099717871558,0.217239498681435,7.21564832447634,"SP-METHIAPD2L",108,221.666666666667,0,18.3333333333333,16577,4421,12156,0.108,0.0182351650762312,0.00414687476438212
"SPU_000094",-0.289853190513314,8.54376167813024,0.0662198368104182,4.65973231898708,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,0.140666666666667,0.0063948922455557,0
"SPU_000095",0.345444657634796,9.33317114702279,-0.0853973349567088,1.80820307175778,"SP-CLASP1L",23.6666666666667,446.666666666667,446.666666666667,0,1060,258,802,0.0236666666666667,0.556940980881131,0
"SPU_000102",0.45637394501452,8.64530641985383,-0.286688618718234,2.44791364776166,"SP-SNRK",213.333333333333,348.666666666667,2.33333333333333,158,595,595,0,0.213333333333333,0,0.265546218487395
"SPU_000105",0.967597946824821,6.61811051870941,-0.116065801065183,5.16124548722023,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,0.106666666666667,0.0215893680499051,0.126559714795009
"SPU_000178",-0.184878596713944,7.05066477372228,-0.0498720955075436,7.43440028288097,"SP-PP2AB56E",99,2345,635,166,46828,4005,42823,0.099,0.0547602923662518,0.0414481897627965
"SPU_000191",-0.409575866078825,8.43238572359024,0.220195075901589,7.99349363936087,"SP-CMPK",120.333333333333,500.333333333333,317,78.6666666666667,18546,2954,15592,0.120333333333333,0.0320891055242004,0.0266305574362446
"SPU_000252",-0.469586387915665,7.67274214824839,-0.11608377950459,7.6301735278442,"SP-MED1",89.6666666666667,398.333333333333,0,611.666666666667,21482,9520,11962,0.0896666666666667,0.0332998941091233,0.064250700280112
"SPU_000259",-0.125861685028487,5.57401838373687,0.170812709339909,5.94423338217713,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000279",-1.62337542309631,8.79873611514074,0.0919220682382356,4.06207468956583,"SP-CYP17A1",58.6666666666667,0,0,0,2739,656,2083,0.0586666666666667,0,0
"SPU_000313",-0.576510973647109,7.69044353999754,0.0787558913375589,4.89769128870761,"SP-VPS37HA",80,179.333333333333,0,130.333333333333,8924,1219,7705,0.08,0.0232749296993294,0.106918238993711
"SPU_000363",0.0362825095589325,9.5753847120377,0.229196404421595,5.41795948494018,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000439",-0.940629198983239,9.93626344151975,0.263249487643953,8.17152925275242,"SP-P58-A",131,1594.33333333333,839.666666666667,321,28702,2618,26084,0.131,0.0611230383887952,0.122612681436211
