"geneid","ex_meth_logFC","ex_meth_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"ENSRNA022742519",-0.943963505987176,3.71670107018279,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742539",1.38930883442473,3.37027781490897,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742584",-1.47236109695665,5.2733671756425,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742653",-2.44484902840947,5.40765874797333,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742655",-0.0469082700932165,5.44067262459242,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742795",-0.708874420093575,5.55482650510887,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742943",0.772746820527512,2.91696792539111,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743004",1.4401054006855,3.92823694256997,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743008",0.294876679339028,6.13657859814647,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743011",-0.513580959784054,5.54411891786306,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743077",-2.51904534390861,5.1518568493446,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743211",-2.31950659328158,4.14207674692281,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743214",-2.65627319037555,6.50895336289552,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743381",-0.121689754125977,2.91354536187431,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743529",-2.00945979568751,3.09964695242285,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743535",1.23035673707163,3.47009739516082,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743598",-1.22275361934355,4.47246483087878,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743701",-0.191267935701811,3.53657769243542,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743833",-0.397294931629405,5.91553040470413,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743976",0.351917829013551,4.85829661082881,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744076",-0.441569260052405,6.74030490059763,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744080",0.322224601132043,10.4191340746112,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744106",0.614125334291563,5.47173934143418,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744112",-0.214677722190846,3.40874895731794,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744125",2.26355270452702,3.10668035899316,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744130",-0.58630444641425,3.11517755270129,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744137",-0.128813256408596,5.623693560091,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744149",-0.171318584184946,6.89059361689679,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744232",1.43772513077913,5.01802253272598,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744342",0.47324981669665,8.18791846362631,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744598",0.14630798318688,3.94602113764219,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744620",-4.2099246831647,4.27097051130128,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744622",-0.80702628748329,5.03264566179096,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744637",-0.157280406947335,7.11610471946238,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744703",0.834310429105292,4.35010809418712,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744715",-0.611927282691313,4.56933531793227,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745199",3.02900337637922,5.70851137037775,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745203",0.487834882351279,6.53641543590596,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745286",0.766480693584245,6.8291979259874,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745299",1.85678407692869,6.32767886740247,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745425",-0.212892902873943,6.89190712017089,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745534",1.34717435205072,3.13239106417399,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745535",-1.25452047729948,5.64819179653548,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745541",0.542937707233901,4.90264950893145,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745712",0.364904701935983,4.84665238576251,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745791",0.793599766260792,3.25948594943793,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745882",0.120278042240995,7.17633126239728,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745887",1.64566478571925,5.45319272178473,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022746438",0.112908882538259,6.81126187708857,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022746484",-0.258424888066972,6.38381399101506,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000002",2.00687334363702,5.49798263277469,"SP-CUB/LDLA/GPCR",52.3333333333333,455.333333333333,164.333333333333,87.3333333333333,23362,1940,21422,0.0523333333333333,0.0212554072137678,0.0450171821305842
"SPU_000003",0.429954696958497,8.09056123684659,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,0.210666666666667,0.422234195402299,0.0805308275634685
"SPU_000004",-0.413256196695968,7.50366957499113,"SP-HYPP_1240",12.3333333333333,863.666666666667,0,23,25072,1610,23462,0.0123333333333333,0.0368112977012474,0.0142857142857143
"SPU_000018",-0.373688294757288,8.65201755325966,"SP-CSPL",61.6666666666667,0,0,66,572,572,0,0.0616666666666667,0,0.115384615384615
"SPU_000019",-0.803026102792841,9.04747950854013,"SP-CSPL_1",25.6666666666667,0,0,0,1139,1139,0,0.0256666666666667,0,0
"SPU_000020",0.66592459873228,7.55826004922998,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000030",0.599504124817093,6.74872777567761,"SP-GPR21_1",72.6666666666667,0,0,0,935,935,0,0.0726666666666667,0,0
"SPU_000035",0.214588597348614,7.36517745152155,"SP-EFHDC2",35.3333333333333,0,0,0,2076,492,1584,0.0353333333333333,0,0
"SPU_000041",-0.695715799379676,6.77586496907362,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000048",1.38280626812444,7.08014052741188,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,0.0563333333333333,0.0222273143904675,0.0201458410579656
"SPU_000050",0.968017458086597,5.67736386410361,"SP-UNC44L",45.3333333333333,211.333333333333,145.666666666667,88.6666666666667,17530,3047,14483,0.0453333333333333,0.0145918202950586,0.0290996608686139
"SPU_000053",-0.106331416268907,9.09504005143323,"SP-EGF/HYALINL5",99.3333333333333,1304.66666666667,36.6666666666667,1392.33333333333,61794,16271,45523,0.0993333333333333,0.0286595054514568,0.0855714666174994
"SPU_000061",-0.632556085662094,7.4375987318918,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,0.0426666666666667,0.0115462557142184,0.0265938069216758
"SPU_000065",-0.14547429970012,8.88343828229391,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000066",-0.774225441654234,4.33500619180044,"SP-NSUN7L",140.333333333333,265.333333333333,65,102,22936,2782,20154,0.140333333333333,0.0131652939036089,0.0366642703091301
"SPU_000069",-2.4332136348236,4.34736307717657,"SP-GLYT1L",55.6666666666667,210,2,182.666666666667,11889,1241,10648,0.0556666666666667,0.0197220135236664,0.147193123824872
"SPU_000070",-1.03535845842682,7.48302124835564,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,0.007,0.0244475501812805,0.0920604512558535
"SPU_000071",0.132945281624103,7.59343385334369,"SP-APBB1L",92.6666666666667,598,4.66666666666667,177.666666666667,10145,1134,9011,0.0926666666666667,0.0663633337032516,0.156672545561434
"SPU_000073",-0.445329456785051,4.06457107981512,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000079",0.283907572849431,3.91011056224774,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000086",-0.445591486949894,3.43864987337395,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000092",-0.416651779690683,7.16178965572342,"SP-KCNH1",100.666666666667,1367,753.666666666667,469,14003,2660,11343,0.100666666666667,0.120514854976638,0.176315789473684
"SPU_000098",-0.218828340847785,5.46131010600681,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,0.0486666666666667,0.0349040669154757,0.119587190126609
"SPU_000103",1.68022216571242,7.64236586531637,"SP-ACRV1L",51.3333333333333,66,65.3333333333333,58,401,401,0,0.0513333333333333,0,0.144638403990025
"SPU_000105",-1.54679766325386,4.95855223244911,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,0.106666666666667,0.0215893680499051,0.126559714795009
"SPU_000114",0.135253756507453,7.65320830836724,"SP-FUT6",11.3333333333333,0,0,0,4587,4587,0,0.0113333333333333,0,0
