"geneid","pr_meth_logFC","pr_meth_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000005",0.726047304679779,8.8530979660389,"SP-DNASE2L",69,371.666666666667,0,100.666666666667,284,284,0,69,0,0.354460093896714
"SPU_000007",-1.59226445016034,5.48395789277108,"SP-WNT7",99,250.666666666667,0,50,7730,1214,6516,99,0.0384694086351545,0.0411861614497529
"SPU_000020",-0.479167440335385,9.69941594439873,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000028",-0.605646604869116,7.4355216987092,"SP-ST1B2L",126.333333333333,350.333333333333,0,100,6446,852,5594,126.333333333333,0.0626266237635562,0.117370892018779
"SPU_000035",-1.0688084599148,9.03753467188428,"SP-EFHDC2",35.3333333333333,0,0,0,2076,492,1584,35.3333333333333,0,0
"SPU_000044",1.37972768812942,6.36390078359907,"SP-LRPS5L",21.6666666666667,41,41,20.6666666666667,7728,2586,5142,21.6666666666667,0.00797355114741346,0.0079917504511472
"SPU_000048",0.618330823774398,4.59459860177235,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,56.3333333333333,0.0222273143904675,0.0201458410579656
"SPU_000061",-2.52381688194765,6.17506573810079,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,42.6666666666667,0.0115462557142184,0.0265938069216758
"SPU_000075",0.440458244112114,8.08099717871558,"SP-METHIAPD2L",108,221.666666666667,0,18.3333333333333,16577,4421,12156,108,0.0182351650762312,0.00414687476438212
"SPU_000079",0.483248048750741,7.03971089003786,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000090",-0.920119974295826,6.54512319775322,"SP-GCSB2L",54.6666666666667,68.3333333333333,5,22.3333333333333,1895,921,974,54.6666666666667,0.0701574264202601,0.0242490047050308
"SPU_000094",-0.289853190513314,8.54376167813024,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,140.666666666667,0.0063948922455557,0
"SPU_000095",0.345444657634796,9.33317114702279,"SP-CLASP1L",23.6666666666667,446.666666666667,446.666666666667,0,1060,258,802,23.6666666666667,0.556940980881131,0
"SPU_000102",0.45637394501452,8.64530641985383,"SP-SNRK",213.333333333333,348.666666666667,2.33333333333333,158,595,595,0,213.333333333333,0,0.265546218487395
"SPU_000103",0.798379428943609,9.58752964017459,"SP-ACRV1L",51.3333333333333,66,65.3333333333333,58,401,401,0,51.3333333333333,0,0.144638403990025
"SPU_000105",0.967597946824821,6.61811051870941,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,106.666666666667,0.0215893680499051,0.126559714795009
"SPU_000120",0.0289086935541309,7.03678345781511,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000178",-0.184878596713944,7.05066477372228,"SP-PP2AB56E",99,2345,635,166,46828,4005,42823,99,0.0547602923662518,0.0414481897627965
"SPU_000191",-0.409575866078825,8.43238572359024,"SP-CMPK",120.333333333333,500.333333333333,317,78.6666666666667,18546,2954,15592,120.333333333333,0.0320891055242004,0.0266305574362446
"SPU_000252",-0.469586387915665,7.67274214824839,"SP-MED1",89.6666666666667,398.333333333333,0,611.666666666667,21482,9520,11962,89.6666666666667,0.0332998941091233,0.064250700280112
"SPU_000259",-0.125861685028487,5.57401838373687,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000263",0.730210013084465,7.75092424328369,"SP-PNKDL",55.6666666666667,0,0,0,2497,293,2204,55.6666666666667,0,0
"SPU_000279",-1.62337542309631,8.79873611514074,"SP-CYP17A1",58.6666666666667,0,0,0,2739,656,2083,58.6666666666667,0,0
"SPU_000313",-0.576510973647109,7.69044353999754,"SP-VPS37HA",80,179.333333333333,0,130.333333333333,8924,1219,7705,80,0.0232749296993294,0.106918238993711
"SPU_000358",1.74067234077507,5.85373492104763,"SP-HYPP_1251",24,0,0,0,1146,964,182,24,0,0
"SPU_000363",0.0362825095589325,9.5753847120377,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000365",0.525603280433976,7.79448373120094,NA,0,0,0,0,0,0,0,0,0,0
