"geneid","exonid","exon_coeff","exon_num","exon_DM_logFC","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000003","SPU_000003-tr-E2",-0.00187079522070024,2,0.429808346888799,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,210.666666666667,0.422234195402299,0.0805308275634685
"SPU_000035","SPU_000035-tr-E1",0.0168954982474512,1,0.214802315213077,"SP-EFHDC2",35.3333333333333,0,0,0,2076,492,1584,35.3333333333333,0,0
"SPU_000041","SPU_000041-tr-E38",-0.660815738988312,38,0.0535428511262199,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000041","SPU_000041-tr-E41",-0.689846936367076,41,-0.930631492762971,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000048","SPU_000048-tr-E1",-0.345545961205926,1,6.01738476274027,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,56.3333333333333,0.0222273143904675,0.0201458410579656
"SPU_000048","SPU_000048-tr-E4",0.0144811716869959,4,0.225139898235877,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,56.3333333333333,0.0222273143904675,0.0201458410579656
"SPU_000066","SPU_000066-tr-E1",-0.456467943183671,1,-0.775264578514646,"SP-NSUN7L",140.333333333333,265.333333333333,65,102,22936,2782,20154,140.333333333333,0.0131652939036089,0.0366642703091301
"SPU_000069","SPU_000069-tr-E5",0.165149605149413,5,-2.42237293009334,"SP-GLYT1L",55.6666666666667,210,2,182.666666666667,11889,1241,10648,55.6666666666667,0.0197220135236664,0.147193123824872
"SPU_000070","SPU_000070-tr-E8",-1.76956495493961,8,-1.62685552182172,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000070","SPU_000070-tr-E6",0.75215861144281,6,-0.747975692034424,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000073","SPU_000073-tr-E9",0.113723280532073,9,-0.450279292848739,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000086","SPU_000086-tr-E1",0.183785640637407,1,-0.447653589209103,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000092","SPU_000092-tr-E10",-0.241660303038467,10,-1.51918055442681,"SP-KCNH1",100.666666666667,1367,753.666666666667,469,14003,2660,11343,100.666666666667,0.120514854976638,0.176315789473684
"SPU_000092","SPU_000092-tr-E8",1.25831585718244,8,0.472711159812184,"SP-KCNH1",100.666666666667,1367,753.666666666667,469,14003,2660,11343,100.666666666667,0.120514854976638,0.176315789473684
"SPU_000098","SPU_000098-tr-E12",0.10492819866651,12,-0.219759304329158,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,48.6666666666667,0.0349040669154757,0.119587190126609
"SPU_000135","SPU_000135-tr-E14",-0.244103191520248,14,0.0590037421618143,"SP-ZF(MYND)_13L",58,20.3333333333333,0,72.3333333333333,26714,4154,22560,58,0.000901300236406619,0.0174129353233831
"SPU_000135","SPU_000135-tr-E5",-0.107378401955381,5,0.574127160610932,"SP-ZF(MYND)_13L",58,20.3333333333333,0,72.3333333333333,26714,4154,22560,58,0.000901300236406619,0.0174129353233831
"SPU_000138","SPU_000138-tr-E2",0.0302820257287846,2,-3.41624463534791,"SP-MAEAL",18.6666666666667,382.333333333333,141.666666666667,171,14477,1502,12975,18.6666666666667,0.0294669235709698,0.113848202396804
"SPU_000145","SPU_000145-tr-E6",-0.339470452240404,6,1.61108619609163,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000166","SPU_000166-tr-E7",0.073776449736924,7,0.432740251892621,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,38.3333333333333,0.00562123850548376,0.0271268285754864
"SPU_000166","SPU_000166-tr-E5",-0.273886784860554,5,-0.422103368484975,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,38.3333333333333,0.00562123850548376,0.0271268285754864
"SPU_000169","SPU_000169-tr-E6",-0.0182887105843867,6,0.373743625397418,"SP-NCOA7L",73.6666666666667,669,0,289,34770,2848,31922,73.6666666666667,0.0209573335004072,0.101474719101124
"SPU_000170","SPU_000170-tr-E13",-0.0787508709442508,13,0.585122200218197,"SP-ARS2",27,408.666666666667,0,227,16602,2543,14059,27,0.0290679754368495,0.0892646480534801
"SPU_000176","SPU_000176-tr-E6",0.0423489961383613,6,1.22265760882408,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,93,0.0183810701938021,0.0533527696793003
"SPU_000202","SPU_000202-tr-E1",0.123083296935368,1,0.352698372364907,"SP-CHN2",142,877,155.333333333333,39,25025,2495,22530,142,0.0389258766089658,0.0156312625250501
"SPU_000208","SPU_000208-tr-E2",0.976136554283312,2,-0.414714304677806,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000208","SPU_000208-tr-E4",0.0215225640709218,4,0.483056492265857,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000217","SPU_000217-tr-E2",-0.0268275882958275,2,0.90014420023932,"SP-ESPL1",17.6666666666667,1498,0,249.333333333333,8311,1939,6372,17.6666666666667,0.235091023226616,0.128588619563349
"SPU_000225","SPU_000225-tr-E8",-0.0130580146222778,8,-0.122532645530517,"SP-MPHOSPH10L",10.6666666666667,79.3333333333333,0,25.6666666666667,10977,3294,7683,10.6666666666667,0.0103258275847108,0.0077919449504149
"SPU_000227","SPU_000227-tr-E3",-0.0130205776152451,3,1.33106945790031,"SP-ALG10BH",36,9.66666666666667,1,187.333333333333,5187,1263,3924,36,0.00246347264695889,0.148324096067564
"SPU_000239","SPU_000239-tr-E1",-0.602192447875377,1,-0.206555452334673,"SP-RRM",176.333333333333,1418.33333333333,1338.66666666667,43,39377,528,38849,176.333333333333,0.0365088762473509,0.0814393939393939
"SPU_000243","SPU_000243-tr-E2",0.00397565318461449,2,-1.01980249573676,"SP-WDR60",55.3333333333333,409,0,193,23677,3977,19700,55.3333333333333,0.020761421319797,0.0485290419914508
"SPU_000247","SPU_000247-tr-E3",-0.0658051455241476,3,1.14929364920555,"SP-TPPP2/3",51.3333333333333,33.3333333333333,18.3333333333333,56.3333333333333,2502,861,1641,51.3333333333333,0.0203128173877717,0.0654277971351142
"SPU_000255","SPU_000255-tr-E2",0.0105068225799115,2,-0.616693744165734,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000255","SPU_000255-tr-E6",0.442513684211687,6,0.085820595219574,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000255","SPU_000255-tr-E7",0.118066149057899,7,-0.510456880816003,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000279","SPU_000279-tr-E4",0.0406939017950316,4,-0.25511629187852,"SP-CYP17A1",58.6666666666667,0,0,0,2739,656,2083,58.6666666666667,0,0
"SPU_000304","SPU_000304-tr-E4",0.0233405402843603,4,-1.74139204619194,"SP-VPS4H",8.66666666666667,198.333333333333,0,0,15632,913,14719,8.66666666666667,0.0134746472812918,0
"SPU_000308","SPU_000308-tr-E2",-0.638549979680706,2,-0.519051659240846,"SP-RHOGAP24L2",33.3333333333333,982,477.333333333333,246.666666666667,27456,2353,25103,33.3333333333333,0.0391188304186751,0.104830712565519
"SPU_000313","SPU_000313-tr-E5",-0.0893041150837321,5,-1.09506106322944,"SP-VPS37HA",80,179.333333333333,0,130.333333333333,8924,1219,7705,80,0.0232749296993294,0.106918238993711
"SPU_000343","SPU_000343-tr-E2",0.0802815521401697,2,0.987237754843112,"SP-SYT6-1",20.6666666666667,94.3333333333333,0,27.3333333333333,7812,551,7261,20.6666666666667,0.012991782582748,0.0496067755595886
"SPU_000343","SPU_000343-tr-E4",-0.264717441068317,4,-0.749800985878242,"SP-SYT6-1",20.6666666666667,94.3333333333333,0,27.3333333333333,7812,551,7261,20.6666666666667,0.012991782582748,0.0496067755595886
