"geneid","ex_meth_logFC","ex_meth_logCPM","LR","PValue","GE_logFC","GE_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000003",0.429954696958497,8.09056123684659,1.06411697601639,0.302278072864369,0.242379138938781,6.49860127571218,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,0.210666666666667,0.422234195402299,0.0805308275634685
"SPU_000018",-0.373688294757288,8.65201755325966,1.11824339610227,0.29029701081348,-0.166712360352002,0.455793854283251,"SP-CSPL",61.6666666666667,0,0,66,572,572,0,0.0616666666666667,0,0.115384615384615
"SPU_000019",-0.803026102792841,9.04747950854013,5.39316368742502,0.0202157866576291,-0.50002979655994,0.80175001503763,"SP-CSPL_1",25.6666666666667,0,0,0,1139,1139,0,0.0256666666666667,0,0
"SPU_000020",0.66592459873228,7.55826004922998,2.0880236854205,0.148458013404893,0.0212085448285463,0.491435409023019,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000035",0.214588597348614,7.36517745152155,0.181634490637361,0.669972331727519,-0.0437078613001798,6.21115884648596,"SP-EFHDC2",35.3333333333333,0,0,0,2076,492,1584,0.0353333333333333,0,0
"SPU_000048",1.38280626812444,7.08014052741188,6.47881380716074,0.0109167813995424,0.0770706897850324,8.17058016334979,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,0.0563333333333333,0.0222273143904675,0.0201458410579656
"SPU_000053",-0.106331416268907,9.09504005143323,0.0930465283220618,0.760339274574976,-0.091741845346829,12.4192720038514,"SP-EGF/HYALINL5",99.3333333333333,1304.66666666667,36.6666666666667,1392.33333333333,61794,16271,45523,0.0993333333333333,0.0286595054514568,0.0855714666174994
"SPU_000061",-0.632556085662094,7.4375987318918,1.64877573283007,0.199125642327763,-0.326673227697713,7.77077235046716,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,0.0426666666666667,0.0115462557142184,0.0265938069216758
"SPU_000066",-0.774225441654234,4.33500619180044,0.566688088521823,0.45157799133357,-0.224602692660539,1.87837292244316,"SP-NSUN7L",140.333333333333,265.333333333333,65,102,22936,2782,20154,0.140333333333333,0.0131652939036089,0.0366642703091301
"SPU_000069",-2.4332136348236,4.34736307717657,4.19452845194819,0.0405546304172939,-0.471590315673447,3.45444637164912,"SP-GLYT1L",55.6666666666667,210,2,182.666666666667,11889,1241,10648,0.0556666666666667,0.0197220135236664,0.147193123824872
