"geneid","N","median","sd","se","ci","mRNA_var","splice","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000003",26,1.15094819421743,3.20602796839235,0.628753814306031,1.29494272075396,1,FALSE,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,210.666666666667,0.422234195402299,0.0805308275634685
"SPU_000070",11,0.447982385569716,1.48578948562307,0.447982385569716,0.99816695829338,1,FALSE,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000166",12,0.178268251273345,0.476455692218498,0.13754091107964,0.30272550419177,1,FALSE,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,38.3333333333333,0.00562123850548376,0.0271268285754864
"SPU_000247",12,1.12120385716798,1.36254353362264,0.393332437959808,0.865718858932202,1,FALSE,"SP-TPPP2/3",51.3333333333333,33.3333333333333,18.3333333333333,56.3333333333333,2502,861,1641,51.3333333333333,0.0203128173877717,0.0654277971351142
"SPU_000259",7,99.6677740863787,0.878987146533075,0.332225913621258,0.812927525297321,2,TRUE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000330",10,2.35522439732966,3.82399605725715,1.20925373044363,2.7355219879635,1,FALSE,"SP-HGFL",84.6666666666667,368.666666666667,120.666666666667,391.333333333333,17443,3470,13973,84.6666666666667,0.0263842171807534,0.112776176753122
"SPU_000409",7,0.595238095238096,1.57485197087178,0.595238095238096,1.45649514949105,1,FALSE,"SP-IL1R/RS1(D)",47.3333333333333,11,0,17.3333333333333,5773,1949,3824,47.3333333333333,0.0028765690376569,0.00889344963229006
"SPU_000413",13,1.00385130030941,2.17685054102329,0.603749711129308,1.31545761651642,1,FALSE,"SP-CHRM5L",112.666666666667,182.666666666667,0,52.6666666666667,1331,1331,0,112.666666666667,0,0.0395692461808164
"SPU_000419",5,3.97303186299759,4.97261696503175,2.22382191197594,6.17431946233719,1,FALSE,"SP-LMLM-2",43,386.333333333333,73.3333333333333,98,14058,1617,12441,43,0.0310532379497897,0.0606060606060606
"SPU_000471",13,1.02687525637682,2.43133811536279,0.674331864840808,1.46924291856858,1,FALSE,"SP-RDH10_1",60.6666666666667,31,0,17,4376,1175,3201,60.6666666666667,0.00968447360199937,0.014468085106383
"SPU_000484",9,0,0,0,0,1,FALSE,"SP-CYTB561",22.3333333333333,128.333333333333,86.6666666666667,67,7870,1304,6566,22.3333333333333,0.01954513148543,0.0513803680981595
