"geneid","int_meth_logFC","int_meth_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000002",-0.397523226668152,6.49800982747475,"SP-CUB/LDLA/GPCR",52.3333333333333,455.333333333333,164.333333333333,87.3333333333333,23362,1940,21422,52.3333333333333,0.0212554072137678,0.0450171821305842
"SPU_000004",-0.151264080217082,6.9787745334409,"SP-HYPP_1240",12.3333333333333,863.666666666667,0,23,25072,1610,23462,12.3333333333333,0.0368112977012474,0.0142857142857143
"SPU_000009",0.195079232544992,9.4765400515097,"SP-MFSD1",0.333333333333333,0.666666666666667,0,0,3967,464,3503,0.333333333333333,0.000190313064991912,0
"SPU_000013",1.3038457001984,4.77961022256207,"SP-DNAH1_1",66,121,0,190,30639,7228,23411,66,0.00516851052923839,0.0262866629773105
"SPU_0000133",-0.877527791085544,4.77725666215948,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0000138",0.198503675105186,3.70034925359182,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000017",-0.118957091371971,7.35928999915533,"SP-Z307",75,203.666666666667,27,40.3333333333333,9193,1643,7550,75,0.0269757174392936,0.0245485899776831
"SPU_000021",-0.0721017821520072,6.2291628275961,"SP-HSCBL",117,205.666666666667,0,41.6666666666667,8238,573,7665,117,0.0268319199826049,0.072716695753345
"SPU_000022",-0.093724426436375,1.00801406587548,"SP-ATP5F1",11,186,5.66666666666667,116.333333333333,9776,1185,8591,11,0.0216505645442905,0.0981715893108298
"SPU_000023",1.37398586061982,3.1351710634029,"SP-MICAL3L",3.33333333333333,612.333333333333,75.6666666666667,528.333333333333,17493,3062,14431,3.33333333333333,0.0424318019079297,0.172545177443936
"SPU_000025",-0.339260902239636,4.5133853564927,"SP-CLCN1",21,28.3333333333333,0,42.6666666666667,3742,748,2994,21,0.00946337118681808,0.0570409982174688
"SPU_000028",0.178654094858337,4.84432077704437,"SP-ST1B2L",126.333333333333,350.333333333333,0,100,6446,852,5594,126.333333333333,0.0626266237635562,0.117370892018779
"SPU_000038",0.0564245050974879,3.69842579882825,"SP-SLC16A9L",48.3333333333333,0,0,0,2040,1035,1005,48.3333333333333,0,0
"SPU_0000415",0.218668996062329,7.09469817710834,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000043",-0.639497907928906,5.02751091842459,"SP-LRP6L",22,0,0,0,3500,894,2606,22,0,0
"SPU_000047",0.00429809443014667,7.0788062057132,"SP-EGFL",62.3333333333333,1249.66666666667,1249.66666666667,0,46710,1136,45574,62.3333333333333,0.0274206053158965,0
"SPU_000048",-2.305624416026,3.09604658844581,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,56.3333333333333,0.0222273143904675,0.0201458410579656
"SPU_000049",0.275131932204001,4.45044435651542,"SP-TRYPL",33.6666666666667,603.666666666667,150.333333333333,151.666666666667,15493,2620,12873,33.6666666666667,0.0468940158989099,0.0578880407124682
"SPU_0000491",0.295270499392799,6.39519681116283,NA,0,0,0,0,0,0,0,0,0,0
